tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,10698.571998207,10698.572149767,2026-08-24T23:22:00.738541+00:00,-1,anchor,anchor,,,,,,,,,
0,10698.571998207,10698.628097574,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,32.197,59,210,405,488,390
0,10698.571998207,10698.622254611,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,104.773,44,375,810,439,292
1,10699.571998207,10699.615360144,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,24.565,59,210,405,439,341
1,10699.571998207,10699.615691354,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,95.47,43,345,810,439,292
2,10700.571998207,10700.615507191,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,23.197,59,210,405,439,341
2,10700.571998207,10700.615994871,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,38.817,43,210,810,439,341
3,10701.571998207,10701.614889388,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,22.75,59,210,405,439,341
3,10701.571998207,10701.615924148,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,35.407,43,210,405,439,341
4,10702.571998207,10702.614724505,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,22.839,59,210,405,439,341
4,10702.571998207,10702.615757385,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,31.494,42,210,405,439,341
5,10703.571998207,10703.615044381,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,27.442,59,210,405,439,341
5,10703.571998207,10703.615356962,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,30,1528,65.277,49,1485,9501,3564,11621
6,10704.571998207,10704.614964098,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,33.707,59,210,405,439,341
6,10704.571998207,10704.615268818,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,354.133,53,1485,9501,3466,12500
7,10705.571998207,10705.615034245,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,33.958,59,210,405,439,341
7,10705.571998207,10705.615322975,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,21,1528,349.668,54,1470,9501,3759,11132
8,10706.571998207,10706.614952942,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,24.381,59,210,405,439,341
8,10706.571998207,10706.615252262,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,349.557,54,1485,9501,3857,10644
9,10707.571998207,10707.615179269,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.221,59,210,405,439,341
9,10707.571998207,10707.613950808,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,25,1528,349.763,54,1485,9501,4052,9960
10,10708.571998207,10708.615192126,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.002,59,210,405,439,341
10,10708.571998207,10708.613960545,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,349.608,54,1485,9501,4052,9082
11,10709.571998207,10709.614991622,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.963,59,210,405,488,341
11,10709.571998207,10709.615291543,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,23,1528,349.582,54,1470,9501,4638,9228
12,10710.571998207,10710.615291439,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.145,59,210,405,488,341
12,10710.571998207,10710.614050759,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,23,1528,349.527,54,1485,9501,4687,8105
13,10711.571998207,10711.615031556,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.998,59,210,405,439,341
13,10711.571998207,10711.615321486,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,24,1528,349.792,54,1470,9501,4394,7812
14,10712.571998207,10712.614954313,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,28.274,59,210,405,439,292
14,10712.571998207,10712.615280313,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,24,1528,349.695,54,1485,9501,4394,7763
15,10713.571998207,10713.61496971,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,33.914,59,210,405,439,341
15,10713.571998207,10713.61529497,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,349.761,54,1485,9501,4150,8056
16,10714.571998207,10714.614962087,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,25.287,59,210,405,439,341
16,10714.571998207,10714.615287227,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,23,1528,349.286,54,1485,9501,4248,8154
17,10715.571998207,10715.614961003,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.789,59,210,405,439,341
17,10715.571998207,10715.615292634,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,349.459,54,1485,9501,4101,8105
18,10716.571998207,10716.61513014,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.172,59,210,405,439,341
18,10716.571998207,10716.61389667,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,23,1528,349.586,54,1485,9501,4296,8544
19,10717.571998207,10717.615030357,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.224,59,210,405,439,341
19,10717.571998207,10717.615343437,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,350.117,54,1485,9501,3710,8691
20,10718.571998207,10718.614983414,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.345,59,210,405,439,341
