tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,12081.303794015,12081.303991015,2026-08-25T00:08:40.772196+00:00,-1,anchor,anchor,,,,,,,,,
0,12081.303794015,12081.341069736,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,28.515,35,210,405,439,341
0,12081.303794015,12081.374211356,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,16.102,35,210,405,439,292
0,12081.303794015,12081.343027366,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,121.324,63,495,5001,439,341
0,12081.303794015,12081.35711911,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,27.861,41,210,405,390,341
0,12081.303794015,12081.374888646,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,25.147,34,210,405,390,292
1,12082.303794015,12082.305074843,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,27.085,35,210,405,439,341
1,12082.303794015,12082.305096083,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,15.173,35,210,405,439,292
1,12082.303794015,12082.304311303,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,86.817,61,300,810,390,341
1,12082.303794015,12082.305034623,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,26.376,41,210,405,439,292
1,12082.303794015,12082.304966863,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,24.253,33,210,405,439,341
2,12083.303794015,12083.304574911,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,26.482,35,210,405,439,292
2,12083.303794015,12083.304693611,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,14.927,35,210,405,439,292
2,12083.303794015,12083.304832561,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,45.214,61,210,810,439,341
2,12083.303794015,12083.304879851,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,26.064,41,210,405,390,292
2,12083.303794015,12083.305926711,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,24.169,33,210,405,439,341
3,12084.303794015,12084.304791149,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,26.476,35,210,405,439,292
3,12084.303794015,12084.304750819,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,14.776,35,210,405,439,292
3,12084.303794015,12084.305312899,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,35.082,60,210,405,439,292
3,12084.303794015,12084.304601459,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,26.128,41,210,405,439,292
3,12084.303794015,12084.304813529,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,24.218,33,210,405,390,292
4,12085.303794015,12085.304819017,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,26.666,35,210,405,439,292
4,12085.303794015,12085.304657597,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,14.78,34,210,405,439,341
4,12085.303794015,12085.304844507,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,32.138,59,210,405,439,292
4,12085.303794015,12085.304912137,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,26.353,41,210,405,390,292
4,12085.303794015,12085.304886957,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,24.266,33,210,405,439,292
5,12086.303794015,12086.305468165,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,453,29.66,35,210,405,439,292
5,12086.303794015,12086.304482445,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,453,17.373,35,210,405,439,341
5,12086.303794015,12086.304609415,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1514,31.495,59,210,405,5908,17089
5,12086.303794015,12086.304734675,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,453,26.366,41,210,405,439,292
5,12086.303794015,12086.304701285,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,453,24.23,33,210,405,390,341
6,12087.303794015,12087.304442513,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,453,38.175,36,210,405,439,292
6,12087.303794015,12087.304575173,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,453,25.087,35,210,405,439,292
6,12087.303794015,12087.304603773,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,22,1514,132.336,69,1470,9501,3759,12646
6,12087.303794015,12087.304674363,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,453,33.562,41,210,405,439,292
6,12087.303794015,12087.304640183,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,453,28.11,34,210,405,439,292
7,12088.303794015,12088.304336761,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,453,38.159,36,210,405,390,292
7,12088.303794015,12088.305121301,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,453,25.072,35,210,405,439,292
7,12088.303794015,12088.304588391,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,23,1514,349.33,70,1470,9501,5322,8496
7,12088.303794015,12088.304559581,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,453,41.52,41,210,405,439,292
7,12088.303794015,12088.305146441,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,453,33.653,34,210,405,439,292
8,12089.303794015,12089.304384779,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,453,28.347,36,210,405,439,292
8,12089.303794015,12089.305113839,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,453,16.067,35,210,405,439,292
8,12089.303794015,12089.305019669,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,22,1514,349.21,71,1470,9501,4931,9863
8,12089.303794015,12089.304552689,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,453,28.697,41,210,405,439,341
8,12089.303794015,12089.305150499,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,453,25.581,34,210,405,390,292
9,12090.303794015,12090.304731057,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,453,27.093,35,210,405,439,292
9,12090.303794015,12090.304763277,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,453,14.988,34,210,405,439,292
9,12090.303794015,12090.304815277,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,22,1514,349.091,71,1455,9501,3515,13623
9,12090.303794015,12090.305225607,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,453,26.898,41,210,405,439,292
