tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,10463.32111124,10463.321279531,2026-08-24T23:18:05.488762+00:00,-1,anchor,anchor,,,,,,,,,
0,10463.32111124,10463.373184135,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,24.096,57,210,405,537,341
0,10463.32111124,10463.376173847,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,110.35,42,465,810,390,292
1,10464.32111124,10464.364298158,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,22.802,56,210,405,439,341
1,10464.32111124,10464.364637398,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,73.361,40,270,810,390,341
2,10465.32111124,10465.364628975,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,22.428,56,210,405,439,341
2,10465.32111124,10465.365126395,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,37.524,40,210,405,439,341
3,10466.32111124,10466.363973161,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,22.461,56,210,405,488,341
3,10466.32111124,10466.364990592,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,32.682,40,210,405,439,341
4,10467.32111124,10467.363945048,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,22.721,56,210,405,439,341
4,10467.32111124,10467.364972919,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,28.981,40,210,405,439,341
5,10468.32111124,10468.364017725,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,28.78,57,210,405,439,292
5,10468.32111124,10468.364339375,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,20,1528,136.748,49,1485,9501,2539,15039
6,10469.32111124,10469.364250792,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,34.973,57,210,405,488,341
6,10469.32111124,10469.363059591,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,20,1528,349.319,51,1470,9501,2636,13671
7,10470.32111124,10470.364060899,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,24.694,57,210,405,439,341
7,10470.32111124,10470.364346919,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,21,1528,349.153,51,1470,9501,2636,12890
8,10471.32111124,10471.364052796,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.246,56,210,405,488,341
8,10471.32111124,10471.364350346,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,21,1528,348.92,51,1470,9501,2832,13037
9,10472.32111124,10472.364089432,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.644,56,210,405,439,341
9,10472.32111124,10472.364375543,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,20,1528,349.142,52,1470,9501,3076,11718
10,10473.32111124,10473.364048429,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.628,56,210,405,439,341
10,10473.32111124,10473.364345689,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,349.217,52,1470,9501,3125,11230
11,10474.32111124,10474.364064186,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.8,56,210,405,439,341
11,10474.32111124,10474.364353226,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,349.143,52,1485,9501,3857,12695
12,10475.32111124,10475.364032533,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,25.367,57,210,405,439,341
12,10475.32111124,10475.364325583,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,23,1528,350.314,52,1485,9501,3027,18212
13,10476.32111124,10476.364065,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,33.118,57,210,405,439,341
13,10476.32111124,10476.36435424,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,25,1528,350.149,52,1470,9501,2685,16699
14,10477.32111124,10477.364133847,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,24.484,57,210,405,439,341
14,10477.32111124,10477.364444007,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,23,1528,349.808,52,1485,9501,2587,14990
15,10478.32111124,10478.364070024,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.127,56,210,405,439,341
15,10478.32111124,10478.364409694,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,23,1528,349.576,52,1485,9501,2783,13769
16,10479.32111124,10479.36407536,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.642,56,210,405,439,341
16,10479.32111124,10479.364414961,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,23,1528,349.674,52,1485,9501,4052,14306
17,10480.32111124,10480.364069727,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.648,56,210,405,439,341
17,10480.32111124,10480.364351607,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,26,1528,349.825,52,1485,9501,4199,11669
18,10481.32111124,10481.364130284,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.842,56,210,405,439,341
18,10481.32111124,10481.364414634,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,350.053,52,1485,9501,4296,10058
19,10482.32111124,10482.363976601,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,24.346,56,210,405,439,341
19,10482.32111124,10482.364295771,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,26,1528,349.643,52,1485,9501,4492,8203
20,10483.32111124,10483.364035968,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,32.838,57,210,405,439,341
20,10483.32111124,10483.364345548,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,24,1528,349.783,52,1485,9501,4541,7958
21,10484.32111124,10484.364131005,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,24.366,57,210,405,439,341
21,10484.32111124,10484.364419955,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,24,1528,349.799,52,1485,9501,3906,9375
22,10485.32111124,10485.364056781,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.061,56,210,405,439,341
22,10485.32111124,10485.364365752,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,24,1528,349.405,52,1485,9501,3662,10791
23,10486.32111124,10486.364033808,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.622,56,210,405,439,341
23,10486.32111124,10486.364325188,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,25,1528,349.722,52,1470,9501,3125,15820
24,10487.32111124,10487.364070305,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.587,56,210,405,439,341
24,10487.32111124,10487.364361825,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,26,1528,350.15,52,1470,9501,2832,16113
25,10488.32111124,10488.364067482,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.802,56,210,405,439,341
25,10488.32111124,10488.364351132,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,26,1528,349.939,52,1485,9501,2587,14746
26,10489.32111124,10489.364025609,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,1,0,467,22.984,56,210,405,537,341
26,10489.32111124,10489.364314159,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,24,1528,350.064,52,1485,9501,2734,15332
27,10490.32111124,10490.364067586,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,33.077,57,210,405,439,341
27,10490.32111124,10490.364355556,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,21,1528,349.343,52,1485,9501,3271,16406
28,10491.32111124,10491.364093442,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.98,57,210,405,439,341
28,10491.32111124,10491.364376493,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,23,1528,349.731,52,1485,9501,3662,13037
29,10492.32111124,10492.364055929,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.858,56,210,405,439,341
29,10492.32111124,10492.364364489,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,24,1528,349.822,52,1470,9501,4589,12548
30,10493.32111124,10493.364175486,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.609,56,210,405,439,341
30,10493.32111124,10493.364381136,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,305.115,47,1980,9501,341,292
31,10494.32111124,10494.364378913,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.511,56,210,405,488,292
31,10494.32111124,10494.364570453,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,181.472,45,1950,9501,390,292
32,10495.32111124,10495.3640808,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.605,56,210,405,439,341
32,10495.32111124,10495.36437147,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,25,1528,189.518,49,1485,9501,4296,9619
33,10496.32111124,10496.364287277,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.559,56,210,405,439,341
33,10496.32111124,10496.363050896,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,20,1528,350.095,52,1470,9501,3759,10791
34,10497.32111124,10497.364272154,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,27.846,57,210,405,488,341
34,10497.32111124,10497.363029113,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,25,1528,349.742,52,1485,9501,4833,10351
35,10498.32111124,10498.36407767,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,33.32,57,210,405,439,341
35,10498.32111124,10498.36436472,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,23,1528,349.886,52,1485,9501,4638,8496
36,10499.32111124,10499.364308757,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,24.787,57,210,405,439,341
36,10499.32111124,10499.363073307,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,25,1528,349.802,52,1485,9501,4882,9130
