tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,9872.795237908,9872.795395168,2026-08-24T23:31:52.281454+00:00,-1,anchor,anchor,,,,,,,,,
0,9872.795237908,9872.893115357,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,26.788,35,210,405,439,292
0,9872.795237908,9872.90370451,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,15.308,34,210,405,390,292
0,9872.795237908,9872.90419504,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,28.0,34,210,405,439,292
0,9872.795237908,9872.872061251,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,67.05,50,435,810,439,341
0,9872.795237908,9872.891824077,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,24.22,34,210,405,439,341
1,9873.795237908,9873.84216372,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,26.788,35,210,405,439,341
1,9873.795237908,9873.839621429,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,15.308,34,210,405,390,292
1,9873.795237908,9873.839113469,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,28.0,34,210,405,439,292
1,9873.795237908,9873.84165586,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,67.05,50,255,810,439,292
1,9873.795237908,9873.84267189,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,24.22,34,210,405,439,292
2,9874.795237908,9874.841901208,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,26.547,35,210,405,439,341
2,9874.795237908,9874.839371727,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,15.145,34,210,405,439,341
2,9874.795237908,9874.842918498,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.84,34,210,405,439,292
2,9874.795237908,9874.842410538,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,37.237,49,210,405,390,292
2,9874.795237908,9874.839896287,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,24.095,34,210,405,439,292
