tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,7489.210676385,7489.210831185,2026-08-24T22:28:31.393055+00:00,-1,anchor,anchor,,,,,,,,,
0,7489.210676385,7489.260666419,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,12.129,52,210,405,634,439
0,7489.210676385,7489.308783142,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,30.144,35,210,405,488,341
1,7490.210676385,7490.253813752,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,12.371,52,210,405,488,390
1,7490.210676385,7490.296370482,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,28.78,35,210,405,537,341
2,7491.210676385,7491.253934019,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,12.223,52,210,405,488,390
2,7491.210676385,7491.296718809,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,28.416,35,210,405,537,341
3,7492.210676385,7492.253985596,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,12.921,52,210,405,488,341
3,7492.210676385,7492.296768576,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,28.415,35,210,405,537,341
4,7493.210676385,7493.253795243,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,12.904,52,210,405,488,390
4,7493.210676385,7493.296261103,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,28.279,35,210,405,585,390
5,7494.210676385,7494.252429789,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,4,1,1528,26.063,57,1455,9501,3906,11621
5,7494.210676385,7494.294970119,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,31.926,35,210,405,537,341
6,7495.210676385,7495.252513876,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,20,1528,328.962,68,1500,9501,2783,14404
6,7495.210676385,7495.295113346,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,41.313,35,210,405,537,341
7,7496.210676385,7496.252422823,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,22,1528,347.148,70,1485,9501,3808,13183
7,7496.210676385,7496.294967713,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,29.706,35,210,405,537,341
8,7497.210676385,7497.252449159,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,23,1528,348.523,71,1470,9501,4296,9472
8,7497.210676385,7497.29498737,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.541,35,210,405,488,341
9,7498.210676385,7498.252462586,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,22,1528,348.66,72,1485,9501,5859,7470
9,7498.210676385,7498.294910476,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.282,35,210,405,488,341
10,7499.210676385,7499.252456793,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,23,1528,348.536,73,1470,9501,4394,9472
10,7499.210676385,7499.294993953,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.275,35,210,405,537,341
11,7500.210676385,7500.25246057,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,24,1528,349.12,73,1485,9501,3613,11865
11,7500.210676385,7500.2949906,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.647,35,210,405,537,341
12,7501.210676385,7501.252444557,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,24,1528,349.332,73,1485,9501,3564,11718
12,7501.210676385,7501.294994367,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,31.957,35,210,405,537,390
13,7502.210676385,7502.252442944,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,22,1528,349.019,74,1470,9501,3417,12353
13,7502.210676385,7502.294991544,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,34.929,35,210,405,537,341
14,7503.210676385,7503.25244698,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,22,1528,349.027,74,1485,9501,3125,12744
14,7503.210676385,7503.294980551,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,30.508,35,210,405,537,341
15,7504.210676385,7504.252460687,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,23,1528,348.956,75,1470,9501,3222,12353
15,7504.210676385,7504.295001958,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,29.069,35,210,405,488,341
16,7505.210676385,7505.252419114,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,22,1528,348.979,75,1485,9501,3320,12451
16,7505.210676385,7505.294967714,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.694,35,210,405,537,341
17,7506.210676385,7506.252424391,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,24,1528,349.246,75,1500,9501,3515,11132
17,7506.210676385,7506.294980341,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.755,35,210,405,537,341
18,7507.210676385,7507.252436638,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,24,1528,349.531,76,1470,9501,3662,10742
18,7507.210676385,7507.294994928,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.805,35,210,405,537,341
19,7508.210676385,7508.252466015,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,23,1528,349.579,76,1470,9501,4248,8593
19,7508.210676385,7508.294926315,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,30.106,35,210,405,488,341
20,7509.210676385,7509.252402331,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,24,1528,349.077,76,1470,9501,4443,8105
20,7509.210676385,7509.294961592,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,39.18,35,210,405,537,341
21,7510.210676385,7510.252290158,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,23,1528,349.402,76,1455,9501,4101,8593
21,7510.210676385,7510.294793668,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,29.964,35,210,405,537,341
22,7511.210676385,7511.252511885,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,22,1528,349.129,77,1440,9501,4345,10839
22,7511.210676385,7511.294882775,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.712,35,210,405,537,390
