tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,7390.430933056,7390.431093316,2026-08-24T22:50:29.939401+00:00,-1,anchor,anchor,,,,,,,,,
0,7390.430933056,7390.488130453,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,28.375,39,210,405,439,341
0,7390.430933056,7390.539719308,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,116.023,61,495,5001,439,341
0,7390.430933056,7390.597652786,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,28.932,36,210,405,439,341
0,7390.430933056,7390.655090893,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,28.024,40,210,405,439,292
0,7390.430933056,7390.71342237,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,25.268,34,210,405,390,292
1,7391.430933056,7391.473886787,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,27.13,38,210,405,439,292
1,7391.430933056,7391.515869519,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,80.785,58,300,810,439,341
1,7391.430933056,7391.558618702,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,28.183,36,210,405,439,341
1,7391.430933056,7391.601433645,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,26.398,39,210,405,439,292
1,7391.430933056,7391.644256887,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,24.101,34,210,405,439,292
2,7392.430933056,7392.473933585,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,26.831,38,210,405,439,292
2,7392.430933056,7392.516670417,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,35.566,57,210,810,439,341
2,7392.430933056,7392.55940319,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.967,36,210,405,439,292
2,7392.430933056,7392.602186153,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,25.902,39,210,405,439,341
2,7392.430933056,7392.644964576,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,23.628,34,210,405,390,341
3,7393.430933056,7393.473876853,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,26.761,38,210,405,439,292
3,7393.430933056,7393.516650406,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,23.32,57,210,405,439,292
3,7393.430933056,7393.559276228,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.926,36,210,405,439,292
