tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,7964.679031866,7964.679190456,2026-08-24T22:36:26.858962+00:00,-1,anchor,anchor,,,,,,,,,
0,7964.679031866,7964.726593918,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,124.065,64,495,5001,488,390
0,7964.679031866,7964.775545472,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,31.213,36,210,405,488,341
1,7965.679031866,7965.721442033,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,36.264,60,300,810,488,341
1,7965.679031866,7965.764104033,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,29.397,36,210,405,439,341
2,7966.679031866,7966.72210457,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,31.209,60,210,405,537,341
2,7966.679031866,7966.76462277,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,28.453,36,210,405,488,341
3,7967.679031866,7967.722349417,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,26.488,59,210,405,488,341
3,7967.679031866,7967.764878357,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,37.99,36,210,405,439,341
4,7968.679031866,7968.722112124,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,16.43,59,210,405,488,390
4,7968.679031866,7968.764627114,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,30.209,36,210,405,439,341
5,7969.679031866,7969.72079178,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,36,1528,68.721,65,1500,9501,3173,13330
5,7969.679031866,7969.76333889,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,32.01,36,210,405,488,341
6,7970.679031866,7970.720762847,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,22,1528,347.598,74,1455,9501,2880,14453
6,7970.679031866,7970.763175687,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,41.943,36,210,405,439,341
7,7971.679031866,7971.720722123,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,21,1528,348.736,75,1455,9501,3173,13037
7,7971.679031866,7971.763170704,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,30.931,36,210,405,488,341
8,7972.679031866,7972.72079606,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,21,1528,348.936,76,1455,9501,3564,10351
8,7972.679031866,7972.763290621,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,29.466,36,210,405,439,341
9,7973.679031866,7973.720808897,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,21,1528,348.779,77,1455,9501,4199,8447
9,7973.679031866,7973.763319077,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,29.009,36,210,405,439,341
10,7974.679031866,7974.720808124,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,22,1528,348.51,77,1455,9501,4345,9423
10,7974.679031866,7974.763319004,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,36.411,36,210,405,488,341
11,7975.679031866,7975.720773891,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,22,1528,348.727,78,1470,9501,3222,13378
11,7975.679031866,7975.763286591,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,37.112,36,210,405,439,341
12,7976.679031866,7976.720786638,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,22,1528,348.955,78,1440,9501,2587,15283
12,7976.679031866,7976.763286978,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,30.236,36,210,405,439,341
13,7977.679031866,7977.720795914,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,21,1528,349.025,79,1455,9501,3808,9814
13,7977.679031866,7977.763299065,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.993,36,210,405,439,341
