tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,23146.529138652,23146.529292033,2026-08-25T02:49:28.643212+00:00,-1,anchor,anchor,,,,,,,,,
0,23146.529138652,23146.539024297,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,23.541,53,210,405,488,439
0,23146.529138652,23146.542872629,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,98.102,47,435,5001,439,292
1,23147.529138652,23147.52971367,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,22.186,53,210,405,439,488
1,23147.529138652,23147.52973007,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,71.034,45,255,810,439,341
2,23148.529138652,23148.529584426,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,22.469,53,210,405,439,439
2,23148.529138652,23148.529634516,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,42.515,45,210,405,439,341
3,23149.529138652,23149.529635333,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,28.711,53,210,405,439,390
3,23149.529138652,23149.529588193,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,35.224,45,210,405,439,341
4,23150.529138652,23150.529539,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,24.066,53,210,405,488,634
4,23150.529138652,23150.5295951,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,40.568,45,210,405,439,341
5,23151.529138652,23151.529472557,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,25.321,53,210,405,488,537
5,23151.529138652,23151.529538317,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,12,2,1528,43.839,50,1785,9501,4394,10498
6,23152.529138652,23152.529468504,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,33.892,53,210,405,488,537
6,23152.529138652,23152.529534024,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,17,1528,336.707,55,1485,9501,4638,12158
7,23153.529138652,23153.5295141,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.199,53,210,405,488,537
7,23153.529138652,23153.529548731,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,20,1528,348.521,56,1485,9501,3955,10351
8,23154.529138652,23154.529471627,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.118,53,210,405,439,585
8,23154.529138652,23154.529539467,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,21,1528,349.779,56,1485,9501,4541,11865
9,23155.529138652,23155.529532324,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,21.958,53,210,405,439,341
9,23155.529138652,23155.529553204,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,20,1528,349.696,56,1470,9501,3710,10400
10,23156.529138652,23156.529465131,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,27.293,53,210,405,439,341
10,23156.529138652,23156.529529831,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,21,1528,349.821,56,1470,9501,3710,11328
11,23157.529138652,23157.529568038,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,32.826,53,210,405,439,341
11,23157.529138652,23157.529553678,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,349.777,56,1470,9501,3173,12890
12,23158.529138652,23158.529468625,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.138,53,210,405,439,341
12,23158.529138652,23158.529544775,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,21,1528,349.305,56,1485,9501,3369,13085
13,23159.529138652,23159.529491202,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.63,53,210,405,439,341
13,23159.529138652,23159.530179222,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,349.707,57,1470,9501,3320,16015
14,23160.529138652,23160.529534678,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.792,53,210,405,439,390
