tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,17627.072091732,17627.072242442,2026-08-25T01:17:29.208336+00:00,-1,anchor,anchor,,,,,,,,,
0,17627.072091732,17627.080429725,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,97.321,64,420,5001,439,341
0,17627.072091732,17627.085836998,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,41.867,38,210,405,1025,390
1,17628.072091732,17628.072431649,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,72.877,61,255,810,439,341
1,17628.072091732,17628.072513079,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,29.66,37,210,405,634,341
2,17629.072091732,17629.072612035,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,32.812,60,210,405,439,341
2,17629.072091732,17629.072666045,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,28.278,37,210,405,1123,341
3,17630.072091732,17630.072621662,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,34.297,60,210,405,439,341
3,17630.072091732,17630.072734002,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,31.393,38,210,405,1074,341
4,17631.072091732,17631.072582489,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,25.241,60,210,405,488,341
4,17631.072091732,17631.072671939,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,37.58,38,210,405,1269,341
5,17632.072091732,17632.072429686,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,34,1528,110.199,71,1485,9501,4394,11376
5,17632.072091732,17632.072483556,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,29.637,38,210,405,634,341
6,17633.072091732,17633.072432343,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,22,1528,348.204,75,1485,9501,3710,12988
6,17633.072091732,17633.072548743,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,42.013,38,210,405,634,341
7,17634.072091732,17634.07242953,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,22,1528,349.503,76,1470,9501,2929,15478
7,17634.072091732,17634.07248271,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,30.173,38,210,405,488,390
8,17635.072091732,17635.072439326,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,23,1528,349.112,77,1455,9501,2636,13671
8,17635.072091732,17635.072495946,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.909,38,210,405,439,390
9,17636.072091732,17636.072426033,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,23,1528,349.303,78,1470,9501,3417,11083
9,17636.072091732,17636.072480683,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.567,38,210,405,439,390
10,17637.072091732,17637.07242991,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,23,1528,349.165,78,1470,9501,4199,9277
10,17637.072091732,17637.07250273,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,30.605,38,210,405,439,341
11,17638.072091732,17638.072424277,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,21,1528,349.261,79,1470,9501,3027,13671
11,17638.072091732,17638.072496977,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,36.684,38,210,405,439,341
12,17639.072091732,17639.072433744,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,22,1528,349.279,79,1440,9501,2832,12207
12,17639.072091732,17639.072495914,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,29.963,38,210,405,439,390
13,17640.072091732,17640.072433481,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,22,1528,349.207,79,1470,9501,4101,8105
13,17640.072091732,17640.072480931,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.623,38,210,405,488,390
14,17641.072091732,17641.072426797,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,21,1528,349.116,80,1470,9501,3173,12890
14,17641.072091732,17641.072473457,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.501,38,210,405,439,390
15,17642.072091732,17642.072424164,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,28,1528,349.559,80,1395,9501,3125,10449
15,17642.072091732,17642.072473934,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.551,38,210,405,439,390
16,17643.072091732,17643.072426581,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,20,1528,348.708,80,1455,9501,4101,9423
16,17643.072091732,17643.072498911,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.661,38,210,405,439,390
17,17644.072091732,17644.072447338,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,20,1528,349.179,80,1440,9501,2587,12353
17,17644.072091732,17644.072513898,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,29.955,38,210,405,439,390
18,17645.072091732,17645.072423165,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,20,1528,349.066,80,1455,9501,4101,8349
18,17645.072091732,17645.072495895,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,40.329,38,210,405,488,390
19,17646.072091732,17646.072425812,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,21,1528,349.279,81,1425,9501,2392,12988
19,17646.072091732,17646.072471752,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,30.632,38,210,405,488,390
20,17647.072091732,17647.072468538,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,21,1528,349.034,81,1455,9501,4199,8154
20,17647.072091732,17647.072505738,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,29.167,37,210,405,439,390
21,17648.072091732,17648.072418255,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,21,1528,349.36,81,1425,9501,2587,12792
21,17648.072091732,17648.072486405,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.574,37,210,405,439,390
22,17649.072091732,17649.072428962,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,21,1528,349.001,81,1455,9501,4199,8300
22,17649.072091732,17649.072478462,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.401,38,210,405,439,390
23,17650.072091732,17650.072419259,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,20,1528,349.714,81,1425,9501,2685,11132
23,17650.072091732,17650.072462779,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.629,37,210,405,439,439
24,17651.072091732,17651.072422566,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,20,1528,349.373,81,1440,9501,3710,10058
24,17651.072091732,17651.072489126,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.895,38,210,405,439,390
25,17652.072091732,17652.072428263,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,21,1528,349.592,81,1425,9501,3271,10400
25,17652.072091732,17652.072494223,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,39.676,38,210,405,439,390
26,17653.072091732,17653.072430239,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,20,1528,349.335,81,1440,9501,3173,11718
26,17653.072091732,17653.072502349,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,30.634,38,210,405,439,390
27,17654.072091732,17654.072503796,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,21,1528,349.414,82,1440,9501,3759,8105
27,17654.072091732,17654.072556966,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,29.171,38,210,405,439,390
28,17655.072091732,17655.072432563,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,20,1528,349.374,82,1440,9501,2587,13037
28,17655.072091732,17655.072506043,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.663,38,210,405,439,439
29,17656.072091732,17656.07242295,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,20,1528,349.188,82,1455,9501,4248,7568
29,17656.072091732,17656.07248585,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.55,38,210,405,439,390
30,17657.072091732,17657.072437477,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,21,1528,349.53,82,1410,9501,2490,12304
30,17657.072091732,17657.072507857,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.623,37,210,405,488,439
31,17658.072091732,17658.072534124,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,1528,243.79,72,1920,9501,390,292
31,17658.072091732,17658.072596544,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.479,37,210,405,439,439
32,17659.072091732,17659.07253095,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,1528,193.265,72,1920,9501,390,341
32,17659.072091732,17659.072600351,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,33.769,38,210,405,439,390
33,17660.072091732,17660.072420257,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,24,1528,228.166,79,1470,9501,3808,10351
33,17660.072091732,17660.072489797,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,39.611,38,210,405,439,390
34,17661.072091732,17661.072426044,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,21,1528,349.17,80,1455,9501,3466,10839
34,17661.072091732,17661.072497734,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,29.673,38,210,405,439,390
35,17662.072091732,17662.072419761,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,22,1528,349.861,81,1440,9501,3271,9716
35,17662.072091732,17662.072481371,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.663,37,210,405,439,390
36,17663.072091732,17663.072480898,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,21,1528,349.926,81,1440,9501,3222,12158
36,17663.072091732,17663.072503608,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.669,37,210,405,439,439
37,17664.072091732,17664.072421295,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,21,1528,349.449,81,1425,9501,3564,8154
37,17664.072091732,17664.072486435,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.704,38,210,405,488,390
38,17665.072091732,17665.072426261,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,20,1528,349.623,81,1440,9501,2783,13183
38,17665.072091732,17665.072497542,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.876,37,210,405,537,390
39,17666.072091732,17666.072422238,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,24,1528,349.064,81,1365,9501,4101,7861
39,17666.072091732,17666.072486518,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,33.643,38,210,405,439,390
40,17667.072091732,17667.072439535,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,21,1528,348.677,81,1425,9501,2734,11718
40,17667.072091732,17667.072497515,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,40.299,38,210,405,439,439
41,17668.072091732,17668.072416152,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,19,1528,348.93,81,1425,9501,3710,11132
41,17668.072091732,17668.072485672,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,31.151,38,210,405,439,390
42,17669.072091732,17669.072427219,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,20,1528,348.775,81,1425,9501,3320,9716
42,17669.072091732,17669.072500189,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,29.396,38,210,405,439,390
43,17670.072091732,17670.072456226,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,20,1528,348.971,82,1440,9501,2832,12939
43,17670.072091732,17670.072473116,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.557,38,210,405,439,390
44,17671.072091732,17671.072469503,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,20,1528,348.797,82,1395,9501,3662,7910
44,17671.072091732,17671.072485443,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.514,38,210,405,488,390
45,17672.072091732,17672.072471799,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,21,1528,349.427,82,1425,9501,2490,11767
45,17672.072091732,17672.072483599,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.712,37,210,405,439,390
46,17673.072091732,17673.072420896,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,18,1528,348.977,82,1440,9501,3613,10107
46,17673.072091732,17673.072495116,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,32.202,38,210,405,439,390
47,17674.072091732,17674.072469233,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,20,1528,348.52,82,1425,9501,3271,10302
47,17674.072091732,17674.072484943,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,39.476,38,210,405,439,390
48,17675.072091732,17675.07244491,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,19,1528,348.707,82,1440,9501,2978,13281
48,17675.072091732,17675.07251151,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,30.614,38,210,405,439,439
49,17676.072091732,17676.072475687,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,20,1528,348.568,82,1425,9501,4248,7275
49,17676.072091732,17676.072494577,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,29.169,37,210,405,439,439
50,17677.072091732,17677.072423984,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,20,1528,349.118,82,1440,9501,2441,11962
50,17677.072091732,17677.072495614,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.639,37,210,405,439,390
51,17678.072091732,17678.07241787,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,20,1528,349.191,82,1440,9501,3857,10302
