tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,23622.76714436,23622.76730159,2026-08-25T02:57:24.879644+00:00,-1,anchor,anchor,,,,,,,,,
0,23622.76714436,23622.776998965,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,31.817,57,210,405,488,341
0,23622.76714436,23622.780777287,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,99.814,47,345,810,439,341
1,23623.76714436,23623.767700877,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,24.006,57,210,405,439,341
1,23623.76714436,23623.767674047,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,38.548,46,210,810,390,292
2,23624.76714436,23624.767604824,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,22.507,56,210,405,488,341
2,23624.76714436,23624.767674744,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,36.331,45,210,405,439,341
3,23625.76714436,23625.767656471,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,21.898,56,210,405,488,341
3,23625.76714436,23625.767611421,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,32.405,45,210,405,439,341
4,23626.76714436,23626.767665928,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,21.948,56,210,405,439,390
4,23626.76714436,23626.767610828,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,30.083,45,210,405,439,341
5,23627.76714436,23627.767555165,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,26.415,57,210,405,439,341
5,23627.76714436,23627.767617845,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,23,1528,140.592,53,1485,9501,4931,9570
6,23628.76714436,23628.767512652,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,34.308,57,210,405,439,341
6,23628.76714436,23628.767578652,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,20,1528,346.321,56,1485,9501,4541,12304
7,23629.76714436,23629.767508128,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,34.369,57,210,405,439,341
7,23629.76714436,23629.767556348,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,349.44,56,1485,9501,3857,11621
8,23630.76714436,23630.767490335,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,24.429,57,210,405,439,341
8,23630.76714436,23630.767548865,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,349.407,56,1485,9501,4443,12939
9,23631.76714436,23631.767496502,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.249,56,210,405,439,341
9,23631.76714436,23631.767565462,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,26,1528,349.996,57,1485,9501,4003,13232
10,23632.76714436,23632.767489549,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.534,56,210,405,439,341
10,23632.76714436,23632.767552229,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,24,1528,350.324,57,1485,9501,3515,12841
