tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,19066.839839206,19066.839996646,2026-08-25T01:41:28.969695+00:00,-1,anchor,anchor,,,,,,,,,
0,19066.839839206,19066.854006403,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,124.871,64,495,5001,439,292
0,19066.839839206,19066.850018501,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,30.021,37,210,405,439,341
1,19067.839839206,19067.840405023,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,93.858,61,300,810,439,292
1,19067.839839206,19067.840374673,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,28.645,37,210,405,439,292
2,19068.839839206,19068.84028596,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,47.053,60,210,810,439,341
2,19068.839839206,19068.84034826,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,28.345,37,210,405,439,341
3,19069.839839206,19069.840178887,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,27.395,59,210,405,488,341
3,19069.839839206,19069.840223097,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,28.397,37,210,405,439,341
4,19070.839839206,19070.840136563,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,33.329,59,210,405,439,341
4,19070.839839206,19070.840176073,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,35.564,37,210,405,488,341
5,19071.839839206,19071.84017332,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,97,35,1528,67.722,67,1455,9501,4541,10498
5,19071.839839206,19071.84024394,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,37.898,37,210,405,439,390
6,19072.839839206,19072.840182717,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,22,1528,349.202,74,1455,9501,4296,9716
6,19072.839839206,19072.840238987,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,42.045,37,210,405,439,341
7,19073.839839206,19073.840176244,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,22,1528,348.694,76,1455,9501,4003,10449
7,19073.839839206,19073.840238134,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,30.351,37,210,405,439,341
8,19074.839839206,19074.840176261,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,22,1528,348.588,76,1470,9501,3369,12451
8,19074.839839206,19074.840236331,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.912,37,210,405,488,341
9,19075.839839206,19075.840213038,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,23,1528,349.022,77,1470,9501,2734,13720
9,19075.839839206,19075.840247318,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.72,37,210,405,439,341
10,19076.839839206,19076.840180264,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,21,1528,348.979,78,1470,9501,2783,13574
10,19076.839839206,19076.840242684,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.902,37,210,405,390,341
11,19077.839839206,19077.840186521,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,24,1528,348.891,78,1470,9501,3857,9521
11,19077.839839206,19077.840243181,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,35.881,37,210,405,488,341
12,19078.839839206,19078.840180038,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,20,1528,348.786,78,1470,9501,4248,8740
12,19078.839839206,19078.840233878,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,36.598,37,210,405,439,341
13,19079.839839206,19079.840185835,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,22,1528,348.87,79,1455,9501,3027,13574
13,19079.839839206,19079.840245565,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,30.149,37,210,405,488,341
14,19080.839839206,19080.840230202,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,22,1528,348.951,79,1455,9501,3173,11865
14,19080.839839206,19080.840292932,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.812,37,210,405,439,341
15,19081.839839206,19081.840201289,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,21,1528,349.068,79,1455,9501,4248,8056
15,19081.839839206,19081.840270909,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.453,37,210,405,439,341
16,19082.839839206,19082.840167345,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,22,1528,349.088,80,1440,9501,3173,12890
16,19082.839839206,19082.840222966,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.513,37,210,405,439,341
17,19083.839839206,19083.840188722,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,22,1528,348.701,80,1455,9501,3271,10937
17,19083.839839206,19083.840248992,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.807,37,210,405,439,341
18,19084.839839206,19084.840188959,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,20,1528,348.954,80,1440,9501,4248,9033
18,19084.839839206,19084.840252829,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,33.25,37,210,405,439,341
19,19085.839839206,19085.840338946,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,22,1528,348.936,80,1455,9501,2685,14404
19,19085.839839206,19085.840304276,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,40.11,37,210,405,439,341
20,19086.839839206,19086.840218133,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,21,1528,349.031,80,1440,9501,3417,8886
20,19086.839839206,19086.840283983,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,30.07,37,210,405,439,341
21,19087.839839206,19087.84018891,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,20,1528,348.91,80,1440,9501,3271,10498
21,19087.839839206,19087.84026119,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.822,37,210,405,488,341
22,19088.839839206,19088.840208597,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,22,1528,348.941,81,1455,9501,2685,12304
22,19088.839839206,19088.840273117,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.613,37,210,405,439,341
23,19089.839839206,19089.840180123,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,20,1528,348.897,81,1455,9501,4296,8251
23,19089.839839206,19089.840239643,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.658,37,210,405,439,341
24,19090.839839206,19090.8402774,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,21,1528,348.981,81,1455,9501,2587,14404
24,19090.839839206,19090.84034262,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.742,37,210,405,439,341
25,19091.839839206,19091.840168057,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,22,1528,349.127,81,1455,9501,3857,8203
25,19091.839839206,19091.840244147,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,32.117,37,210,405,488,341
26,19092.839839206,19092.840257604,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,22,1528,348.817,81,1440,9501,3271,11865
26,19092.839839206,19092.840289954,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,40.061,37,210,405,488,341
27,19093.839839206,19093.840169861,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,20,1528,348.532,81,1440,9501,3515,9814
27,19093.839839206,19093.840235081,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,30.777,37,210,405,439,341
28,19094.839839206,19094.840218108,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,20,1528,348.965,81,1455,9501,3466,10986
28,19094.839839206,19094.840265778,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,29.279,37,210,405,439,341
29,19095.839839206,19095.840334914,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,20,1528,348.765,81,1440,9501,3125,11132
29,19095.839839206,19095.840296104,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.627,37,210,405,488,341
30,19096.839839206,19096.840299731,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,20,1528,349.298,81,1440,9501,3173,12011
30,19096.839839206,19096.840325861,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.635,37,210,405,439,341
31,19097.839839206,19097.840401878,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,1528,259.653,73,1920,9501,390,292
31,19097.839839206,19097.840367738,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.86,37,210,405,439,341
32,19098.839839206,19098.840283565,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,1528,162.589,70,1935,9501,439,292
32,19098.839839206,19098.840328165,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,30.946,37,210,405,439,341
33,19099.839839206,19099.840187072,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,23,1528,250.977,78,1455,9501,2246,7128
33,19099.839839206,19099.840256502,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,39.67,37,210,405,488,341
34,19100.839839206,19100.840209599,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,22,1528,349.428,80,1455,9501,4003,8398
34,19100.839839206,19100.840650239,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,30.414,37,210,405,488,341
