tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,20324.383845019,20324.384065019,2026-08-25T02:02:26.508133+00:00,-1,anchor,anchor,,,,,,,,,
0,20324.383845019,20324.397735396,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,25.457,61,210,405,488,341
0,20324.383845019,20324.392374033,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,94.776,46,435,5001,439,390
1,20325.383845019,20325.384316386,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,30.494,61,210,405,488,341
1,20325.383845019,20325.384368156,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,43.945,45,210,810,439,390
2,20326.383845019,20326.384298393,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,24.726,61,210,405,439,341
2,20326.383845019,20326.384361633,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,44.075,45,210,405,439,390
3,20327.383845019,20327.38418194,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,23.16,60,210,405,439,341
3,20327.383845019,20327.38422924,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,32.32,44,210,405,439,439
4,20328.383845019,20328.384160107,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,22.548,60,210,405,488,341
4,20328.383845019,20328.384828867,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,30.872,44,210,405,439,390
5,20329.383845019,20329.384189714,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,27.346,61,210,405,439,341
