tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,16052.554667123,16052.554819634,2026-08-25T00:51:14.698198+00:00,-1,anchor,anchor,,,,,,,,,
0,16052.554667123,16052.564957668,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,113.125,64,390,5001,439,341
0,16052.554667123,16052.564924938,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,31.533,38,210,405,439,341
1,16053.554667123,16053.555175911,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,109.531,63,360,810,439,341
1,16053.554667123,16053.555192411,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,38.003,38,210,405,439,341
2,16054.554667123,16054.555116777,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,37.953,60,210,810,439,341
2,16054.554667123,16054.555180097,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,30.84,38,210,405,439,341
3,16055.554667123,16055.555006304,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,30.337,60,210,405,439,341
3,16055.554667123,16055.555082964,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,29.302,38,210,405,439,341
4,16056.554667123,16056.555015241,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,25.714,59,210,405,488,341
4,16056.554667123,16056.555068111,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,28.638,38,210,405,439,341
5,16057.554667123,16057.555001518,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,32,1528,70.539,69,1470,9501,4345,9130
5,16057.554667123,16057.555062408,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,33.829,38,210,405,439,341
6,16058.554667123,16058.554994445,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,21,1528,349.056,75,1470,9501,4443,8203
6,16058.554667123,16058.555067695,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,42.348,38,210,405,439,341
7,16059.554667123,16059.554995511,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,21,1528,348.901,76,1470,9501,4345,9082
7,16059.554667123,16059.555043611,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,30.397,38,210,405,439,341
8,16060.554667123,16060.555183798,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,23,1528,349.242,77,1455,9501,3857,11035
8,16060.554667123,16060.555203668,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,39.573,38,210,405,439,341
9,16061.554667123,16061.554996505,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,23,1528,349.237,77,1455,9501,3076,14501
9,16061.554667123,16061.555073235,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,30.427,38,210,405,488,341
10,16062.554667123,16062.555012892,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,23,1528,349.36,78,1470,9501,2734,13281
10,16062.554667123,16062.555061582,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.984,38,210,405,439,341
11,16063.554667123,16063.554999329,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,21,1528,349.002,78,1455,9501,3857,9130
11,16063.554667123,16063.555048359,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.631,38,210,405,439,341
12,16064.554667123,16064.554998406,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,21,1528,349.319,79,1455,9501,4003,9082
12,16064.554667123,16064.555046346,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.814,38,210,405,439,341
13,16065.554667123,16065.555006082,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,22,1528,349.334,79,1455,9501,2978,14355
13,16065.554667123,16065.555023572,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,29.025,38,210,405,439,341
14,16066.554667123,16066.555000629,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,22,1528,349.011,79,1470,9501,3027,11669
14,16066.554667123,16066.555045649,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.666,38,210,405,488,341
15,16067.554667123,16067.554995666,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,25,1528,349.217,79,1440,9501,4003,8886
15,16067.554667123,16067.555070436,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,39.92,38,210,405,439,341
16,16068.554667123,16068.555006203,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,22,1528,348.86,80,1440,9501,2880,14501
16,16068.554667123,16068.555066273,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,30.193,38,210,405,439,341
17,16069.554667123,16069.55500062,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,21,1528,348.736,80,1440,9501,3564,10302
17,16069.554667123,16069.55504389,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.754,38,210,405,439,341
18,16070.554667123,16070.555091537,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,20,1528,348.964,80,1470,9501,3857,9423
18,16070.554667123,16070.555117437,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.44,38,210,405,439,341
19,16071.554667123,16071.555003244,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,100,22,1528,348.623,80,1455,9501,2587,13525
19,16071.554667123,16071.555050064,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,28.475,38,210,405,439,341
