tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,19545.110905743,19545.111067053,2026-08-25T01:49:27.238589+00:00,-1,anchor,anchor,,,,,,,,,
0,19545.110905743,19545.121212798,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,111.228,64,465,5001,927,292
0,19545.110905743,19545.121158038,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,30.79,36,210,405,439,390
1,19546.110905743,19546.11136709,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,78.367,61,285,810,390,341
1,19546.110905743,19546.11142767,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,29.232,36,210,405,439,292
2,19547.110905743,19547.111450167,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,38.649,60,210,810,439,439
2,19547.110905743,19547.111512267,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,28.55,36,210,405,439,341
3,19548.110905743,19548.111281414,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,27.46,60,210,405,488,390
3,19548.110905743,19548.111311824,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,28.449,36,210,405,488,341
4,19549.110905743,19549.111411741,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,24.254,59,210,405,488,390
4,19549.110905743,19549.111292671,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,28.422,36,210,405,439,341
5,19550.110905743,19550.111271108,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,25.671,58,210,405,488,390
5,19550.110905743,19550.111980978,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,20,1528,64.902,43,1485,9501,3271,12988
6,19551.110905743,19551.111244964,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,35.278,58,210,405,488,390
6,19551.110905743,19551.111293624,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,349.672,46,1485,9501,3222,12841
7,19552.110905743,19552.111310731,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,24.188,58,210,405,439,390
7,19552.110905743,19552.111250531,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,348.955,47,1470,9501,2880,12939
8,19553.110905743,19553.111259708,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.089,57,210,405,439,439
8,19553.110905743,19553.111323458,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,348.583,47,1485,9501,2490,14648
9,19554.110905743,19554.111325325,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.86,57,210,405,439,390
9,19554.110905743,19554.111276325,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,21,1528,349.144,47,1485,9501,2636,14550
10,19555.110905743,19555.111260742,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.747,57,210,405,439,390
10,19555.110905743,19555.111328782,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,21,1528,349.062,47,1470,9501,2783,14160
11,19556.110905743,19556.111263219,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.854,56,210,405,439,390
11,19556.110905743,19556.111308739,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,21,1528,349.158,48,1470,9501,3125,14160
12,19557.110905743,19557.111237135,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.672,56,210,405,439,390
12,19557.110905743,19557.111284365,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,348.927,48,1470,9501,3417,13183
13,19558.110905743,19558.111249902,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,27.652,56,210,405,488,390
13,19558.110905743,19558.111922803,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,21,1528,348.823,48,1470,9501,4785,15087
14,19559.110905743,19559.111253659,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,32.974,56,210,405,439,390
14,19559.110905743,19559.111325129,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,349.453,48,1470,9501,3125,12695
15,19560.110905743,19560.111256376,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,24.576,56,210,405,439,390
15,19560.110905743,19560.111300996,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,349.011,48,1470,9501,3173,12695
16,19561.110905743,19561.111250153,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.132,55,210,405,439,390
16,19561.110905743,19561.111318883,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,349.014,48,1470,9501,3466,11914
17,19562.110905743,19562.11126436,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.544,55,210,405,488,439
17,19562.110905743,19562.11131255,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,23,1528,349.348,48,1470,9501,3759,11621
18,19563.110905743,19563.111257836,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.529,55,210,405,439,390
18,19563.110905743,19563.111307677,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,23,1528,349.676,48,1470,9501,3662,11767
19,19564.110905743,19564.111367423,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.655,55,210,405,537,390
19,19564.110905743,19564.111351273,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,349.456,48,1470,9501,3662,11718
20,19565.110905743,19565.11125076,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,26.64,55,210,405,439,390
20,19565.110905743,19565.11130107,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,349.196,48,1470,9501,3759,12109
21,19566.110905743,19566.111252397,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,32.194,55,210,405,439,390
21,19566.110905743,19566.111300817,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,349.088,48,1470,9501,3710,11425
22,19567.110905743,19567.111257874,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,24.077,55,210,405,439,390
22,19567.110905743,19567.111322634,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,348.997,48,1485,9501,3906,11132
23,19568.110905743,19568.111256161,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.794,55,210,405,439,390
23,19568.110905743,19568.111317591,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,348.962,48,1485,9501,3662,10449
24,19569.110905743,19569.111250937,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.372,55,210,405,439,390
24,19569.110905743,19569.111298548,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,21,1528,349.331,48,1485,9501,3906,10351
25,19570.110905743,19570.111253844,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.347,54,210,405,488,390
25,19570.110905743,19570.111324934,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,21,1528,349.044,48,1485,9501,3759,10351
26,19571.110905743,19571.111251341,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.466,54,210,405,537,390
26,19571.110905743,19571.111311291,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,349.41,48,1485,9501,4052,9521
27,19572.110905743,19572.111252698,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,25.726,55,210,405,439,390
27,19572.110905743,19572.111317118,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,349.522,48,1470,9501,4199,9228
28,19573.110905743,19573.111337665,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,32.282,55,210,405,439,390
28,19573.110905743,19573.111376565,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,349.197,49,1470,9501,4101,9326
29,19574.110905743,19574.111255782,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.631,55,210,405,439,439
29,19574.110905743,19574.111301632,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,23,1528,349.106,49,1470,9501,4003,9375
