tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,30909.125612651,30909.125842921,2026-08-25T05:22:28.433539+00:00,-1,anchor,anchor,,,,,,,,,
0,30909.125612651,30909.178950287,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,27.178,34,210,405,439,341
0,30909.125612651,30909.194155281,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,15.1,30,210,405,439,292
0,30909.125612651,30909.173985875,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.725,38,210,405,439,292
0,30909.125612651,30909.191593541,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,26.302,40,210,405,439,292
0,30909.125612651,30909.18984484,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,40.605,47,225,405,390,341
1,30910.125612651,30910.126364339,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,27.178,34,210,405,439,341
1,30910.125612651,30910.126327229,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,15.1,30,210,405,439,292
1,30910.125612651,30910.126463889,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.725,38,210,405,439,292
1,30910.125612651,30910.12762988,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,26.302,40,210,405,439,341
1,30910.125612651,30910.12819086,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,40.605,47,225,405,439,292
2,30911.125612651,30911.127011427,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,26.893,34,210,405,439,292
2,30911.125612651,30911.126885617,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,14.941,30,210,405,439,292
2,30911.125612651,30911.126117877,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.405,38,210,405,439,292
2,30911.125612651,30911.127049217,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,26.189,40,210,405,439,341
2,30911.125612651,30911.126869587,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,30.937,47,210,405,439,292
3,30912.125612651,30912.126711035,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,26.961,34,210,405,439,292
3,30912.125612651,30912.126735945,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,14.893,30,210,405,439,341
3,30912.125612651,30912.126599575,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.246,38,210,405,439,341
3,30912.125612651,30912.126355155,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,26.148,40,210,405,439,292
3,30912.125612651,30912.126551575,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,28.598,44,210,405,439,292
4,30913.125612651,30913.128268574,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,27.148,34,210,405,390,292
4,30913.125612651,30913.128253694,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,15.01,30,210,405,390,292
4,30913.125612651,30913.126280903,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.314,38,210,405,439,341
4,30913.125612651,30913.126264973,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,26.344,40,210,405,439,292
4,30913.125612651,30913.126381273,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,27.847,43,210,405,439,292
5,30914.125612651,30914.126494181,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,453,28.701,34,210,405,439,292
5,30914.125612651,30914.126456101,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,453,16.157,30,210,405,439,292
5,30914.125612651,30914.126231561,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,453,27.547,38,210,405,439,292
5,30914.125612651,30914.126838842,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,453,26.505,40,210,405,390,292
5,30914.125612651,30914.126377951,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,1514,27.278,42,210,405,7031,9765
6,30915.125612651,30915.126419179,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,453,38.224,34,210,405,439,292
6,30915.125612651,30915.126572569,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,453,24.496,30,210,405,439,341
6,30915.125612651,30915.126328989,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,453,35.752,38,210,405,439,341
6,30915.125612651,30915.126547449,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,453,35.47,41,210,405,439,292
6,30915.125612651,30915.126435909,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,100,30,1514,160.189,72,1545,9501,5908,11181
7,30916.125612651,30916.127637528,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,453,38.183,34,210,405,439,341
7,30916.125612651,30916.126457277,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,453,24.415,30,210,405,439,292
7,30916.125612651,30916.126358987,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,453,35.63,38,210,405,439,292
7,30916.125612651,30916.126303147,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,453,41.574,41,210,405,439,292
7,30916.125612651,30916.126496137,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,100,23,1514,354.49,77,1425,9501,2734,6250
8,30917.125612651,30917.126516465,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,453,28.825,34,210,405,439,341
8,30917.125612651,30917.126490395,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,453,16.453,30,210,405,439,292
8,30917.125612651,30917.126422935,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,453,28.678,38,210,405,439,292
8,30917.125612651,30917.127324476,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,453,28.33,41,210,405,439,292
8,30917.125612651,30917.126293645,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,100,11,1514,294.442,76,1320,9501,2636,5859
9,30918.125612651,30918.126385663,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,453,27.441,34,210,405,439,292
9,30918.125612651,30918.126213223,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,453,15.319,30,210,405,439,292
9,30918.125612651,30918.126469753,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,453,27.789,38,210,405,439,292
9,30918.125612651,30918.126506663,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,453,26.784,40,210,405,439,292
9,30918.125612651,30918.126349453,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,100,10,1514,268.712,76,1200,9501,2392,5859
10,30919.125612651,30919.126500782,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,453,26.855,34,210,405,439,292
10,30919.125612651,30919.126224171,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,453,14.858,30,210,405,390,341
10,30919.125612651,30919.126425371,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,453,27.433,38,210,405,439,341
10,30919.125612651,30919.126460712,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,453,26.354,40,210,405,439,292
10,30919.125612651,30919.126551982,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,100,9,1514,257.172,76,1140,9501,2539,5615
11,30920.125612651,30920.12644061,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,453,26.846,34,210,405,439,292
11,30920.125612651,30920.12659257,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,453,14.799,30,210,405,439,341
11,30920.125612651,30920.12656458,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,453,27.313,38,210,405,439,292
11,30920.125612651,30920.12663195,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,453,26.328,40,210,405,390,292
11,30920.125612651,30920.12641405,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,100,9,1514,252.693,76,1110,9501,2148,4785
12,30921.125612651,30921.126396128,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,453,27.0,34,210,405,439,341
12,30921.125612651,30921.126443878,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,453,14.806,30,210,405,439,292
12,30921.125612651,30921.126542108,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,453,27.364,38,210,405,439,292
12,30921.125612651,30921.126515878,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,453,26.547,40,210,405,439,341
12,30921.125612651,30921.126363848,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,100,9,1514,242.767,76,1035,9501,2148,5175
13,30922.125612651,30922.127033816,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,453,26.958,34,210,405,390,292
13,30922.125612651,30922.126368156,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,453,14.702,30,210,405,439,292
13,30922.125612651,30922.126468246,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,453,27.364,38,210,405,439,341
13,30922.125612651,30922.126317846,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,453,26.42,40,210,405,439,341
13,30922.125612651,30922.126430316,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,100,9,1514,239.761,76,1050,9501,2148,5029
14,30923.125612651,30923.126534164,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,453,27.022,34,210,405,390,292
14,30923.125612651,30923.126358484,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,453,14.829,30,210,405,439,341
14,30923.125612651,30923.126474594,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,453,27.368,38,210,405,439,292
14,30923.125612651,30923.126388984,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,453,26.449,40,210,405,390,341
14,30923.125612651,30923.126511234,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,100,8,1514,239.929,76,1035,9501,2246,5029
15,30924.125612651,30924.126540962,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,453,27.145,34,210,405,439,292
15,30924.125612651,30924.126363132,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,453,14.947,30,210,405,439,292
15,30924.125612651,30924.126556992,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,453,27.384,38,210,405,439,292
15,30924.125612651,30924.126594242,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,453,26.576,40,210,405,439,341
15,30924.125612651,30924.126317082,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,100,9,1514,239.373,76,1035,9501,2148,5078
16,30925.125612651,30925.12645465,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,453,27.061,34,210,405,439,341
16,30925.125612651,30925.12649439,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,453,14.812,30,210,405,439,292
16,30925.125612651,30925.12634481,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,453,27.298,38,210,405,439,341
16,30925.125612651,30925.12739911,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,453,26.355,40,210,405,439,341
16,30925.125612651,30925.12638077,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,100,9,1514,238.968,76,1035,9501,2246,5126
17,30926.125612651,30926.126421868,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,453,26.986,34,210,405,439,292
17,30926.125612651,30926.126707618,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,453,14.757,30,210,405,439,292
17,30926.125612651,30926.126746438,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,453,27.304,38,210,405,439,292
17,30926.125612651,30926.126388388,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,453,26.299,40,210,405,390,341
