tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,76982.830534301,76982.830766541,2026-08-25T18:10:21.702712+00:00,-1,anchor,anchor,,,,,,,,,
0,76982.830534301,76982.866281272,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,29.134,39,210,405,439,292
0,76982.830534301,76982.877111965,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,17.809,38,210,405,439,341
0,76982.830534301,76982.853244228,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,28.27,41,210,405,439,341
0,76982.830534301,76982.878560035,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,101.318,56,420,5001,390,292
0,76982.830534301,76982.866354502,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,25.898,38,210,405,439,341
1,76983.830534301,76983.831386649,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,27.847,38,210,405,439,292
1,76983.830534301,76983.831502609,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,16.597,37,210,405,439,341
1,76983.830534301,76983.831366309,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.57,41,210,405,488,341
1,76983.830534301,76983.831540659,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,73.372,52,240,810,439,292
1,76983.830534301,76983.83271782,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,24.813,38,210,405,390,292
2,76984.830534301,76984.831326527,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,27.337,38,210,405,439,341
2,76984.830534301,76984.831450467,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,16.25,37,210,405,439,292
2,76984.830534301,76984.831546667,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.527,41,210,405,537,341
2,76984.830534301,76984.831342837,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,43.423,51,210,405,439,292
2,76984.830534301,76984.833278188,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,24.44,38,210,405,439,292
3,76985.830534301,76985.831508355,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,27.271,38,210,405,439,341
3,76985.830534301,76985.831181005,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,16.324,37,210,405,439,292
3,76985.830534301,76985.831932015,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.519,41,210,405,488,341
3,76985.830534301,76985.831440645,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,34.446,51,210,405,439,292
3,76985.830534301,76985.831968166,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,24.436,38,210,405,439,292
4,76986.830534301,76986.833790614,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,27.354,38,210,405,439,341
