tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,27339.066492421,27339.066640001,2026-08-25T04:22:58.405098+00:00,-1,anchor,anchor,,,,,,,,,
0,27339.066492421,27339.138671362,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,28.169,35,210,405,439,341
0,27339.066492421,27339.136326522,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,16.567,31,210,405,439,292
0,27339.066492421,27339.112531855,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,129.021,65,510,5001,390,341
0,27339.066492421,27339.106955553,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,28.601,41,210,405,390,390
0,27339.066492421,27339.126336339,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,25.597,35,210,405,390,292
1,27340.066492421,27340.067410779,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,26.94,35,210,405,439,292
1,27340.066492421,27340.067971579,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,15.474,30,210,405,390,341
1,27340.066492421,27340.067440019,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,101.148,62,330,810,488,292
1,27340.066492421,27340.067166769,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,26.841,40,210,405,439,292
1,27340.066492421,27340.068022999,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,24.483,35,210,405,439,341
2,27341.066492421,27341.067751287,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,26.569,35,210,405,439,292
2,27341.066492421,27341.067504767,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,15.15,30,210,405,439,292
2,27341.066492421,27341.067012417,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,55.823,62,210,810,537,292
2,27341.066492421,27341.067659617,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,26.173,40,210,405,439,292
2,27341.066492421,27341.067709357,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,24.321,35,210,405,439,341
3,27342.066492421,27342.068488895,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,26.564,35,210,405,439,292
3,27342.066492421,27342.067120095,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,15.105,30,210,405,439,292
3,27342.066492421,27342.067839475,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,36.603,61,210,405,439,292
3,27342.066492421,27342.067359225,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,26.124,40,210,405,439,292
3,27342.066492421,27342.067248215,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,24.219,35,210,405,439,292
4,27343.066492421,27343.067366813,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,26.634,35,210,405,439,292
4,27343.066492421,27343.067571453,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,15.172,30,210,405,390,292
4,27343.066492421,27343.067549073,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,33.363,61,210,405,488,341
4,27343.066492421,27343.067523133,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,26.271,40,210,405,439,292
4,27343.066492421,27343.067292493,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,24.233,35,210,405,439,292
5,27344.066492421,27344.068642152,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,453,29.953,35,210,405,439,292
