tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,23244.1814987,23244.18164768,2026-08-25T03:14:43.554794+00:00,-1,anchor,anchor,,,,,,,,,
0,23244.1814987,23244.217499751,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,27.885,36,210,405,439,292
0,23244.1814987,23244.225397063,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,90.067,60,450,5001,439,292
0,23244.1814987,23244.244895519,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,28.96,37,210,405,439,341
0,23244.1814987,23244.24641309,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,27.676,41,210,405,439,341
0,23244.1814987,23244.24709359,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,25.53,34,210,405,439,292
1,23245.1814987,23245.182511369,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,26.792,36,210,405,439,292
1,23245.1814987,23245.182225599,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,68.846,58,270,810,439,292
1,23245.1814987,23245.182536019,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,28.018,36,210,405,439,341
1,23245.1814987,23245.183330599,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,26.201,40,210,405,439,341
1,23245.1814987,23245.182341589,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,24.459,34,210,405,390,341
2,23246.1814987,23246.182133937,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,26.705,36,210,405,390,292
2,23246.1814987,23246.182428837,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,38.142,57,210,810,390,292
2,23246.1814987,23246.182191957,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.604,36,210,405,439,292
2,23246.1814987,23246.182416587,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,25.9,40,210,405,390,341
2,23246.1814987,23246.183475647,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,24.156,34,210,405,439,341
3,23247.1814987,23247.182394245,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,26.858,36,210,405,390,341
3,23247.1814987,23247.182239485,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,24.164,56,210,405,439,292
3,23247.1814987,23247.182378945,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.633,36,210,405,439,292
