tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,77657.389418655,77657.389643565,2026-08-25T18:21:36.257460+00:00,-1,anchor,anchor,,,,,,,,,
0,77657.389418655,77657.411251912,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,28.835,40,210,405,439,341
0,77657.389418655,77657.425406936,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,16.927,38,210,405,390,292
0,77657.389418655,77657.419404434,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,28.838,42,210,405,439,341
0,77657.389418655,77657.433304778,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,125.653,62,480,810,390,341
0,77657.389418655,77657.433192218,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,26.271,39,210,405,439,292
1,77658.389418655,77658.390929544,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,27.47,39,210,405,439,341
1,77658.389418655,77658.390743194,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,15.815,37,210,405,390,292
1,77658.389418655,77658.389924753,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.812,41,210,405,439,341
1,77658.389418655,77658.390840294,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,83.693,57,270,810,390,292
1,77658.389418655,77658.390909504,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,25.091,38,210,405,488,292
2,77659.389418655,77659.390276021,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,27.004,39,210,405,439,341
2,77659.389418655,77659.390364651,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,15.554,37,210,405,390,292
2,77659.389418655,77659.390236211,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.436,41,210,405,439,341
2,77659.389418655,77659.392173642,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,41.19,56,210,405,439,292
2,77659.389418655,77659.390205761,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,24.675,38,210,405,537,292
3,77660.389418655,77660.39064614,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,27.103,39,210,405,439,292
3,77660.389418655,77660.390186229,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,15.751,37,210,405,439,292
3,77660.389418655,77660.39076706,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.417,41,210,405,439,341
3,77660.389418655,77660.389945919,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,35.529,56,210,405,439,292
3,77660.389418655,77660.39078582,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,24.69,38,210,405,488,292
4,77661.389418655,77661.390150517,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,27.327,39,210,405,390,292
4,77661.389418655,77661.390258758,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,15.913,37,210,405,439,292
4,77661.389418655,77661.392011568,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.506,41,210,405,390,341
4,77661.389418655,77661.391485808,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,32.562,55,210,405,439,292
4,77661.389418655,77661.390238317,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,24.744,38,210,405,488,341
5,77662.389418655,77662.390252446,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,453,31.315,39,210,405,439,341
5,77662.389418655,77662.391711766,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,453,17.973,38,210,405,390,341
5,77662.389418655,77662.390325176,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,453,29.454,41,210,405,439,292
