tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,82574.551856623,82574.552007213,2026-08-25T19:43:33.382214+00:00,-1,anchor,anchor,,,,,,,,,
0,82574.551856623,82574.582614872,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,131.312,64,510,5001,390,292
0,82574.551856623,82574.577425631,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,16.466,34,210,405,439,341
0,82574.551856623,82574.577621291,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,28.703,40,210,405,439,341
0,82574.551856623,82574.585939533,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,28.977,45,210,405,439,341
0,82574.551856623,82574.582536192,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,25.892,39,210,405,439,341
1,82575.551856623,82575.552628432,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,93.222,62,240,810,390,292
1,82575.551856623,82575.552833962,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,15.395,33,210,405,439,292
1,82575.551856623,82575.552809402,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.836,40,210,405,390,341
1,82575.551856623,82575.552599112,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,27.231,45,210,405,390,341
1,82575.551856623,82575.553734342,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,24.875,38,210,405,1025,292
2,82576.551856623,82576.55290529,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,46.708,61,210,810,439,292
