tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,86000.373798377,86000.373975807,2026-08-25T20:17:02.203683+00:00,-1,anchor,anchor,,,,,,,,,
0,86000.373798377,86000.384514212,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,23.622,58,210,405,488,439
0,86000.373798377,86000.384567902,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,83.372,49,405,810,390,341
1,86001.373798377,86001.374220614,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,23.077,57,210,405,439,341
1,86001.373798377,86001.374275564,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,58.018,48,210,810,439,341
2,86002.373798377,86002.374240171,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,23.074,57,210,405,439,341
2,86002.373798377,86002.374308691,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,35.698,48,210,405,439,341
3,86003.373798377,86003.374242868,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,22.613,57,210,405,488,341
3,86003.373798377,86003.374289818,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,31.972,48,210,405,439,341
4,86004.373798377,86004.374204414,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,22.896,57,210,405,439,341
4,86004.373798377,86004.374249664,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,30.303,48,210,405,439,341
5,86005.373798377,86005.374134071,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,26.261,57,210,405,488,341
5,86005.373798377,86005.374185481,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,90.208,55,1485,9501,537,292
6,86006.373798377,86006.374125648,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,35.145,57,210,405,439,341
6,86006.373798377,86006.374192838,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,21,1528,349.203,58,1485,9501,537,341
7,86007.373798377,86007.374248225,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.86,57,210,405,439,341
7,86007.373798377,86007.374320905,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,309.839,54,1965,9501,341,244
8,86008.373798377,86008.374216142,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.722,57,210,405,439,341
8,86008.373798377,86008.374278232,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,183.571,52,1965,9501,390,244
9,86009.373798377,86009.374167119,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.5,57,210,405,439,341
9,86009.373798377,86009.374232349,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,24,1528,189.709,56,1485,9501,537,292
10,86010.373798377,86010.374186475,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.588,57,210,405,439,341
10,86010.373798377,86010.374141705,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,349.282,58,1485,9501,537,439
11,86011.373798377,86011.374252412,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.965,57,210,405,439,341
11,86011.373798377,86011.374320052,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,311.162,55,1965,9501,390,292
12,86012.373798377,86012.374312849,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,25.006,57,210,405,439,341
12,86012.373798377,86012.374277269,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,156.439,52,1965,9501,390,292
13,86013.373798377,86013.374139666,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,30.3,58,210,405,439,341
13,86013.373798377,86013.374206446,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,24,1528,197.666,56,1485,9501,439,292
14,86014.373798377,86014.374145373,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,24.667,58,210,405,439,341
14,86014.373798377,86014.374205733,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,349.893,58,1470,9501,488,439
15,86015.373798377,86015.3742473,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.243,57,210,405,439,341
15,86015.373798377,86015.37431256,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,312.301,54,1965,9501,390,244
16,86016.373798377,86016.374245796,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.7,57,210,405,439,341
16,86016.373798377,86016.374294466,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,186.682,52,1965,9501,341,244
17,86017.373798377,86017.374146773,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.57,57,210,405,439,341
17,86017.373798377,86017.374218803,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,153.951,51,1785,9501,390,292
18,86018.373798377,86018.37428706,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,26.115,57,210,405,439,341
18,86018.373798377,86018.37419139,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,135.698,51,1785,9751,439,292
19,86019.373798377,86019.374154247,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,32.425,57,210,405,439,341
19,86019.373798377,86019.374223217,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,136.633,51,1785,9751,439,292
20,86020.373798377,86020.374190454,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,32.77,58,210,405,439,341
20,86020.373798377,86020.374231504,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,90.816,48,345,810,390,292
21,86021.373798377,86021.374036621,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,23.969,58,210,405,488,390
21,86021.373798377,86021.374007841,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,88.279,48,345,810,439,341
22,86022.373798377,86022.374169447,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,23.002,57,210,405,439,341
22,86022.373798377,86022.374238147,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,35.543,48,210,810,488,341
23,86023.373798377,86023.374149694,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.131,57,210,405,439,341
23,86023.373798377,86023.374192034,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1200,34.209,47,1455,9751,341,292
24,86024.373798377,86024.374269691,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,32.623,57,210,405,439,341
24,86024.373798377,86024.374329621,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1200,133.499,50,1785,9501,341,292
25,86025.373798377,86025.374139348,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,35.099,58,210,405,439,341
25,86025.373798377,86025.374211898,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,3,0,1934,144.944,50,1785,9501,4150,12011
26,86026.373798377,86026.374172545,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.929,57,210,405,439,341
26,86026.373798377,86026.374249545,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,98,31,1934,344.519,57,1455,9501,3173,23046
27,86027.373798377,86027.374254202,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,29.669,57,210,405,439,341
27,86027.373798377,86027.374218752,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,99,33,1934,354.067,58,1455,9501,4492,14892
28,86028.373798377,86028.374130878,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,24.346,57,210,405,439,341
28,86028.373798377,86028.374181598,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,98,31,1934,353.926,58,1440,9501,4003,16503
29,86029.373798377,86029.374222185,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.759,57,210,405,439,341
29,86029.373798377,86029.374240335,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,98,31,1934,354.214,58,1455,9501,3417,16015
30,86030.373798377,86030.374215042,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.072,57,210,405,439,341
30,86030.373798377,86030.374233442,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,98,31,1934,354.331,58,1455,9501,4345,14843
31,86031.373798377,86031.374135959,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.158,57,210,405,488,341
31,86031.373798377,86031.374185359,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,99,34,1934,354.582,58,1455,9501,3955,10693
32,86032.373798377,86032.374233666,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.384,57,210,405,488,341
32,86032.373798377,86032.374174496,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,99,31,1934,354.492,58,1455,9501,3320,21484
33,86033.373798377,86033.374252743,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.664,57,210,405,488,341
33,86033.373798377,86033.374213603,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,98,31,1934,353.729,58,1455,9501,4101,14550
34,86034.373798377,86034.374129989,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,33.195,57,210,405,439,341
34,86034.373798377,86034.374203109,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,99,34,1934,354.181,58,1455,9501,3906,13281
35,86035.373798377,86035.374124766,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,33.353,57,210,405,439,341
35,86035.373798377,86035.374195046,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,99,34,1934,354.341,58,1470,9501,3857,19287
36,86036.373798377,86036.374169523,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,24.669,58,210,405,439,341
36,86036.373798377,86036.374221673,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,98,32,1934,355.207,58,1470,9501,3662,14990
37,86037.373798377,86037.37413593,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.119,57,210,405,439,341
37,86037.373798377,86037.37419013,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,98,32,1934,355.013,58,1470,9501,4052,14794
38,86038.373798377,86038.374130197,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.415,57,210,405,439,341
38,86038.373798377,86038.374195987,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,99,34,1934,354.458,58,1470,9501,4003,17724
39,86039.373798377,86039.374135274,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.389,57,210,405,439,341
39,86039.373798377,86039.374202784,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,99,32,1934,354.512,58,1470,9501,3173,22314
40,86040.373798377,86040.37413561,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.576,57,210,405,488,341
40,86040.373798377,86040.374199211,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,98,31,1934,354.688,58,1470,9501,4003,14843
41,86041.373798377,86041.374297747,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,27.122,57,210,405,439,341
41,86041.373798377,86041.374247487,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,98,33,1934,355.255,58,1470,9501,3906,14794
42,86042.373798377,86042.374145174,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,33.125,57,210,405,439,341
42,86042.373798377,86042.374193544,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,99,34,1934,354.984,58,1470,9501,3857,18750
43,86043.373798377,86043.374262241,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.818,57,210,405,439,341
43,86043.373798377,86043.374302711,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,98,32,1934,355.336,58,1470,9501,3515,15136
44,86044.373798377,86044.374143588,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.991,57,210,405,439,341
44,86044.373798377,86044.374215558,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,98,32,1934,354.909,58,1440,9501,4687,14843
45,86045.373798377,86045.374142715,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.122,57,210,405,439,341
45,86045.373798377,86045.374192545,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,99,34,1934,354.243,58,1470,9501,3906,11718
46,86046.373798377,86046.374151742,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.972,57,210,405,439,292
46,86046.373798377,86046.374202432,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,99,34,1934,354.428,58,1470,9501,3613,19921
47,86047.373798377,86047.374184218,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.879,57,210,405,439,341
47,86047.373798377,86047.374232218,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,98,31,1934,354.717,58,1470,9501,3564,14746
48,86048.373798377,86048.374140745,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,26.228,57,210,405,488,341
48,86048.373798377,86048.374186125,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,98,32,1934,354.478,58,1470,9501,4052,14941
49,86049.373798377,86049.374183062,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,33.313,57,210,405,439,341
49,86049.373798377,86049.374233942,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,99,34,1934,354.762,58,1470,9501,3955,18164
50,86050.373798377,86050.374145359,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.27,57,210,405,439,341
50,86050.373798377,86050.374219499,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,99,32,1934,354.346,58,1455,9501,2929,17187
51,86051.373798377,86051.374270196,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.243,57,210,405,439,341
51,86051.373798377,86051.374290926,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,98,31,1934,353.805,58,1455,9501,4101,14892
52,86052.373798377,86052.374155783,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.334,57,210,405,439,341
52,86052.373798377,86052.374194883,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,98,32,1934,354.239,58,1455,9501,3955,13671
53,86053.373798377,86053.374167589,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.406,57,210,405,439,341
53,86053.373798377,86053.374214849,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,99,34,1934,354.627,58,1455,9501,3955,19091
54,86054.373798377,86054.374143446,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.696,57,210,405,439,341
54,86054.373798377,86054.374205266,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,98,32,1934,354.794,58,1470,9501,3662,14892
55,86055.373798377,86055.374168453,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,26.443,57,210,405,439,341
55,86055.373798377,86055.374234393,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,98,31,1934,354.367,58,1440,9501,4052,14892
56,86056.373798377,86056.37420722,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,34.203,57,210,405,439,341
56,86056.373798377,86056.37423997,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,99,34,1934,354.574,59,1455,9501,4052,17871
57,86057.373798377,86057.374249897,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,24.486,57,210,405,439,341
