tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,85159.828629546,85159.828793676,2026-08-25T20:26:38.638838+00:00,-1,anchor,anchor,,,,,,,,,
0,85159.828629546,85159.854456543,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,27.906,39,210,405,439,341
0,85159.828629546,85159.849385162,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,89.401,59,435,5001,439,341
0,85159.828629546,85159.870704178,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,28.256,40,210,405,439,292
0,85159.828629546,85159.87663827,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,28.765,43,210,405,439,341
0,85159.828629546,85159.861150385,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,25.4,38,210,405,1025,341
1,85160.828629546,85160.831333004,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,26.999,39,210,405,439,292
1,85160.828629546,85160.829422844,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,59.101,57,255,810,439,341
1,85160.828629546,85160.829472374,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.565,40,210,405,439,292
1,85160.828629546,85160.829484874,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,26.872,42,210,405,439,292
1,85160.828629546,85160.829617674,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,24.379,37,210,405,439,292
2,85161.828629546,85161.829270632,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,26.947,39,210,405,439,292
2,85161.828629546,85161.829520412,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,28.266,56,210,405,439,292
2,85161.828629546,85161.829547462,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.551,40,210,405,390,292
2,85161.828629546,85161.830081042,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,26.151,42,210,405,439,292
2,85161.828629546,85161.830016072,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,24.006,37,210,405,439,292
3,85162.828629546,85162.83003383,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,26.945,39,210,405,390,292
3,85162.828629546,85162.83006894,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,22.463,56,210,405,439,292
3,85162.828629546,85162.8299456,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.5,40,210,405,439,292
3,85162.828629546,85162.82917761,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,26.133,42,210,405,390,292
3,85162.828629546,85162.82938923,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,23.955,37,210,405,439,341
4,85163.828629546,85163.829319148,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,27.112,39,210,405,439,292
4,85163.828629546,85163.830572558,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,19.962,55,210,405,488,292
4,85163.828629546,85163.830623998,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.606,40,210,405,439,341
4,85163.828629546,85163.829227538,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,26.214,42,210,405,439,292
