tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,86643.644186092,86643.644332892,2026-08-25T20:27:45.471793+00:00,-1,anchor,anchor,,,,,,,,,
0,86643.644186092,86643.654611347,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,33.916,57,210,405,488,341
0,86643.644186092,86643.654641537,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,124.332,52,495,5001,439,341
1,86644.644186092,86644.644747049,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,25.397,57,210,405,439,341
1,86644.644186092,86644.644687349,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,103.062,50,375,810,439,292
2,86645.644186092,86645.644832156,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,23.388,57,210,405,439,341
2,86645.644186092,86645.644782016,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,39.07,50,225,810,488,341
3,86646.644186092,86646.644722073,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,22.429,57,210,405,439,341
3,86646.644186092,86646.644651503,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,35.599,49,210,405,439,341
4,86647.644186092,86647.644616389,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,22.468,56,210,405,439,341
4,86647.644186092,86647.644577469,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,31.569,49,210,405,439,341
5,86648.644186092,86648.644521846,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,28.974,57,210,405,439,341
5,86648.644186092,86648.644587996,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,10,2,1528,45.074,51,1785,9501,488,341
6,86649.644186092,86649.644522433,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,35.068,57,210,405,439,341
6,86649.644186092,86649.644584153,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,16,1528,336.178,59,1455,9501,390,439
7,86650.644186092,86650.64476156,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,31.57,57,210,405,439,341
7,86650.644186092,86650.64472174,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,60,12,1528,340.282,57,1830,9501,390,292
8,86651.644186092,86651.644635437,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,24.686,57,210,405,439,341
8,86651.644186092,86651.644679917,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,182.224,54,1965,9501,341,292
9,86652.644186092,86652.644536674,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.185,57,210,405,439,341
9,86652.644186092,86652.644584514,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,38,17,1528,161.802,55,1440,9501,439,439
10,86653.644186092,86653.6445216,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.917,57,210,405,439,341
10,86653.644186092,86653.64456812,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,20,1528,340.668,59,1470,9501,488,292
11,86654.644186092,86654.644661487,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.515,57,210,405,439,341
11,86654.644186092,86654.644714177,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,70,16,1528,344.415,58,1755,9501,390,292
12,86655.644186092,86655.644780564,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.343,56,210,405,439,341
12,86655.644186092,86655.644813174,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,185.941,54,1965,9501,341,292
13,86656.644186092,86656.644512901,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.547,56,210,405,439,341
13,86656.644186092,86656.644580751,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,28,10,1528,159.184,56,1470,9501,488,341
14,86657.644186092,86657.644525808,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,27.252,57,210,405,439,341
14,86657.644186092,86657.644587258,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,19,1528,338.222,59,1470,9501,439,341
15,86658.644186092,86658.644683175,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,32.653,57,210,405,439,341
15,86658.644186092,86658.644692945,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,82,18,1528,346.23,58,1665,9501,390,292
16,86659.644186092,86659.644630432,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,24.424,57,210,405,439,341
16,86659.644186092,86659.644699782,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,171.038,53,1785,9501,341,292
17,86660.644186092,86660.644653828,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.973,56,210,405,439,341
17,86660.644186092,86660.644595878,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,134.64,52,1785,9501,390,292
18,86661.644186092,86661.644382325,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,27.396,57,210,405,537,390
18,86661.644186092,86661.644418025,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,135.904,52,1785,9751,341,292
19,86662.644186092,86662.644606462,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,33.988,57,210,405,488,341
19,86662.644186092,86662.644575052,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,136.75,52,1785,9751,390,292
20,86663.644186092,86663.644515529,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,24.378,57,210,405,439,341
20,86663.644186092,86663.644563779,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,93.755,50,435,810,488,292
21,86664.644186092,86664.644426646,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,30.723,57,210,405,488,341
21,86664.644186092,86664.644481526,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,42.448,49,210,810,488,341
22,86665.644186092,86665.644584693,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,35.173,57,210,405,488,341
22,86665.644186092,86665.644621733,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,44.079,49,210,405,488,341
23,86666.644186092,86666.644510099,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,25.674,57,210,405,439,341
23,86666.644186092,86666.644567069,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,11,0,1900,54.459,51,1785,9501,7080,38671
24,86667.644186092,86667.644517876,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,32.71,57,210,405,488,341
24,86667.644186092,86667.644583096,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,98,49,1900,271.832,58,1845,9501,8740,26660
25,86668.644186092,86668.644522023,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,24.314,57,210,405,488,341
25,86668.644186092,86668.644581773,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,98,49,1900,355.925,59,1845,9501,8642,26367
26,86669.644186092,86669.64452108,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.005,57,210,405,439,341
26,86669.644186092,86669.64459146,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,98,49,1900,355.885,59,1845,9501,8349,25878
27,86670.644186092,86670.644577747,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.592,57,210,405,439,341
27,86670.644186092,86670.644588077,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,99,49,1900,356.499,59,1860,9501,8300,28222
28,86671.644186092,86671.644523554,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,26.437,57,210,405,439,341
28,86671.644186092,86671.644595754,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,98,49,1900,356.11,59,1845,9501,8300,28320
29,86672.644186092,86672.64452755,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,29.061,57,210,405,439,341
29,86672.644186092,86672.64458589,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,98,49,1900,355.846,59,1845,9501,7421,31640
30,86673.644186092,86673.644532387,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,24.107,57,210,405,439,341
30,86673.644186092,86673.644591017,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,98,48,1900,356.807,59,1860,9501,5810,34082
31,86674.644186092,86674.644526304,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,24.087,57,210,405,439,341
31,86674.644186092,86674.644583894,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,98,49,1900,356.371,59,1860,9501,6152,47949
32,86675.644186092,86675.644589831,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.821,57,210,405,439,341
32,86675.644186092,86675.644685711,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,98,49,1900,356.487,59,1860,9501,6005,50000
33,86676.644186092,86676.644521888,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.56,57,210,405,488,341
33,86676.644186092,86676.644572618,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,99,49,1900,356.064,59,1860,9501,6298,49023
34,86677.644186092,86677.644519595,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.679,57,210,405,488,341
34,86677.644186092,86677.644592285,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,98,48,1900,355.64,59,1845,9501,6542,48583
35,86678.644186092,86678.644509871,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,24.979,57,210,405,439,341
35,86678.644186092,86678.644580051,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,99,49,1900,355.687,59,1845,9501,6591,46435
36,86679.644186092,86679.644535418,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,33.761,57,210,405,488,341
36,86679.644186092,86679.644583858,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,98,49,1900,356.76,59,1845,9501,6835,45214
37,86680.644186092,86680.644519395,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,24.526,57,210,405,488,341
37,86680.644186092,86680.644584685,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,98,49,1900,356.687,59,1845,9501,7080,37109
38,86681.644186092,86681.644517602,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.121,57,210,405,439,341
