tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,75999.256685793,75999.256832033,2026-08-25T17:53:58.136105+00:00,-1,anchor,anchor,,,,,,,,,
0,75999.256685793,75999.296422195,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,29.155,39,210,405,439,341
0,75999.256685793,75999.277281389,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,17.067,38,210,405,439,292
0,75999.256685793,75999.288070863,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,28.733,41,210,405,488,341
0,75999.256685793,75999.303876917,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,125.624,57,495,5001,439,292
0,75999.256685793,75999.302334967,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,26.351,38,210,405,390,292
1,76000.256685793,76000.258148742,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,27.683,39,210,405,537,292
1,76000.256685793,76000.258195242,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,16.045,38,210,405,390,292
1,76000.256685793,76000.257390301,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.954,41,210,405,439,292
1,76000.256685793,76000.257589222,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,84.462,53,285,810,488,292
1,76000.256685793,76000.257531922,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,25.138,38,210,405,537,292
2,76001.256685793,76001.25924012,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,27.103,39,210,405,488,292
2,76001.256685793,76001.25796548,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,15.632,38,210,405,439,292
2,76001.256685793,76001.257363929,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.854,41,210,405,439,292
