tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,81420.153558729,81420.153804429,2026-08-25T19:00:41.999681+00:00,-1,anchor,anchor,,,,,,,,,
0,81420.153558729,81420.164124554,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,24.613,58,210,405,439,390
0,81420.153558729,81420.164153124,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,108.149,51,435,5001,439,341
1,81421.153558729,81421.154021076,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,23.31,57,210,405,488,341
1,81421.153558729,81421.154068986,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,81.978,49,255,810,390,341
2,81422.153558729,81422.154161563,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,22.698,57,210,405,439,341
2,81422.153558729,81422.154133843,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,47.832,49,210,810,439,341
3,81423.153558729,81423.153932979,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,22.48,57,210,405,439,390
3,81423.153558729,81423.154003679,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,34.46,49,210,405,439,341
4,81424.153558729,81424.153936296,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,22.603,57,210,405,488,341
4,81424.153558729,81424.153892866,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,30.963,49,210,405,439,292
5,81425.153558729,81425.154003873,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,28.603,58,210,405,439,390
5,81425.153558729,81425.153984243,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,4,1,1528,43.09,50,1785,9501,488,341
6,81426.153558729,81426.15393134,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,35.113,58,210,405,439,341
6,81426.153558729,81426.15398199,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,16,1528,330.197,58,1455,9501,439,292
7,81427.153558729,81427.153971717,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,24.265,58,210,405,439,341
7,81427.153558729,81427.153986667,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,79,15,1528,344.323,58,1905,9501,341,292
8,81428.153558729,81428.154003884,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.854,57,210,405,439,341
8,81428.153558729,81428.154066174,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,185.428,53,1965,9501,341,244
9,81429.153558729,81429.15394046,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.421,57,210,405,439,390
9,81429.153558729,81429.15397957,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,22,8,1528,156.735,54,1470,9501,390,341
10,81430.153558729,81430.153890117,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.714,57,210,405,439,390
10,81430.153558729,81430.153958367,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,17,1528,337.201,58,1455,9501,390,341
11,81431.153558729,81431.154107324,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.26,57,210,405,439,341
11,81431.153558729,81431.154125464,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,89,17,1528,347.105,57,1860,9501,390,292
12,81432.153558729,81432.153871291,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,29.267,58,210,405,439,341
12,81432.153558729,81432.153938631,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,171.1,53,1965,9501,390,244
13,81433.153558729,81433.153908778,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,30.336,58,210,405,439,341
13,81433.153558729,81433.153977038,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,12,2,1528,153.794,53,1455,9501,488,341
14,81434.153558729,81434.153907375,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.644,58,210,405,439,390
14,81434.153558729,81434.153972995,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,16,1528,335.063,58,1455,9501,488,439
15,81435.153558729,81435.154021341,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.596,57,210,405,439,341
15,81435.153558729,81435.154082031,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,98,19,1528,347.328,58,1830,9501,390,292
16,81436.153558729,81436.154005048,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.526,57,210,405,439,341
16,81436.153558729,81436.154069218,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,172.464,53,1965,9501,341,244
17,81437.153558729,81437.153887405,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.495,57,210,405,439,341
17,81437.153558729,81437.153947305,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,152.258,52,1785,9501,341,292
18,81438.153558729,81438.154158092,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,27.301,58,210,405,488,390
18,81438.153558729,81438.153837942,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,144.046,52,1785,9751,390,292
19,81439.153558729,81439.153913929,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,34.666,58,210,405,439,390
19,81439.153558729,81439.153960469,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,136.434,51,1785,9751,390,292
20,81440.153558729,81440.153911456,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,34.729,58,210,405,439,341
20,81440.153558729,81440.153981556,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,95.646,49,375,810,439,341
21,81441.153558729,81441.153748952,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,24.879,58,210,405,488,390
21,81441.153558729,81441.153789202,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,92.412,49,375,810,390,341
22,81442.153558729,81442.153992889,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,23.651,57,210,405,439,341
22,81442.153558729,81442.154035709,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,38.866,48,210,810,439,341
23,81443.153558729,81443.164629961,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.892,57,210,405,537,878
23,81443.153558729,81443.164523901,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,467,35.526,48,210,405,3662,27392
24,81444.153558729,81444.154026853,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,29.646,57,210,405,439,341
24,81444.153558729,81444.154077243,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1258,61.762,51,1785,9501,390,244
25,81445.153558729,81445.15390954,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,34.872,58,210,405,439,390
25,81445.153558729,81445.15397472,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1300,136.106,51,1785,9501,3955,292
26,81446.153558729,81446.154025607,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,25.677,57,210,405,439,341
26,81446.153558729,81446.154006827,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,39,16,1490,152.92,52,1785,9501,11572,78564
27,81447.153558729,81447.153905523,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,32.221,58,210,405,439,341
27,81447.153558729,81447.153952233,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,37,16,1490,216.529,54,1950,9501,11718,44921
28,81448.153558729,81448.1539546,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,24.557,58,210,405,439,341
28,81448.153558729,81448.15401131,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,39,18,1490,239.881,55,1965,9501,11523,79589
29,81449.153558729,81449.153920947,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.321,57,210,405,439,341
29,81449.153558729,81449.153985257,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,38,17,1490,238.587,54,1965,9501,11621,77832
30,81450.153558729,81450.153956764,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.076,57,210,405,439,341
30,81450.153558729,81450.153994964,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,39,18,1490,237.773,55,1965,9501,11767,80029
31,81451.153558729,81451.154019871,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.399,57,210,405,439,390
31,81451.153558729,81451.153998791,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,40,18,1490,238.577,55,1965,9501,11523,78710
32,81452.153558729,81452.153908548,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,24.339,57,210,405,439,390
32,81452.153558729,81452.153971398,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,41,18,1490,238.003,55,1965,9501,10839,74072
33,81453.153558729,81453.153939534,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,24.963,57,210,405,439,341
33,81453.153558729,81453.153988585,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,39,18,1490,235.191,55,1890,9501,11669,79785
34,81454.153558729,81454.153912731,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,33.657,58,210,405,439,341
34,81454.153558729,81454.153975741,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,43,20,1490,219.967,54,1965,9501,11083,75146
35,81455.153558729,81455.153920918,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,24.14,58,210,405,439,341
35,81455.153558729,81455.154590318,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,40,19,1490,235.446,55,1965,9501,11621,79882
36,81456.153558729,81456.153951605,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.966,57,210,405,439,390
36,81456.153558729,81456.153988615,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,34,15,1490,240.355,55,1965,9501,10888,74121
37,81457.153558729,81457.154005442,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.829,57,210,405,488,390
