tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,78636.028805972,78636.029039382,2026-08-25T18:37:54.889383+00:00,-1,anchor,anchor,,,,,,,,,
0,78636.028805972,78636.065004823,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,27.138,37,210,405,439,341
0,78636.028805972,78636.050093549,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,16.948,33,210,405,439,292
0,78636.028805972,78636.057422861,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.516,38,210,405,439,341
0,78636.028805972,78636.063774823,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,28.164,45,210,405,488,292
0,78636.028805972,78636.063690613,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,96.944,54,450,810,439,292
1,78637.028805972,78637.029511331,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,26.948,37,210,405,439,292
1,78637.028805972,78637.029628141,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,15.762,33,210,405,439,292
1,78637.028805972,78637.029367081,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.319,38,210,405,390,292
1,78637.028805972,78637.030107571,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,26.576,44,210,405,439,292
1,78637.028805972,78637.030747941,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,33.209,50,255,810,439,292
2,78638.028805972,78638.029496369,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,27.081,37,210,405,390,292
2,78638.028805972,78638.030215169,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,15.235,33,210,405,439,292
2,78638.028805972,78638.029635769,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.39,38,210,405,439,292
2,78638.028805972,78638.029698259,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,26.269,44,210,405,439,292
2,78638.028805972,78638.029666349,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,30.244,49,210,405,439,292
3,78639.028805972,78639.029509397,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,27.19,37,210,405,390,292
3,78639.028805972,78639.030089477,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,15.317,33,210,405,439,341
3,78639.028805972,78639.029324347,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.513,38,210,405,439,292
3,78639.028805972,78639.029547497,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,26.219,44,210,405,439,292
3,78639.028805972,78639.030113537,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,28.552,48,210,405,439,292
4,78640.028805972,78640.030052045,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,26.961,37,210,405,439,292
4,78640.028805972,78640.031300435,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,15.691,33,210,405,439,292
4,78640.028805972,78640.029546885,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.437,38,210,405,439,292
4,78640.028805972,78640.029611725,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,26.32,44,210,405,439,292
