tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,85805.132236151,85805.132381401,2026-08-25T20:37:23.937441+00:00,-1,anchor,anchor,,,,,,,,,
0,85805.132236151,85805.157409009,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,28.822,40,210,405,439,292
0,85805.132236151,85805.152173767,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,116.054,61,510,5001,439,341
0,85805.132236151,85805.176843484,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,28.877,41,210,405,390,292
0,85805.132236151,85805.175684184,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,28.356,43,210,405,439,341
0,85805.132236151,85805.167891122,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,24.93,38,210,405,439,292
1,85806.132236151,85806.13469871,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,27.376,39,210,405,1025,292
1,85806.132236151,85806.133057709,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,90.739,57,315,810,390,341
1,85806.132236151,85806.133175719,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.906,40,210,405,439,341
1,85806.132236151,85806.132937339,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,26.735,42,210,405,390,341
1,85806.132236151,85806.133094129,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,24.108,37,210,405,390,292
2,85807.132236151,85807.133047557,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,26.909,39,210,405,976,341
2,85807.132236151,85807.133178117,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,45.922,56,210,810,439,292
2,85807.132236151,85807.133137157,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.556,40,210,405,439,341
2,85807.132236151,85807.132941607,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,26.29,42,210,405,439,341
2,85807.132236151,85807.135495328,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,24.14,37,210,405,439,292
