tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,85356.133023409,85356.133176569,2026-08-25T20:06:17.965132+00:00,-1,anchor,anchor,,,,,,,,,
0,85356.133023409,85356.147150996,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,96.184,64,420,810,439,292
0,85356.133023409,85356.143165984,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,31.026,41,210,405,488,439
1,85357.133023409,85357.133493776,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,62.703,61,240,810,439,341
1,85357.133023409,85357.133567116,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,29.743,41,210,405,439,390
2,85358.133023409,85358.133473753,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,31.82,60,210,405,439,341
2,85358.133023409,85358.133538963,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,29.646,41,210,405,439,390
3,85359.133023409,85359.13347387,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,27.707,60,210,405,439,341
3,85359.133023409,85359.13353562,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,29.642,41,210,405,439,390
4,85360.133023409,85360.133498057,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,28.401,59,210,405,488,341
4,85360.133023409,85360.133472697,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,29.665,41,210,405,488,390
5,85361.133023409,85361.133460313,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,35.368,59,210,405,439,341
5,85361.133023409,85361.133432433,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,4,1,1528,45.249,43,1785,9501,439,488
6,85362.133023409,85362.13336139,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,35.811,59,210,405,439,341
6,85362.133023409,85362.13342508,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,19,1528,323.178,51,1455,9501,390,488
7,85363.133023409,85363.133517607,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,25.052,59,210,405,439,341
7,85363.133023409,85363.133590147,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,347.52,52,1545,9501,341,292
8,85364.133023409,85364.133470984,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.724,58,210,405,439,341
8,85364.133023409,85364.133517054,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,173.82,46,1950,9501,390,341
9,85365.133023409,85365.133356331,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.195,58,210,405,439,292
9,85365.133023409,85365.133402831,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,152.585,45,1785,9501,390,439
10,85366.133023409,85366.133354538,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.122,57,210,405,439,341
10,85366.133023409,85366.133422038,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,20,1528,251.374,52,1470,9501,390,488
11,85367.133023409,85367.133471644,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,26.819,58,210,405,439,341
11,85367.133023409,85367.133537554,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,348.814,52,1530,9501,390,292
12,85368.133023409,85368.133468541,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,29.463,58,210,405,439,341
12,85368.133023409,85368.133529741,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,174.24,46,1950,9501,390,341
13,85369.133023409,85369.133357798,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,24.284,58,210,405,488,341
13,85369.133023409,85369.133418578,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,154.332,45,1785,9501,390,488
14,85370.133023409,85370.133357935,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.125,57,210,405,488,341
14,85370.133023409,85370.133424015,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,18,1528,268.501,52,1455,9501,390,341
15,85371.133023409,85371.133360492,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.901,57,210,405,439,341
15,85371.133023409,85371.133406842,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,21,1528,347.912,53,1455,9501,341,341
16,85372.133023409,85372.133466039,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,22.946,56,210,405,439,292
16,85372.133023409,85372.133541139,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,175.004,46,1950,9501,341,341
17,85373.133023409,85373.133350115,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.053,56,210,405,488,341
17,85373.133023409,85373.133410315,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,153.249,45,1785,9501,439,341
18,85374.133023409,85374.133320542,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,28.096,57,210,405,488,341
18,85374.133023409,85374.133378012,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,144.103,45,1785,9751,341,341
19,85375.133023409,85375.133359759,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,34.891,57,210,405,439,341
19,85375.133023409,85375.133421309,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,134.079,44,1785,9751,390,341
20,85376.133023409,85376.133493616,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,23.843,57,210,405,439,341
20,85376.133023409,85376.133517676,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,123.922,43,510,5001,439,390
21,85377.133023409,85377.133242083,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,22.823,56,210,405,537,390
21,85377.133023409,85377.133293293,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,59.674,42,315,810,488,390
22,85378.133023409,85378.13346982,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,464,22.975,56,210,405,439,341
22,85378.133023409,85378.13353003,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,47.516,41,210,810,439,390
23,85379.133023409,85379.133477617,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,23.274,56,210,405,488,341
23,85379.133023409,85379.133536017,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1200,34.814,41,210,405,390,292
24,85380.133023409,85380.133506893,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,467,33.299,56,210,405,439,341
24,85380.133023409,85380.133595213,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1200,76.186,44,1785,9501,390,341
25,85381.133023409,85381.150043438,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,1,0,481,26.649,56,210,405,17675,20263
25,85381.133023409,85381.150065488,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,5684,133.445,44,1785,9501,927,634
26,85382.133023409,85382.133518987,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,728,93.524,60,1695,9501,390,292
26,85382.133023409,85382.133456257,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,92,46,7120,205.932,50,1575,9501,3906,19628
27,85383.133023409,85383.133422354,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,728,119.988,60,1695,9501,341,292
27,85383.133023409,85383.133504364,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,92,44,7120,340.478,52,1590,9501,4541,18066
28,85384.133023409,85384.133362561,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,728,120.488,61,1695,9501,390,292
28,85384.133023409,85384.133414151,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,92,37,7120,341.93,52,1605,9501,4394,14404
29,85385.133023409,85385.133353017,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,728,120.618,61,1695,9501,390,292
29,85385.133023409,85385.133403117,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,37,7120,346.809,52,1605,9501,4101,13427
30,85386.133023409,85386.133402424,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,728,120.77,61,1695,9501,341,292
30,85386.133023409,85386.133501834,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,37,7120,346.273,53,1605,9501,3759,14404
31,85387.133023409,85387.133454351,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,728,120.827,61,1695,9501,390,292
31,85387.133023409,85387.133544311,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,36,7120,347.724,53,1635,9501,3417,18896
32,85388.133023409,85388.133449848,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,728,120.916,61,1695,9501,341,292
32,85388.133023409,85388.133528738,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,37,7120,342.818,53,1635,9501,4687,18945
33,85389.133023409,85389.133354315,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,728,121.062,61,1695,9501,439,292
33,85389.133023409,85389.133415345,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,35,7120,342.342,53,1665,9501,4687,20117
34,85390.133023409,85390.133403422,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,728,121.069,61,1695,9501,341,292
34,85390.133023409,85390.133441512,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,38,7120,342.549,52,1725,9501,4931,19531
35,85391.133023409,85391.133419199,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,728,121.024,61,1695,9501,390,292
35,85391.133023409,85391.133489459,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,96,45,7120,344.676,52,1650,9501,5029,18066
36,85392.133023409,85392.133461755,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,728,120.994,62,1695,9501,341,292
36,85392.133023409,85392.133531005,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,93,45,7120,344.901,52,1530,9501,5126,32324
37,85393.133023409,85393.133400232,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,728,121.071,62,1695,9501,390,292
37,85393.133023409,85393.133501342,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,91,44,7120,344.987,53,1530,9501,4833,30322
38,85394.133023409,85394.133360399,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,728,121.239,62,1695,9501,341,292
38,85394.133023409,85394.133423159,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,93,46,7120,346.076,53,1500,9501,6396,23486
39,85395.133023409,85395.133415886,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,728,121.354,62,1695,9501,390,292
39,85395.133023409,85395.133443406,,1,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,92,44,7120,345.215,53,1560,9501,3662,18505
40,85396.133023409,85396.133451073,,0,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,ok,0,0,728,121.493,62,1695,9501,341,292
