tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,88878.940736097,88878.940942857,2026-08-25T21:28:37.720590+00:00,-1,anchor,anchor,,,,,,,,,
0,88878.940736097,88878.961463873,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,38.469,38,210,405,439,341
0,88878.940736097,88878.961537913,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,17.538,37,210,405,439,341
0,88878.940736097,88878.972014226,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,29.217,41,210,405,439,292
0,88878.940736097,88878.970740756,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,118.625,57,450,810,439,292
0,88878.940736097,88878.970819686,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,25.871,37,210,405,439,292
1,88879.940736097,88879.941571355,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,28.247,38,210,405,439,341
1,88879.940736097,88879.941999295,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,16.285,37,210,405,390,292
1,88879.940736097,88879.941319095,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,28.086,41,210,405,976,292
1,88879.940736097,88879.942033675,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,78.215,53,255,810,390,292
1,88879.940736097,88879.941595045,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,24.808,37,210,405,390,292
2,88880.940736097,88880.941905773,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,27.171,38,210,405,390,341
2,88880.940736097,88880.941790053,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,15.763,37,210,405,439,292
2,88880.940736097,88880.941585533,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.618,41,210,405,976,292
2,88880.940736097,88880.941830843,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,38.449,52,210,405,439,341
2,88880.940736097,88880.941953493,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,24.524,37,210,405,439,292
3,88881.940736097,88881.941615041,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,27.019,38,210,405,390,292
3,88881.940736097,88881.941837161,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,15.743,37,210,405,439,292
3,88881.940736097,88881.941764731,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.717,41,210,405,976,292
3,88881.940736097,88881.941695991,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,33.85,52,210,405,439,341
3,88881.940736097,88881.941641421,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,24.635,37,210,405,439,292
4,88882.940736097,88882.941702369,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,27.105,38,210,405,439,341
4,88882.940736097,88882.941510679,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,15.954,37,210,405,439,341
