tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,77994.691498129,77994.691640719,2026-08-25T18:27:13.556954+00:00,-1,anchor,anchor,,,,,,,,,
0,77994.691498129,77994.719787317,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,28.56,39,210,405,976,341
0,77994.691498129,77994.713866406,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,16.606,34,210,405,439,341
0,77994.691498129,77994.731582851,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,28.786,41,210,405,488,292
0,77994.691498129,77994.732540441,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,112.398,54,450,5001,390,292
0,77994.691498129,77994.731817061,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,25.486,38,210,405,439,341
1,77995.691498129,77995.692277097,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,27.251,38,210,405,439,341
1,77995.691498129,77995.692150567,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,15.771,34,210,405,390,341
1,77995.691498129,77995.692396457,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.742,40,210,405,390,292
1,77995.691498129,77995.693527018,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,84.524,51,270,810,439,292
1,77995.691498129,77995.693572888,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,24.362,37,210,405,439,292
2,77996.691498129,77996.692516185,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,26.856,38,210,405,439,341
2,77996.691498129,77996.692426555,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,15.705,34,210,405,390,292
2,77996.691498129,77996.692554515,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.314,40,210,405,390,292
2,77996.691498129,77996.692339215,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,47.849,51,210,810,439,292
2,77996.691498129,77996.694870046,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,23.978,37,210,405,390,292
3,77997.691498129,77997.692138163,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,26.976,38,210,405,390,341
3,77997.691498129,77997.691979493,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,15.605,34,210,405,390,292
3,77997.691498129,77997.692678803,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.392,40,210,405,439,292
3,77997.691498129,77997.693432184,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,33.936,50,210,405,390,292
3,77997.691498129,77997.693394694,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,24.044,37,210,405,439,341
4,77998.691498129,77998.692088441,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,27.024,38,210,405,390,488
4,77998.691498129,77998.692357201,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,15.577,34,210,405,390,292
4,77998.691498129,77998.692997792,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.533,40,210,405,439,341
4,77998.691498129,77998.692958562,,3,GPU-46bf67bb-cb31-bee1-3cf0-c35337ba97d2,ok,0,0,450,30.265,49,210,405,439,341
4,77998.691498129,77998.692920881,,4,GPU-127e16de-2b5f-dde9-1932-b4e29bb818c0,ok,0,0,450,24.087,37,210,405,439,292
5,77999.691498129,77999.69294829,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,453,28.485,39,210,405,439,341
5,77999.691498129,77999.692477179,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,453,19.187,34,210,405,439,292
5,77999.691498129,77999.692137279,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,453,27.897,40,210,405,390,292
