tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,41527.018519388,41527.018730748,2026-08-30T01:07:05.103793+00:00,-1,anchor,anchor,,,,,,,,,
0,41527.018519388,41527.02377623,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,122.803,43,525,5001,488,341
1,41528.018519388,41528.018994785,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,99.906,42,330,810,390,292
2,41529.018519388,41529.018826562,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,56.019,41,210,810,488,341
3,41530.018519388,41530.018925809,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,31.001,41,210,405,488,341
4,41531.018519388,41531.018846965,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,28.788,41,210,405,537,390
5,41532.018519388,41532.018832412,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,26,1528,141.641,49,1485,9501,537,292
6,41533.018519388,41533.018823799,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,23,1528,349.344,52,1485,9501,439,292
7,41534.018519388,41534.018952396,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,287.672,46,1785,9501,390,341
8,41535.018519388,41535.018942153,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,165.48,44,1785,9501,341,292
9,41536.018519388,41536.01881951,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,21,1528,180.432,50,1485,9501,488,439
10,41537.018519388,41537.018850106,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,349.926,52,1500,9501,439,439
11,41538.018519388,41538.018852423,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,294.809,47,1980,9501,390,292
12,41539.018519388,41539.0188518,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,150.454,45,1965,9501,390,292
13,41540.018519388,41540.018784027,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,201.65,50,1500,9501,683,439
14,41541.018519388,41541.018817874,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,25,1528,349.506,52,1500,9501,537,341
15,41542.018519388,41542.018843321,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,301.718,47,1980,9501,341,292
16,41543.018519388,41543.018815427,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,174.053,45,1965,9501,390,244
17,41544.018519388,41544.018709754,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,147.686,44,1785,9501,390,341
18,41545.018519388,41545.018869451,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,128.107,44,1785,9751,390,292
19,41546.018519388,41546.018788038,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,65,8930,155.12,48,1785,9501,6689,20166
20,41547.018519388,41547.018819155,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,60,8930,340.821,50,1695,9501,6835,19189
21,41548.018519388,41548.018836112,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,62,8930,335.006,50,1695,9501,6152,23144
22,41549.018519388,41549.018813068,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,65,8930,335.583,50,1695,9501,5566,23193
23,41550.018519388,41550.018829325,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,65,8930,336.771,51,1710,9501,6640,19775
