tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,37416.306013469,37416.306160579,2026-08-29T23:53:16.802855+00:00,-1,anchor,anchor,,,,,,,,,
0,37416.306013469,37416.312695561,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,453,90.994,40,465,5001,1708,292
1,37417.306013469,37417.306493087,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,453,77.514,39,300,810,439,292
2,37418.306013469,37418.306437855,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,453,45.087,37,210,810,439,292
3,37419.306013469,37419.306488323,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,453,21.024,37,210,405,439,341
4,37420.306013469,37420.306433601,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,453,17.636,37,210,405,439,341
5,37421.306013469,37421.306301669,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,3,0,1515,44.998,40,1710,9501,537,292
6,37422.306013469,37422.306315857,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,100,22,1515,314.228,52,1530,9501,439,341
7,37423.306013469,37423.306322865,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,100,33,1515,348.093,54,1650,9501,390,292
8,37424.306013469,37424.306320793,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,1515,159.172,44,1965,9501,390,292
9,37425.306013469,37425.306322261,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,1515,127.119,43,1710,9501,488,439
10,37426.306013469,37426.306326999,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,100,28,1515,234.036,54,1485,9501,390,439
11,37427.306013469,37427.306315767,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,100,28,1515,346.701,55,1530,9501,390,292
12,37428.306013469,37428.306320395,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,1515,164.64,46,1980,9501,390,292
13,37429.306013469,37429.306316213,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,1515,134.163,44,1710,9501,537,341
14,37430.306013469,37430.306311901,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,100,19,1515,336.034,55,1530,9501,439,341
15,37431.306013469,37431.306321199,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,100,26,1515,349.163,56,1515,9501,390,244
16,37432.306013469,37432.306324657,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,1515,151.888,47,1980,9501,439,439
17,37433.306013469,37433.306412345,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,1515,131.088,46,1710,9501,390,292
18,37434.306013469,37434.306330893,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,453,107.697,45,1710,9751,439,292
19,37435.306013469,37435.306246191,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,1515,107.358,45,1710,9751,7275,9863
20,37436.306013469,37436.306248439,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,100,36,1515,264.983,56,1485,9501,4589,13378
21,37437.306013469,37437.306321567,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,100,33,1515,349.042,57,1515,9501,4296,13085
22,37438.306013469,37438.306341455,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,100,26,1515,348.981,58,1515,9501,5712,10205
23,37439.306013469,37439.306331243,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,100,26,1515,348.803,59,1515,9501,3759,18701
24,37440.306013469,37440.306319311,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,100,25,1515,348.264,59,1515,9501,6591,10546
25,37441.306013469,37441.306318919,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,100,26,1515,348.509,59,1515,9501,3906,14062
26,37442.306013469,37442.306323497,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,100,24,1515,349.301,60,1515,9501,5517,9912
