tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,32343.723611454,32343.723765534,2026-08-29T22:34:01.852263+00:00,-1,anchor,anchor,,,,,,,,,
0,32343.723611454,32343.729270246,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,86.979,31,390,5001,439,292
1,32344.723611454,32344.724137311,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,61.074,29,225,810,390,341
2,32345.723611454,32345.724032068,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,35.513,29,210,405,439,341
3,32346.723611454,32346.723934234,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,28.908,29,210,405,488,390
4,32347.723611454,32347.723904841,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,25.621,29,210,405,488,341
5,32348.723611454,32348.724053498,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,25,1528,106.503,37,1515,9501,488,341
6,32349.723611454,32349.723928135,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,23,1528,350.751,40,1500,9501,488,439
7,32350.723611454,32350.724032412,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,289.934,35,1980,9501,439,292
8,32351.723611454,32351.723942279,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,175.563,33,1980,9501,390,292
9,32352.723611454,32352.723904455,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,24,1528,190.568,38,1515,9501,488,341
10,32353.723611454,32353.723913562,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,23,1528,350.599,40,1515,9501,537,341
11,32354.723611454,32354.724049609,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,291.663,35,1980,9501,439,292
12,32355.723611454,32355.723916436,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,143.477,33,1980,9501,488,292
13,32356.723611454,32356.723937973,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,24,1528,207.593,38,1500,9501,537,439
14,32357.723611454,32357.72390736,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,23,1528,350.481,41,1515,9501,537,341
15,32358.723611454,32358.723928546,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,292.607,35,1980,9501,439,292
