tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,35579.984402622,35579.984559082,2026-08-29T23:22:40.495021+00:00,-1,anchor,anchor,,,,,,,,,
0,35579.984402622,35579.991986395,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,453,96.736,62,450,5001,390,341
1,35580.984402622,35580.98475066,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,453,68.146,59,270,810,439,341
2,35581.984402622,35581.984733258,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,453,34.011,59,210,810,439,292
3,35582.984402622,35582.984821617,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,453,24.11,59,210,405,439,292
4,35583.984402622,35583.984847945,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,453,22.801,58,210,405,390,292
5,35584.984402622,35584.984831103,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,85,34,1515,82.418,61,1500,9501,439,439
6,35585.984402622,35585.984735081,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,100,24,1515,348.041,71,1485,9501,537,292
7,35586.984402622,35586.984710099,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,1515,327.385,71,1905,9501,488,292
8,35587.984402622,35587.984710367,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,1515,178.961,64,1935,9501,390,292
9,35588.984402622,35588.984721455,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,100,34,1515,161.038,63,1470,9501,439,292
10,35589.984402622,35589.984724363,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,100,24,1515,352.371,73,1485,9501,488,341
11,35590.984402622,35590.984724321,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,20,6,1515,334.169,74,1875,9501,390,292
12,35591.984402622,35591.984729219,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,1515,167.685,65,1935,9501,390,292
13,35592.984402622,35592.984730157,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,79,29,1515,156.461,63,1470,9501,439,439
14,35593.984402622,35593.984730335,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,100,24,1515,347.152,73,1485,9501,439,439
