tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,45199.539515692,45199.539665082,2026-08-30T02:08:17.608793+00:00,-1,anchor,anchor,,,,,,,,,
0,45199.539515692,45199.545209344,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,88.972,38,450,5001,439,341
1,45200.539515692,45200.540136299,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,69.323,36,270,810,390,341
2,45201.539515692,45201.539869245,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,37.17,36,210,405,439,341
3,45202.539515692,45202.539944322,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,28.054,36,210,405,439,390
4,45203.539515692,45203.539856369,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,26.433,36,210,405,488,341
5,45204.539515692,45204.539803976,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,23,1528,121.513,45,1485,9501,488,341
6,45205.539515692,45205.539866673,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,346.73,47,1485,9501,488,341
7,45206.539515692,45206.5399646,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,253.146,41,1965,9501,390,341
8,45207.539515692,45207.539853336,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,178.71,40,1965,9501,390,292
9,45208.539515692,45208.539797973,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,24,1528,212.893,46,1500,9501,439,488
10,45209.539515692,45209.53981064,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,24,1528,350.308,48,1485,9501,439,439
11,45210.539515692,45210.539987187,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,257.681,42,1950,9501,585,292
12,45211.539515692,45211.539870384,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,166.132,41,1965,9501,390,292
13,45212.539515692,45212.539803171,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,24,1528,214.324,46,1500,9501,439,439
14,45213.539515692,45213.539767827,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,23,1528,348.89,48,1485,9501,537,341
15,45214.539515692,45214.539943144,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,264.04,42,1950,9501,390,292
16,45215.539515692,45215.539884531,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,147.733,40,1965,9501,390,292
17,45216.539515692,45216.539689258,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,145.663,40,1785,9501,390,8935
18,45217.539515692,45217.539763655,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,126.589,39,1785,9751,390,292
19,45218.539515692,45218.539934472,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,127.635,39,1785,9751,439,292
20,45219.539515692,45219.539898838,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,89.297,38,420,5001,439,341
21,45220.539515692,45220.540092735,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,64.802,37,240,810,390,341
22,45221.539515692,45221.539905872,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,38.802,36,210,405,488,341
23,45222.539515692,45222.539933409,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,29.283,36,210,405,439,390
24,45223.539515692,45223.539935516,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,34.907,36,210,405,488,390
25,45224.539515692,45224.539922663,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,27.942,36,210,405,488,341
26,45225.539515692,45225.5399386,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,26.317,36,210,405,488,341
27,45226.539515692,45226.539936686,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,25.678,36,210,405,488,341
28,45227.539515692,45227.539898433,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,25.691,36,210,405,488,390
29,45228.539515692,45228.53993359,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,25.898,36,210,405,488,390
30,45229.539515692,45229.539926527,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,28.188,36,210,405,439,390
31,45230.539515692,45230.539823794,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,36.692,36,210,405,439,390
32,45231.539515692,45231.539934701,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,27.656,36,210,405,488,390
33,45232.539515692,45232.539910837,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,26.206,36,210,405,439,341
34,45233.539515692,45233.539786814,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,25.763,36,210,405,488,341
