tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,36017.261773912,36017.261919642,2026-08-29T23:35:15.373611+00:00,-1,anchor,anchor,,,,,,,,,
0,36017.261773912,36017.267581025,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,117.467,42,510,5001,537,390
1,36018.261773912,36018.262119569,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,87.598,41,315,810,488,341
2,36019.261773912,36019.262107196,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,38.16,40,210,810,488,390
3,36020.261773912,36020.262181833,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,38.726,40,210,405,439,390
4,36021.261773912,36021.26211949,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,28.313,40,210,405,488,341
5,36022.261773912,36022.262088707,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,29,11,1528,67.554,45,1500,9501,439,292
6,36023.261773912,36023.262078044,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,24,1528,352.145,51,1500,9501,439,341
7,36024.261773912,36024.26220472,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,323.87,49,1980,9501,439,292
8,36025.261773912,36025.262082997,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,177.383,45,1965,9501,390,292
9,36026.261773912,36026.262071154,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,22,1528,171.233,47,1500,9501,488,439
10,36027.261773912,36027.262032851,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,21,1528,349.862,51,1500,9501,439,439
11,36028.261773912,36028.262205898,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,327.349,50,1965,9501,390,341
12,36029.261773912,36029.262156805,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,164.724,44,1785,9501,390,292
13,36030.261773912,36030.262114881,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,28,1528,151.362,46,1485,9501,488,341
14,36031.261773912,36031.262048628,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,27,1528,352.411,51,1500,9501,439,341
15,36032.261773912,36032.262189965,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,5,2,1528,331.467,52,1950,9501,390,292
16,36033.261773912,36033.262170062,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,150.462,45,1965,9501,390,292
17,36034.261773912,36034.261982259,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,1528,150.109,44,1785,9501,439,341
18,36035.261773912,36035.262199496,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,0,0,464,127.806,43,1785,9751,439,341
19,36036.261773912,36036.262072822,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,4,0,728,128.987,43,1785,9501,390,341
20,36037.261773912,36037.261995049,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,137.241,44,1965,9501,1374316,341
21,36038.261773912,36038.262000596,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,153.543,44,1965,9501,7175732,3636621
22,36039.261773912,36039.262077993,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,153.457,44,1965,9501,1502294,6905615
23,36040.261773912,36040.26207325,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,153.653,44,1965,9501,1775585,341
24,36041.261773912,36041.262125667,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,153.646,44,1965,9501,7197802,4120947
25,36042.261773912,36042.262085423,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,153.499,44,1965,9501,1039990,6906884
26,36043.261773912,36043.26208212,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,153.378,44,1965,9501,2234033,341
27,36044.261773912,36044.262077497,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,153.491,44,1965,9501,7206054,4596777
28,36045.261773912,36045.262084654,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,153.582,44,1965,9501,592236,6907519
29,36046.261773912,36046.262070481,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,153.506,44,1965,9501,2688720,292
30,36047.261773912,36047.262083768,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,153.51,44,1965,9501,7204833,5051757
31,36048.261773912,36048.262080455,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,153.553,44,1965,9501,591699,6535351
32,36049.261773912,36049.262081221,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,153.625,44,1965,9501,3117333,341
33,36050.261773912,36050.262070218,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,153.433,44,1965,9501,7199560,5503808
34,36051.261773912,36051.262059425,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,153.632,44,1965,9501,592285,6070654
35,36052.261773912,36052.262070612,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,153.591,44,1965,9501,3574560,341
36,36053.261773912,36053.262082519,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,153.267,43,1965,9501,7198193,5983935
37,36054.261773912,36054.262067436,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,153.384,44,1965,9501,592236,5596972
38,36055.261773912,36055.262079592,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,153.299,44,1965,9501,4023291,341
39,36056.261773912,36056.262051029,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,153.377,43,1965,9501,7197314,6429003
40,36057.261773912,36057.262063106,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,153.512,43,1965,9501,592089,5144873
41,36058.261773912,36058.262067563,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,153.312,43,1965,9501,4458935,341
42,36059.261773912,36059.26208272,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,153.193,43,1965,9501,7199023,6905371
43,36060.261773912,36060.262076477,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,153.351,43,1965,9501,592822,4665820
44,36061.261773912,36061.262111223,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,153.192,43,1965,9501,4912890,341
45,36062.261773912,36062.26209676,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,153.3,43,1965,9501,6836181,6909667
46,36063.261773912,36063.262086807,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,153.026,43,1965,9501,592285,4201562
47,36064.261773912,36064.262076604,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,153.107,43,1965,9501,5344433,292
48,36065.261773912,36065.262083151,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,153.102,43,1965,9501,6397998,6909082
49,36066.261773912,36066.262130398,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,153.203,43,1965,9501,592431,3711523
50,36067.261773912,36067.262069214,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,153.017,43,1965,9501,5760839,341
51,36068.261773912,36068.262085901,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,153.095,43,1965,9501,5972558,6909472
52,36069.261773912,36069.262080298,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,152.904,43,1965,9501,591748,3307714
53,36070.261773912,36070.262047115,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,152.78,43,1965,9501,6198193,341
54,36071.261773912,36071.262105772,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,152.915,43,1965,9501,5516601,6909423
55,36072.261773912,36072.262076599,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,153.056,43,1965,9501,591748,2825781
56,36073.261773912,36073.262080385,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,153.147,43,1965,9501,6659375,341
57,36074.261773912,36074.262048502,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,153.124,43,1965,9501,5083105,6909814
58,36075.261773912,36075.262079169,,0,GPU-bff95c83-0adb-feb7-9825-359f31b26de8,ok,100,1,984,153.252,43,1965,9501,591699,2370507
