tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,69538.158158664,69538.158309974,2026-08-30T08:48:38.386137+00:00,-1,anchor,anchor,,,,,,,,,
0,69538.158158664,69538.165790506,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,106.115,61,450,5001,439,292
1,69539.158158664,69539.158565662,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,73.255,59,270,810,390,292
2,69540.158158664,69540.15848155,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,39.139,59,210,405,439,341
3,69541.158158664,69541.158539938,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,453,32.226,58,210,405,439,341
4,69542.158158664,69542.158473266,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,453,40.506,58,210,405,439,292
5,69543.158158664,69543.158466014,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1515,43.382,60,1710,9501,488,341
6,69544.158158664,69544.158452962,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,22,1515,326.776,68,1440,9501,537,341
7,69545.158158664,69545.15847172,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,22,1515,344.741,69,1440,9501,488,244
8,69546.158158664,69546.158472608,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1515,165.245,62,1770,9501,439,292
9,69547.158158664,69547.158484986,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1515,126.381,61,1710,9501,585,341
10,69548.158158664,69548.158472614,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,21,1515,332.6,69,1440,9501,537,439
11,69549.158158664,69549.158477632,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,21,1515,346.995,70,1425,9501,488,292
12,69550.158158664,69550.15847455,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1515,166.736,63,1905,9501,390,292
13,69551.158158664,69551.158474318,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1515,146.932,62,1905,9501,585,439
14,69552.158158664,69552.158486546,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,22,1515,247.499,69,1455,9501,488,341
15,69553.158158664,69553.158490664,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,20,1515,347.575,70,1455,9501,488,292
16,69554.158158664,69554.158486942,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1515,170.927,64,1905,9501,390,292
17,69555.158158664,69555.15887039,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1515,150.154,63,1905,9501,439,1171
