tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,78723.500780158,78723.500986338,2026-08-30T11:21:43.654744+00:00,-1,anchor,anchor,,,,,,,,,
0,78723.500780158,78723.50790899,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,105.771,61,495,5001,439,341
1,78724.500780158,78724.501280387,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,80.816,60,375,5001,439,292
2,78725.500780158,78725.501227385,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,35.839,58,225,810,585,292
3,78726.500780158,78726.509233325,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,453,28.588,57,210,405,439,1171
4,78727.500780158,78727.501116371,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,453,25.12,57,210,405,439,292
5,78728.500780158,78728.501036179,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,18,5,1514,48.735,62,1380,9501,488,292
6,78729.500780158,78729.501145717,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,100,23,1514,333.514,71,1455,9501,439,439
7,78730.500780158,78730.501076045,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,64,16,1515,341.693,69,1920,9501,390,292
8,78731.500780158,78731.501076083,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,1515,156.352,63,1950,9501,390,292
9,78732.500780158,78732.501088981,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,100,42,1515,145.397,65,1500,9501,488,488
10,78733.500780158,78733.501093989,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,100,23,1515,350.669,72,1485,9501,537,292
11,78734.500780158,78734.501047647,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,94,22,1515,348.165,72,1890,9501,390,244
12,78735.500780158,78735.501036765,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,1515,174.666,64,1905,9501,439,244
13,78736.500780158,78736.501014603,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,5,1,1515,132.623,65,1485,9501,537,292
14,78737.500780158,78737.501031151,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,100,21,1515,331.879,73,1485,9501,537,341
15,78738.500780158,78738.501034909,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,100,21,1515,348.056,74,1800,9501,390,292
16,78739.500780158,78739.501116247,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,1515,167.827,65,1935,9501,439,292
17,78740.500780158,78740.501138685,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,1515,143.436,63,1710,9501,22998,292
18,78741.500780158,78741.501129093,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,453,116.802,62,1710,9751,390,292
19,78742.500780158,78742.501093731,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,453,116.592,62,1710,9751,439,292
20,78743.500780158,78743.501105059,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,100,3,970,114.917,62,1710,9501,15810742,12830859
21,78744.500780158,78744.501068977,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,100,3,971,150.359,63,1935,9501,15603369,10446875
22,78745.500780158,78745.501088805,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,100,3,971,152.975,63,1935,9501,13299121,10112500
23,78746.500780158,78746.501080343,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,100,3,971,152.587,63,1935,9501,12893896,13075683
24,78747.500780158,78747.501085151,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,100,3,971,152.468,63,1935,9501,12878955,14000292
25,78748.500780158,78748.501083649,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,100,3,971,152.415,63,1935,9501,12763769,14000292
26,78749.500780158,78749.501088837,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,100,3,971,152.31,63,1935,9501,12448632,12350634
27,78750.500780158,78750.501081215,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,100,3,971,152.228,63,1935,9501,12389208,14000292
28,78751.500780158,78751.501090703,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,100,3,971,152.067,63,1935,9501,12730517,9894433
