tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,714691.670154396,714691.670290746,2026-09-06T20:01:06.026443+00:00,-1,anchor,anchor,,,,,,,,,
0,714691.670154396,714691.680834419,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,26.44,35,210,405,439,927
1,714692.670154396,714692.670629274,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,26.635,35,210,405,390,292
2,714693.670154396,714693.670578952,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,26.528,35,210,405,439,292
3,714694.670154396,714694.67053496,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,26.551,35,210,405,390,341
4,714695.670154396,714695.670539408,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,450,26.615,35,210,405,390,341
5,714696.670154396,714696.670477546,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,1514,32.196,37,1725,9501,927,341
6,714697.670154396,714697.670469824,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,100,28,1514,301.621,48,1485,9501,488,390
7,714698.670154396,714698.670494082,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,100,26,1514,347.184,50,1515,9501,439,292
8,714699.670154396,714699.6704929,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,1514,171.73,42,1980,9501,390,292
9,714700.670154396,714700.670460648,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,1514,137.464,41,1980,9501,537,292
10,714701.670154396,714701.670466806,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,100,24,1514,236.123,50,1500,9501,488,390
11,714702.670154396,714702.670476174,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,100,28,1514,348.422,51,1500,9501,390,292
12,714703.670154396,714703.670579632,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,1514,179.451,43,1980,9501,390,244
13,714704.670154396,714704.67057858,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,1514,160.339,43,1980,9501,439,292
14,714705.670154396,714705.670469168,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,100,23,1514,238.308,51,1485,9501,488,390
15,714706.670154396,714706.670463736,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,100,26,1514,346.931,52,1515,9501,439,292
16,714707.670154396,714707.670577094,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,1514,188.58,45,1980,9501,390,244
17,714708.670154396,714708.670572522,,0,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,ok,0,0,1514,169.802,45,1980,9501,390,292
