tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,715926.75401439,715926.75416758,2026-09-06T20:21:41.099047+00:00,-1,anchor,anchor,,,,,,,,,
0,715926.75401439,715926.760882312,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,125.448,64,1710,9751,1025,292
1,715927.75401439,715927.754485808,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,117.8,63,480,5001,390,341
2,715928.75401439,715928.754439876,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,91.839,61,300,810,390,341
3,715929.75401439,715929.754337064,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,51.361,60,210,810,390,390
4,715930.75401439,715930.754428392,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,34.4,60,210,405,439,341
5,715931.75401439,715931.75448277,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1514,31.423,60,210,405,439,4248
6,715932.75401439,715932.754364858,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,23,1514,127.565,70,1470,9501,390,439
7,715933.75401439,715933.754332686,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,24,1514,348.679,71,1455,9501,488,292
8,715934.75401439,715934.754441404,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1514,251.366,65,1905,9501,390,292
9,715935.75401439,715935.754402052,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1514,178.847,64,1905,9501,781,390
10,715936.75401439,715936.75431028,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,22,1514,215.292,71,1485,9501,488,341
11,715937.75401439,715937.754314128,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,22,1514,348.589,72,1470,9501,488,292
12,715938.75401439,715938.754357906,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1514,257.231,65,1905,9501,439,292
13,715939.75401439,715939.754441744,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1514,167.335,65,1905,9501,390,390
14,715940.75401439,715940.754317802,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,24,1514,216.172,71,1455,9501,488,439
15,715941.75401439,715941.75432126,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,24,1514,348.807,73,1470,9501,537,292
16,715942.75401439,715942.754449128,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1514,261.932,66,1905,9501,390,292
17,715943.75401439,715943.754439246,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1514,172.152,65,1905,9501,439,292
18,715944.75401439,715944.754453884,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,147.09,63,1710,9501,390,292
19,715945.75401439,715945.754440102,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,123.569,63,1710,9751,390,292
20,715946.75401439,715946.75455753,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,123.89,63,1710,9751,390,341
21,715947.75401439,715947.754324448,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,109.788,61,465,5001,439,341
22,715948.75401439,715948.754456446,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,77.35,59,300,810,439,292
23,715949.75401439,715949.754480094,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,40.827,59,210,405,439,341
24,715950.75401439,715950.754449512,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,32.464,59,210,405,390,292
25,715951.75401439,715951.75445372,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,29.342,58,210,405,439,292
26,715952.75401439,715952.754455618,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,29.003,58,210,405,390,292
27,715953.75401439,715953.754319886,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,29.02,57,210,405,439,292
28,715954.75401439,715954.754446444,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,29.055,57,210,405,439,292
29,715955.75401439,715955.754471442,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,28.782,57,210,405,390,292
30,715956.75401439,715956.75444606,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,28.397,57,210,405,439,341
31,715957.75401439,715957.754313418,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,28.327,56,210,405,439,341
