tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,715706.427456917,715706.427597587,2026-09-06T20:18:00.774487+00:00,-1,anchor,anchor,,,,,,,,,
0,715706.427456917,715706.435366659,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,106.714,61,480,5001,439,341
1,715707.427456917,715707.427929105,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,71.026,58,285,810,439,292
2,715708.427456917,715708.427841043,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,35.764,58,210,405,439,292
3,715709.427456917,715709.427866401,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,31.683,58,210,405,439,292
4,715710.427456917,715710.427918269,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,28.908,57,210,405,439,341
5,715711.427456917,715711.427772687,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1514,30.559,57,210,405,878,292
6,715712.427456917,715712.427766285,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,24,1514,258.258,68,1470,9501,488,292
7,715713.427456917,715713.427774253,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,23,1514,348.933,70,1440,9501,439,292
8,715714.427456917,715714.427880781,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1514,211.707,63,1905,9501,390,292
9,715715.427456917,715715.427766349,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1514,174.817,62,1905,9501,781,292
10,715716.427456917,715716.427770797,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,23,1514,232.652,69,1455,9501,390,439
11,715717.427456917,715717.427766355,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,22,1514,348.565,70,1455,9501,439,292
12,715718.427456917,715718.427882464,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1514,214.345,63,1905,9501,439,292
13,715719.427456917,715719.427769422,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1514,177.938,63,1905,9501,488,439
14,715720.427456917,715720.4277806,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,21,1514,231.64,70,1485,9501,439,390
15,715721.427456917,715721.427762178,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,25,1514,348.485,71,1425,9501,439,292
16,715722.427456917,715722.427876996,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1514,217.316,64,1905,9501,390,244
17,715723.427456917,715723.427880084,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1514,180.572,64,1905,9501,390,292
18,715724.427456917,715724.427863402,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,136.47,62,1710,9501,390,244
19,715725.427456917,715725.42784748,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,123.137,62,1710,9751,390,292
20,715726.427456917,715726.427768348,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,122.373,62,510,5001,390,292
21,715727.427456917,715727.427769536,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,92.373,58,315,810,15039,3076
22,715728.427456917,715728.427773804,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,5,0,832,55.409,60,1710,9501,390,292
23,715729.427456917,715729.427923792,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,832,121.891,61,1710,9501,390,292
