tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,715485.135534477,715485.135678047,2026-09-06T20:14:19.484588+00:00,-1,anchor,anchor,,,,,,,,,
0,715485.135534477,715485.1466647,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,27.355,42,210,405,439,292
1,715486.135534477,715486.136006635,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,26.56,41,210,405,439,292
2,715487.135534477,715487.135961113,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,26.509,41,210,405,439,244
3,715488.135534477,715488.135951001,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,26.531,41,210,405,439,292
4,715489.135534477,715489.136007949,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,26.563,41,210,405,439,292
5,715490.135534477,715490.135983997,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1514,26.812,41,210,405,878,292
6,715491.135534477,715491.135885015,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,26,1514,156.452,54,1515,9501,537,341
7,715492.135534477,715492.135873313,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,29,1514,349.844,56,1515,9501,488,292
8,715493.135534477,715493.135964831,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1514,233.628,49,1935,9501,439,292
9,715494.135534477,715494.135839749,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1514,156.183,49,1950,9501,439,390
10,715495.135534477,715495.135847067,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,25,1514,216.187,57,1500,9501,390,292
11,715496.135534477,715496.135867385,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,24,1514,348.256,58,1500,9501,439,292
12,715497.135534477,715497.135960783,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1514,238.686,51,1935,9501,390,244
13,715498.135534477,715498.135951481,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1514,161.636,51,1935,9501,683,292
14,715499.135534477,715499.135845529,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,26,1514,212.766,58,1500,9501,488,341
15,715500.135534477,715500.135850647,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,26,1514,349.409,59,1485,9501,439,341
16,715501.135534477,715501.135977456,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1514,245.411,53,1935,9501,390,244
17,715502.135534477,715502.135955614,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1514,169.342,52,1935,9501,390,292
18,715503.135534477,715503.135927022,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,129.038,51,1710,9501,390,292
19,715504.135534477,715504.13595935,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,120.257,51,1710,9751,390,292
20,715505.135534477,715505.135957538,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,120.29,51,1710,9751,439,341
21,715506.135534477,715506.135967246,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,93.775,49,435,5001,439,292
22,715507.135534477,715507.135936494,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,832,71.41,47,255,810,488,292
23,715508.135534477,715508.135998692,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,832,69.159,50,1710,9501,390,292
24,715509.135534477,715509.1358577,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,832,115.065,50,1710,9501,341,292
25,715510.135534477,715510.135867298,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,832,119.374,51,1710,9501,390,292
26,715511.135534477,715511.135891416,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,980,119.514,51,1710,9501,2832,17041
27,715512.135534477,715512.135944794,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,58,21,1322,131.32,53,1710,9501,8837,118164
28,715513.135534477,715513.136064822,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,53,21,1322,260.405,58,1935,9501,8837,116650
29,715514.135534477,715514.13583957,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,54,21,1322,267.694,58,1935,9501,18896,46044
30,715515.135534477,715515.135944938,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,56,22,1322,271.031,59,1935,9501,16992,121240
31,715516.135534477,715516.135899726,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,54,21,1322,269.615,59,1935,9501,16406,122900
32,715517.135534477,715517.135878564,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,56,22,1322,269.555,59,1935,9501,16015,123925
33,715518.135534477,715518.135912142,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,55,22,1322,270.831,60,1935,9501,16210,123828
34,715519.135534477,715519.1359314,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,56,21,1322,271.626,60,1935,9501,18164,128271
35,715520.135534477,715520.135889558,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,54,19,1322,268.078,60,1920,9501,18994,41894
36,715521.135534477,715521.136300146,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,54,20,1322,266.26,60,1920,9501,18994,42138
37,715522.135534477,715522.136292614,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,53,21,1322,266.902,61,1920,9501,390,292
38,715523.135534477,715523.135846902,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1322,190.736,57,1920,9501,390,292
39,715524.135534477,715524.13594016,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1322,155.893,56,1920,9501,14062,113232
40,715525.135534477,715525.135972378,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,40,16,1322,175.653,60,1920,9501,13867,31494
41,715526.135534477,715526.135923226,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,36,15,1322,232.222,60,1920,9501,14453,28369
42,715527.135534477,715527.136098584,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,37,15,1322,229.241,60,1920,9501,4931,111279
43,715528.135534477,715528.135947022,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,38,14,1322,196.353,58,1770,9501,6250,107226
44,715529.135534477,715529.13592658,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,41,14,1322,189.194,58,1755,9501,14746,29150
45,715530.135534477,715530.135947068,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,38,15,1322,186.609,59,1740,9501,5371,110791
46,715531.135534477,715531.136059076,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,38,14,1322,185.186,58,1740,9501,5859,108056
47,715532.135534477,715532.135953684,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,40,13,1322,181.783,59,1725,9501,6640,107080
48,715533.135534477,715533.135959332,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,41,13,1322,182.197,59,1725,9501,15234,25146
49,715534.135534477,715534.13605105,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,41,14,1322,182.361,59,1725,9501,14208,30810
50,715535.135534477,715535.135962278,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,38,14,1322,184.505,59,1740,9501,6494,108349
51,715536.135534477,715536.135924226,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,39,15,1322,188.748,59,1770,9501,5468,111035
52,715537.135534477,715537.135965164,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,41,13,1322,191.609,59,1770,9501,14501,30810
53,715538.135534477,715538.135966982,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,38,14,1322,190.208,60,1770,9501,6884,106005
54,715539.135534477,715539.13592939,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,40,14,1322,190.358,60,1770,9501,439,292
55,715540.135534477,715540.135944288,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1322,157.807,58,1815,9501,439,292
