frame,t_raw_s,utc,therm_mean,therm_max,roi_mean
-1,619552.649434388,2026-09-06T21:58:11.624763+00:00,anchor,anchor,anchor
0,619552.764756,2026-09-06T21:58:11.742290+00:00,32165.50,60000.00,32885.52
1,619552.804333,2026-09-06T21:58:11.781270+00:00,32166.15,60000.00,32886.13
2,619552.844139,2026-09-06T21:58:11.821040+00:00,32167.94,60000.00,32887.97
3,619552.884146,2026-09-06T21:58:11.861058+00:00,32169.34,60000.00,32889.42
4,619552.924135,2026-09-06T21:58:11.901041+00:00,32170.74,60000.00,32890.65
5,619552.964264,2026-09-06T21:58:11.941389+00:00,32172.19,60000.00,32892.08
6,619553.004227,2026-09-06T21:58:11.981337+00:00,32173.32,60000.00,32893.08
7,619553.044252,2026-09-06T21:58:12.021400+00:00,32174.26,60000.00,32893.95
8,619553.084911,2026-09-06T21:58:12.062160+00:00,32173.70,60000.00,32893.44
9,619553.124545,2026-09-06T21:58:12.101776+00:00,32173.18,60000.00,32892.94
10,619553.164587,2026-09-06T21:58:12.141471+00:00,32174.14,60000.00,32893.80
11,619553.203863,2026-09-06T21:58:12.180118+00:00,32175.45,60000.00,32895.05
12,619553.243811,2026-09-06T21:58:12.220043+00:00,32176.12,60000.00,32895.71
13,619553.283795,2026-09-06T21:58:12.260041+00:00,32175.28,60000.00,32894.69
14,619553.323858,2026-09-06T21:58:12.300098+00:00,32173.97,60000.00,32893.38
15,619553.363829,2026-09-06T21:58:12.340070+00:00,32172.85,60000.00,32892.26
16,619553.403822,2026-09-06T21:58:12.380051+00:00,32171.23,60000.00,32890.58
17,619553.443816,2026-09-06T21:58:12.420075+00:00,32170.39,60000.00,32889.81
18,619553.483834,2026-09-06T21:58:12.460067+00:00,32169.55,60000.00,32888.96
19,619553.523824,2026-09-06T21:58:12.500067+00:00,32168.74,60000.00,32888.19
20,619553.563802,2026-09-06T21:58:12.540035+00:00,32168.66,60000.00,32888.09
21,619553.603804,2026-09-06T21:58:12.580046+00:00,32169.15,60000.00,32888.63
22,619553.643803,2026-09-06T21:58:12.620037+00:00,32169.84,60000.00,32889.37
23,619553.683824,2026-09-06T21:58:12.660067+00:00,32170.23,60000.00,32889.71
24,619553.723795,2026-09-06T21:58:12.700032+00:00,32170.91,60000.00,32890.30
25,619553.763818,2026-09-06T21:58:12.740064+00:00,32171.28,60000.00,32890.74
26,619553.803804,2026-09-06T21:58:12.780047+00:00,32171.13,60000.00,32890.58
27,619553.843804,2026-09-06T21:58:12.820049+00:00,32171.52,60000.00,32891.02
28,619553.884252,2026-09-06T21:58:12.861363+00:00,32171.80,60000.00,32891.39
29,619553.924271,2026-09-06T21:58:12.901388+00:00,32172.14,60000.00,32891.67
30,619553.964263,2026-09-06T21:58:12.941370+00:00,32172.96,60000.00,32892.45
31,619554.004144,2026-09-06T21:58:12.981052+00:00,32173.20,60000.00,32892.81
32,619554.044182,2026-09-06T21:58:13.021068+00:00,32173.41,60000.00,32893.03
33,619554.084204,2026-09-06T21:58:13.061310+00:00,32173.45,60000.00,32893.13
34,619554.124236,2026-09-06T21:58:13.101333+00:00,32173.74,60000.00,32893.38
35,619554.164220,2026-09-06T21:58:13.141328+00:00,32174.28,60000.00,32893.86
36,619554.204156,2026-09-06T21:58:13.181043+00:00,32174.63,60000.00,32894.33
37,619554.244160,2026-09-06T21:58:13.221061+00:00,32174.63,60000.00,32894.30
38,619554.284250,2026-09-06T21:58:13.261351+00:00,32173.72,60000.00,32893.51
39,619554.324243,2026-09-06T21:58:13.301357+00:00,32173.18,60000.00,32892.98
40,619554.364191,2026-09-06T21:58:13.341294+00:00,32172.66,60000.00,32892.43
41,619554.404164,2026-09-06T21:58:13.381069+00:00,32172.55,60000.00,32892.35
42,619554.444154,2026-09-06T21:58:13.421055+00:00,32172.77,60000.00,32892.62
43,619554.484182,2026-09-06T21:58:13.461075+00:00,32173.67,60000.00,32893.41
44,619554.524147,2026-09-06T21:58:13.501032+00:00,32174.59,60000.00,32894.19
45,619554.564167,2026-09-06T21:58:13.541057+00:00,32175.03,60000.00,32894.55
46,619554.604164,2026-09-06T21:58:13.581043+00:00,32175.33,60000.00,32894.88
47,619554.644175,2026-09-06T21:58:13.621093+00:00,32174.00,60000.00,32893.26
48,619554.684138,2026-09-06T21:58:13.661019+00:00,32172.86,60000.00,32891.73
49,619554.724207,2026-09-06T21:58:13.701104+00:00,32171.83,60000.00,32890.48
50,619554.764146,2026-09-06T21:58:13.741042+00:00,32170.70,60000.00,32889.32
51,619554.804179,2026-09-06T21:58:13.781076+00:00,32170.26,60000.00,32888.96
52,619554.844152,2026-09-06T21:58:13.821041+00:00,32169.66,60000.00,32888.34
53,619554.884185,2026-09-06T21:58:13.861078+00:00,32168.89,60000.00,32887.65
54,619554.924149,2026-09-06T21:58:13.901044+00:00,32168.41,60000.00,32887.31
55,619554.964192,2026-09-06T21:58:13.941090+00:00,32168.49,60000.00,32887.42
56,619555.004167,2026-09-06T21:58:13.981051+00:00,32169.22,60000.00,32888.16
57,619555.044178,2026-09-06T21:58:14.021093+00:00,32169.69,60000.00,32888.57
58,619555.084169,2026-09-06T21:58:14.061062+00:00,32169.78,60000.00,32888.61
59,619555.124143,2026-09-06T21:58:14.101035+00:00,32169.90,60000.00,32888.79
60,619555.164154,2026-09-06T21:58:14.141053+00:00,32169.52,60000.00,32888.32
61,619555.204201,2026-09-06T21:58:14.181105+00:00,32169.42,60000.00,32888.24
62,619555.244138,2026-09-06T21:58:14.221020+00:00,32169.79,60000.00,32888.64
63,619555.284169,2026-09-06T21:58:14.261085+00:00,32169.66,60000.00,32888.45
64,619555.324182,2026-09-06T21:58:14.301066+00:00,32169.54,60000.00,32888.21
65,619555.364149,2026-09-06T21:58:14.341037+00:00,32169.36,60000.00,32888.10
66,619555.404235,2026-09-06T21:58:14.381330+00:00,32169.18,60000.00,32887.95
67,619555.444278,2026-09-06T21:58:14.421386+00:00,32168.47,60000.00,32887.30
68,619555.484231,2026-09-06T21:58:14.461329+00:00,32167.18,60000.00,32886.06
69,619555.524221,2026-09-06T21:58:14.501109+00:00,32165.61,60000.00,32884.58
70,619555.564186,2026-09-06T21:58:14.541072+00:00,32164.78,60000.00,32883.79
71,619555.604257,2026-09-06T21:58:14.581351+00:00,32163.89,60000.00,32882.89
72,619555.644255,2026-09-06T21:58:14.621383+00:00,32163.30,60000.00,32882.21
73,619555.684239,2026-09-06T21:58:14.661335+00:00,32163.25,60000.00,32882.13
74,619555.724172,2026-09-06T21:58:14.701063+00:00,32163.32,60000.00,32882.25
75,619555.764184,2026-09-06T21:58:14.741071+00:00,32163.43,60000.00,32882.36
76,619555.804178,2026-09-06T21:58:14.781051+00:00,32163.75,60000.00,32882.57
77,619555.844196,2026-09-06T21:58:14.821080+00:00,32164.28,60000.00,32883.04
78,619555.884178,2026-09-06T21:58:14.861061+00:00,32165.17,60000.00,32883.94
79,619555.924238,2026-09-06T21:58:14.901339+00:00,32166.40,60000.00,32885.25
80,619555.964363,2026-09-06T21:58:14.941458+00:00,32167.10,60000.00,32885.98
81,619556.004298,2026-09-06T21:58:14.981391+00:00,32166.71,60000.00,32885.47
