frame,t_raw_s,utc,lum_mean,r_mean,g_mean,b_mean,roi_lum_mean,lum_max
-1,612457.98877199,2026-09-06T19:59:56.998570+00:00,anchor,anchor,anchor,anchor,anchor,anchor
0,612458.201799,2026-09-06T19:59:57.316197+00:00,51.711,91.182,23.856,91.616,60.875,255
1,612458.342943,2026-09-06T19:59:57.421882+00:00,52.010,91.803,23.999,91.869,61.180,255
2,612458.449220,2026-09-06T19:59:57.525628+00:00,51.751,91.231,23.955,91.329,61.076,255
3,612458.551141,2026-09-06T19:59:57.628616+00:00,52.528,92.917,24.224,92.333,61.772,255
4,612458.655622,2026-09-06T19:59:57.732746+00:00,51.850,91.435,23.971,91.582,61.146,255
5,612458.757211,2026-09-06T19:59:57.834677+00:00,51.785,91.261,24.029,91.168,61.186,255
6,612458.861317,2026-09-06T19:59:57.940209+00:00,51.476,90.709,23.796,91.099,60.873,255
7,612458.966625,2026-09-06T19:59:58.043809+00:00,50.866,89.502,23.458,90.661,60.298,255
8,612459.069691,2026-09-06T19:59:58.149358+00:00,51.154,89.992,23.690,90.702,60.534,255
9,612459.176530,2026-09-06T19:59:58.254559+00:00,52.723,93.218,24.494,91.863,62.138,255
10,612459.280761,2026-09-06T19:59:58.358933+00:00,51.349,90.463,23.707,91.086,60.661,255
11,612459.385405,2026-09-06T19:59:58.463225+00:00,50.973,89.616,23.602,90.555,60.363,255
12,612459.490628,2026-09-06T19:59:58.567650+00:00,51.496,90.657,23.899,90.891,60.996,255
13,612459.593208,2026-09-06T19:59:58.670148+00:00,51.496,90.748,23.828,91.014,61.007,255
14,612459.698094,2026-09-06T19:59:58.776478+00:00,51.133,90.014,23.639,90.725,60.668,255
15,612459.803179,2026-09-06T19:59:58.880176+00:00,51.647,91.035,23.925,91.087,61.258,255
16,612459.905096,2026-09-06T19:59:58.982977+00:00,51.745,91.265,23.970,91.110,61.427,255
17,612460.010518,2026-09-06T19:59:59.087619+00:00,51.513,90.743,23.915,90.725,61.212,255
18,612460.112751,2026-09-06T19:59:59.189907+00:00,51.009,89.745,23.565,90.727,60.538,255
19,612460.217215,2026-09-06T19:59:59.294030+00:00,51.048,89.854,23.598,90.613,60.622,255
20,612460.318844,2026-09-06T19:59:59.396417+00:00,52.656,93.121,24.412,91.951,62.146,255
21,612460.422534,2026-09-06T19:59:59.500799+00:00,52.186,92.178,24.120,91.808,61.543,255
22,612460.526898,2026-09-06T19:59:59.603571+00:00,52.278,92.318,24.260,91.532,61.719,255
23,612460.628954,2026-09-06T19:59:59.706754+00:00,53.242,94.336,24.696,92.444,62.664,255
24,612460.733307,2026-09-06T19:59:59.810409+00:00,51.506,90.813,23.750,91.333,60.855,255
25,612460.834858,2026-09-06T19:59:59.911995+00:00,51.209,90.113,23.670,90.976,60.621,255
26,612460.939121,2026-09-06T20:00:00.016978+00:00,51.981,91.852,23.911,91.941,61.282,255
27,612461.044291,2026-09-06T20:00:00.121092+00:00,52.435,92.657,24.256,92.040,61.851,255
28,612461.146149,2026-09-06T20:00:00.223597+00:00,52.313,92.422,24.177,91.994,61.746,255
29,612461.251155,2026-09-06T20:00:00.327321+00:00,52.049,91.870,24.059,91.728,61.482,255
30,612461.353284,2026-09-06T20:00:00.429799+00:00,53.221,94.168,24.773,92.303,62.791,255
31,612461.457068,2026-09-06T20:00:00.534364+00:00,51.511,90.756,23.796,91.289,61.017,255
32,612461.560147,2026-09-06T20:00:00.637964+00:00,52.431,92.629,24.272,91.991,62.019,255
33,612461.668825,2026-09-06T20:00:00.746462+00:00,51.831,91.369,24.044,91.210,61.485,255
34,612461.774149,2026-09-06T20:00:00.851371+00:00,50.735,89.062,23.564,90.115,60.500,255
