Kernel Name,index,total_fma_ops,float_flops,half_flops,double_flops,tensor_flops,total_flops,total_flops_with_tensor,shared_ops,external_memory_ops,shared_ratio,global_op_ld_lookup_miss_bytes,global_op_st_lookup_miss_bytes,kernel_duration,accumulated_time,smsp__sass_thread_inst_executed_op_fadd_pred_on.sum,smsp__sass_thread_inst_executed_op_fmul_pred_on.sum,smsp__sass_thread_inst_executed_op_ffma_pred_on.sum,smsp__sass_thread_inst_executed_op_hfma_pred_on.sum,smsp__sass_thread_inst_executed_op_dfma_pred_on.sum,smsp__sass_thread_inst_executed_op_dmul_pred_on.sum,smsp__sass_thread_inst_executed_op_dadd_pred_on.sum,smsp__sass_thread_inst_executed_op_hadd_pred_on.sum,smsp__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__ops_path_tensor_src_fp16_dst_fp16.sum,sm__ops_path_tensor_src_fp16_dst_fp32.sum,sm__ops_path_tensor_src_bf16_dst_fp32.sum,sm__ops_path_tensor_src_fp8.sum,sm__ops_path_tensor_src_tf32_dst_fp32.sum,l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_miss.sum,l1tex__t_sectors_pipe_lsu_mem_global_op_st_lookup_miss.sum,flops_log,flops_threshold,is_matmul_candidate,is_attention_candidate,elementwise_add_fma_ops,role
ampere_sgemm_32x32_sliced1x4_tn,447,18874368.0,38436864.0,0.0,0.0,0.0,38436864.0,38436864.0,116736.0,21120.0,0.8467966573816156,2654208.0,49152.0,12.2,4618.104000000003,294912.0,393216.0,18874368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82944.0,1536.0,17.464527583069344,11.470684973026435,True,True,0,Q
"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, 0, float, float, float, 1, 1, 0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)",448,0.0,18432.0,0.0,0.0,0.0,18432.0,18432.0,0.0,1056.0,0.0,52224.0,12288.0,3.144,4621.248000000003,15360.0,3072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1632.0,384.0,9.821897815496174,11.470684973026435,False,False,0,splitKreduce
ampere_sgemm_32x32_sliced1x4_tn,449,18874368.0,38436864.0,0.0,0.0,0.0,38436864.0,38436864.0,116736.0,21120.0,0.8467966573816156,2654208.0,49152.0,12.168,4633.416000000003,294912.0,393216.0,18874368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82944.0,1536.0,17.464527583069344,11.470684973026435,True,True,0,K
"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, 0, float, float, float, 1, 1, 0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)",450,0.0,18432.0,0.0,0.0,0.0,18432.0,18432.0,0.0,1056.0,0.0,52224.0,12288.0,3.128,4636.544000000003,15360.0,3072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1632.0,384.0,9.821897815496174,11.470684973026435,False,False,0,splitKreduce
ampere_sgemm_32x32_sliced1x4_tn,451,18874368.0,38436864.0,0.0,0.0,0.0,38436864.0,38436864.0,116736.0,21120.0,0.8467966573816156,2654208.0,49152.0,12.14,4648.684000000002,294912.0,393216.0,18874368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82944.0,1536.0,17.464527583069344,11.470684973026435,True,True,0,V
"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, 0, float, float, float, 1, 1, 0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)",452,0.0,18432.0,0.0,0.0,0.0,18432.0,18432.0,0.0,1056.0,0.0,52224.0,12288.0,3.14,4651.824000000002,15360.0,3072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1632.0,384.0,9.821897815496174,11.470684973026435,False,False,0,splitKreduce
"void native::elementwise_kernel<128, 2, void native::gpu_kernel_impl_nocast<native::BinaryFunctor<float, float, float, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",453,0.0,3072.0,0.0,0.0,0.0,3072.0,3072.0,0.0,288.0,0.0,18432.0,12288.0,3.548,4655.372000000003,0.0,3072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.0,384.0,8.030409562130485,11.470684973026435,False,False,0,other
"void native::elementwise_kernel<128, 2, void native::gpu_kernel_impl_nocast<native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",454,0.0,1536.0,0.0,0.0,0.0,1536.0,1536.0,0.0,96.0,0.0,6144.0,6144.0,3.532,4658.904000000003,1536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,192.0,7.337587743538596,11.470684973026435,False,False,0,other
"void native::<unnamed>::CatArrayBatchedCopy<native::<unnamed>::OpaqueType<4>, unsigned int, 4, 64, 64>(T1 *, native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, native::<unnamed>::TensorSizeStride<T2, 4>, int, T2)",455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,12288.0,12288.0,5.64,4664.544000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,384.0,0.0,11.470684973026435,False,False,0,other
"void native::elementwise_kernel<128, 2, void native::gpu_kernel_impl_nocast<native::BinaryFunctor<float, float, float, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",456,0.0,3072.0,0.0,0.0,0.0,3072.0,3072.0,0.0,288.0,0.0,18432.0,12288.0,3.516,4668.060000000003,0.0,3072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.0,384.0,8.030409562130485,11.470684973026435,False,False,0,other
