Kernel Name,index,total_fma_ops,float_flops,half_flops,double_flops,tensor_flops,total_flops,total_flops_with_tensor,shared_ops,external_memory_ops,shared_ratio,global_op_ld_lookup_miss_bytes,global_op_st_lookup_miss_bytes,kernel_duration,accumulated_time,smsp__sass_thread_inst_executed_op_fadd_pred_on.sum,smsp__sass_thread_inst_executed_op_fmul_pred_on.sum,smsp__sass_thread_inst_executed_op_ffma_pred_on.sum,smsp__sass_thread_inst_executed_op_hfma_pred_on.sum,smsp__sass_thread_inst_executed_op_dfma_pred_on.sum,smsp__sass_thread_inst_executed_op_dmul_pred_on.sum,smsp__sass_thread_inst_executed_op_dadd_pred_on.sum,smsp__sass_thread_inst_executed_op_hadd_pred_on.sum,smsp__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__ops_path_tensor_src_fp16_dst_fp16.sum,sm__ops_path_tensor_src_fp16_dst_fp32.sum,sm__ops_path_tensor_src_bf16_dst_fp32.sum,sm__ops_path_tensor_src_fp8.sum,sm__ops_path_tensor_src_tf32_dst_fp32.sum,l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_miss.sum,l1tex__t_sectors_pipe_lsu_mem_global_op_st_lookup_miss.sum,flops_log,flops_threshold,is_matmul_candidate,shared_ratio_mean,role
"void at::<unnamed>::distribution_elementwise_grid_stride_kernel<float, 4, void templates::normal_and_transform<float, float, at::CUDAGeneratorImpl *, void templates::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::<unnamed>::distribution_nullary_kernel<float, float, float4, at::CUDAGeneratorImpl *, void templates::normal_and_transform<float, float, at::CUDAGeneratorImpl *, void templates::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void templates::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T4, const T5 &, T6)::[lambda(int, float) (instance 1)]>(long, at::PhiloxCudaState, T3, T4)",1,126976.0,319488.0,0,0,0.0,319488.0,319488.0,0.0,128.0,0.0,0.0,16384.0,3.168,3.168,8192.0,57344.0,126976.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,512.0,12.67447812341205,13.0352213423063,False,0.24148550334159075,other
"void at::vectorized_elementwise_kernel<4, at::FillFunctor<float>, std::array<char *, 1>>(int, T2, T3)",2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,16384.0,2.176,5.344,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,512.0,0.0,13.0352213423063,False,0.24148550334159075,other
ampere_sgemm_32x32_sliced1x4_tn,3,26214400.0,53575680.0,0,0,0.0,53575680.0,53575680.0,168960.0,29440.0,0.8516129032258064,3395104.0,81920.0,12.384,17.728,491520.0,655360.0,26214400.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,106097.0,2560.0,17.796605810395718,13.0352213423063,True,0.24148550334159075,matmul
"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, 0, float, float, float, 1, 0, 0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)",4,0.0,24576.0,0,0,0.0,24576.0,24576.0,0.0,768.0,0.0,81920.0,16384.0,3.328,21.056,20480.0,4096.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,2560.0,512.0,10.109566325223746,13.0352213423063,False,0.24148550334159075,splitKreduce
"void at::vectorized_elementwise_kernel<4, at::CUDAFunctor_add<float>, std::array<char *, 3>>(int, T2, T3)",5,4096.0,8192.0,0,0,0.0,8192.0,8192.0,0.0,96.0,0.0,32768.0,0.0,2.752,23.808,0.0,0.0,4096.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1024.0,0.0,9.011035410141815,13.0352213423063,False,0.24148550334159075,other
"void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, 1, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)",6,1048576.0,2359296.0,0,0,0.0,2359296.0,2359296.0,22016.0,14336.0,0.6056338028169014,1384448.0,25408.0,6.208,30.016,131072.0,131072.0,1048576.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,43264.0,794.0,14.673874251270396,13.0352213423063,True,0.24148550334159075,matmul
"void at::vectorized_elementwise_kernel<4, at::CUDAFunctor_add<float>, std::array<char *, 3>>(int, T2, T3)",7,4096.0,8192.0,0,0,0.0,8192.0,8192.0,0.0,96.0,0.0,32768.0,0.0,2.752,32.768,0.0,0.0,4096.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1024.0,0.0,9.011035410141815,13.0352213423063,False,0.24148550334159075,other
ampere_sgemm_32x32_sliced1x4_tn,8,27525120.0,55910400.0,0,0,0.0,55910400.0,55910400.0,165120.0,30720.0,0.8431372549019608,3399072.0,61440.0,13.856,46.624,368640.0,491520.0,27525120.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,106221.0,1920.0,17.83926098521821,13.0352213423063,True,0.24148550334159075,matmul
"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, 0, float, float, float, 1, 0, 0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)",9,0.0,18432.0,0,0,0.0,18432.0,18432.0,0.0,576.0,0.0,61440.0,12288.0,3.392,50.016000000000005,15360.0,3072.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1920.0,384.0,9.821897815496174,13.0352213423063,False,0.24148550334159075,splitKreduce
"void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, 1, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)",10,1048576.0,2310144.0,0,0,0.0,2310144.0,2310144.0,15488.0,12800.0,0.5475113122171946,1572672.0,4480.0,9.952,59.968,81920.0,131072.0,1048576.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,49146.0,140.0,14.652820851090757,13.0352213423063,True,0.24148550334159075,matmul
"void at::<unnamed>::CatArrayBatchedCopy_aligned16_contig<at::<unnamed>::OpaqueType<4>, unsigned int, 3, 128, 1>(T1 *, at::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::<unnamed>::TensorSizeStride<T2, 4>, int, T2)",11,0.0,0.0,0,0,0.0,0.0,0.0,0.0,160.0,0.0,16384.0,16384.0,3.456,63.42400000000001,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,512.0,512.0,0.0,13.0352213423063,False,0.24148550334159075,other
"void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, 1, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)",12,1048576.0,2310144.0,0,0,0.0,2310144.0,2310144.0,15488.0,12800.0,0.5475113122171946,1572544.0,4480.0,9.92,73.34400000000001,81920.0,131072.0,1048576.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,49142.0,140.0,14.652820851090757,13.0352213423063,True,0.24148550334159075,matmul
ampere_sgemm_32x32_sliced1x4_tn,13,27525120.0,55910400.0,0,0,0.0,55910400.0,55910400.0,165120.0,30720.0,0.8431372549019608,3391488.0,61440.0,13.888,87.23200000000001,368640.0,491520.0,27525120.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,105984.0,1920.0,17.83926098521821,13.0352213423063,True,0.24148550334159075,matmul
"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, 0, float, float, float, 1, 0, 0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)",14,0.0,18432.0,0,0,0.0,18432.0,18432.0,0.0,576.0,0.0,61440.0,12288.0,3.36,90.592,15360.0,3072.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1920.0,384.0,9.821897815496174,13.0352213423063,False,0.24148550334159075,splitKreduce
"void at::<unnamed>::CatArrayBatchedCopy_aligned16_contig<at::<unnamed>::OpaqueType<4>, unsigned int, 3, 128, 1>(T1 *, at::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::<unnamed>::TensorSizeStride<T2, 4>, int, T2)",15,0.0,0.0,0,0,0.0,0.0,0.0,0.0,160.0,0.0,16384.0,16384.0,3.552,94.14400000000002,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,512.0,512.0,0.0,13.0352213423063,False,0.24148550334159075,other
"std::enable_if<!T7, void>::type internal::kernel<int, int, float, float, float, float, 0, 1, 1, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13)",16,4100.0,8444.0,0,0,0.0,8444.0,8444.0,112.0,516.0,0.1783439490445859,32768.0,128.0,4.128,98.27200000000002,244.0,0.0,4100.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1024.0,4.0,9.041329829241901,13.0352213423063,False,0.24148550334159075,other
"void at::vectorized_elementwise_kernel<4, at::BUnaryFunctor<float, float, float, binary_internal::MulFunctor<float>>, std::array<char *, 2>>(int, T2, T3)",17,0.0,4.0,0,0,0.0,4.0,4.0,0.0,2.0,0.0,32.0,32.0,2.592,100.86400000000002,0.0,4.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,1.0,1.6094379124341003,13.0352213423063,False,0.24148550334159075,other
"void <unnamed>::softmax_warp_forward<float, float, float, 0, 0, 0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)",18,1044.0,2608.0,0,0,0.0,2608.0,2608.0,0.0,4.0,0.0,32.0,32.0,2.72,103.58400000000002,516.0,4.0,1044.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,1.0,7.866722285136729,13.0352213423063,False,0.24148550334159075,other
"void gemmk1_kernel<int, float, 256, 5, 0, 0, 0, 0, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float, 0>(cublasGemmk1Params<T2, T9, T10, T11, T12, biasType<T11::value_type, T12>::type>)",19,0.0,8192.0,0,0,0.0,8192.0,8192.0,512.0,384.0,0.5714285714285714,19008.0,16384.0,2.912,106.49600000000002,0.0,8192.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,594.0,512.0,9.011035410141815,13.0352213423063,False,0.24148550334159075,other
ampere_sgemm_32x32_sliced1x4_tn,20,27525120.0,55910400.0,0,0,0.0,55910400.0,55910400.0,165120.0,30720.0,0.8431372549019608,3398464.0,61440.0,13.792,120.28800000000004,368640.0,491520.0,27525120.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,106202.0,1920.0,17.83926098521821,13.0352213423063,True,0.24148550334159075,matmul
"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, 0, float, float, float, 1, 0, 0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)",21,0.0,18432.0,0,0,0.0,18432.0,18432.0,0.0,576.0,0.0,61440.0,12288.0,3.392,123.68000000000002,15360.0,3072.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1920.0,384.0,9.821897815496174,13.0352213423063,False,0.24148550334159075,splitKreduce
"void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, 1, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)",22,1048576.0,2310144.0,0,0,0.0,2310144.0,2310144.0,15488.0,12800.0,0.5475113122171946,1572544.0,4672.0,9.92,133.60000000000002,81920.0,131072.0,1048576.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,49142.0,146.0,14.652820851090757,13.0352213423063,True,0.24148550334159075,matmul
"void at::<unnamed>::CatArrayBatchedCopy_aligned16_contig<at::<unnamed>::OpaqueType<4>, unsigned int, 3, 128, 1>(T1 *, at::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::<unnamed>::TensorSizeStride<T2, 4>, int, T2)",23,0.0,0.0,0,0,0.0,0.0,0.0,0.0,160.0,0.0,16384.0,16384.0,3.52,137.12000000000003,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,512.0,512.0,0.0,13.0352213423063,False,0.24148550334159075,other
"void at::vectorized_elementwise_kernel<4, at::CUDAFunctor_add<float>, std::array<char *, 3>>(int, T2, T3)",24,4096.0,8192.0,0,0,0.0,8192.0,8192.0,0.0,96.0,0.0,32768.0,16384.0,2.688,139.80800000000002,0.0,0.0,4096.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1024.0,512.0,9.011035410141815,13.0352213423063,False,0.24148550334159075,add
"void at::vectorized_elementwise_kernel<4, at::FillFunctor<float>, std::array<char *, 1>>(int, T2, T3)",25,0.0,0.0,0,0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,65536.0,2.208,142.01600000000002,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,2048.0,0.0,13.0352213423063,False,0.24148550334159075,other
"void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, 1, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)",26,4194304.0,9437184.0,0,0,0.0,9437184.0,9437184.0,88064.0,57344.0,0.6056338028169014,4526592.0,71200.0,11.744,153.76000000000002,524288.0,524288.0,4194304.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,141456.0,2225.0,16.060168294498933,13.0352213423063,True,0.24148550334159075,matmul
"void at::vectorized_elementwise_kernel<4, at::CUDAFunctor_add<float>, std::array<char *, 3>>(int, T2, T3)",27,16384.0,32768.0,0,0,0.0,32768.0,32768.0,0.0,384.0,0.0,131072.0,0.0,2.752,156.51200000000003,0.0,0.0,16384.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,4096.0,0.0,10.397238225511654,13.0352213423063,False,0.24148550334159075,other
"void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, 1, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)",28,12582912.0,27787264.0,0,0,0.0,27787264.0,27787264.0,194560.0,155648.0,0.5555555555555556,14521344.0,76000.0,24.128,180.64000000000004,1048576.0,1572864.0,12582912.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,453792.0,2375.0,17.140088380178792,13.0352213423063,True,0.24148550334159075,matmul
"void at::vectorized_elementwise_kernel<4, at::CUDAFunctor_add<float>, std::array<char *, 3>>(int, T2, T3)",29,16384.0,32768.0,0,0,0.0,32768.0,32768.0,0.0,384.0,0.0,131072.0,0.0,2.752,183.39200000000005,0.0,0.0,16384.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,4096.0,0.0,10.397238225511654,13.0352213423063,False,0.24148550334159075,other
"void at::vectorized_elementwise_kernel<4, at::GeluCUDAKernelImpl(at::TensorIteratorBase &, at::GeluType)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)",30,114688.0,311598.0,0,0,0.0,311598.0,311598.0,0.0,256.0,0.0,65536.0,65536.0,3.168,186.5600000000001,16686.0,65536.0,114688.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,2048.0,2048.0,12.649472383730961,13.0352213423063,False,0.24148550334159075,other
"void at::vectorized_elementwise_kernel<4, at::FillFunctor<float>, std::array<char *, 1>>(int, T2, T3)",31,0.0,0.0,0,0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,16384.0,2.208,188.7680000000001,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,512.0,0.0,13.0352213423063,False,0.24148550334159075,other
"void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, 1, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)",32,2097152.0,4653056.0,0,0,0.0,4653056.0,4653056.0,35328.0,26624.0,0.5702479338842975,2768576.0,23680.0,8.544,197.31200000000007,196608.0,262144.0,2097152.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,86518.0,740.0,15.35303498091294,13.0352213423063,True,0.24148550334159075,matmul
"void at::vectorized_elementwise_kernel<4, at::CUDAFunctor_add<float>, std::array<char *, 3>>(int, T2, T3)",33,4096.0,8192.0,0,0,0.0,8192.0,8192.0,0.0,96.0,0.0,32768.0,0.0,2.72,200.03200000000007,0.0,0.0,4096.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1024.0,0.0,9.011035410141815,13.0352213423063,False,0.24148550334159075,other
ampere_sgemm_64x32_sliced1x4_tn,34,117440512.0,236716032.0,0,0,0.0,236716032.0,236716032.0,577536.0,122880.0,0.8245614035087719,15597568.0,131072.0,30.784,230.8160000000001,786432.0,1048576.0,117440512.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,487424.0,4096.0,19.282371807720473,13.0352213423063,True,0.24148550334159075,matmul
"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, 0, float, float, float, 1, 0, 0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)",35,0.0,36864.0,0,0,0.0,36864.0,36864.0,0.0,1152.0,0.0,131072.0,16384.0,3.008,233.82400000000007,32768.0,4096.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,4096.0,512.0,10.515017870423751,13.0352213423063,False,0.24148550334159075,splitKreduce
"void at::vectorized_elementwise_kernel<4, at::CUDAFunctor_add<float>, std::array<char *, 3>>(int, T2, T3)",36,4096.0,8192.0,0,0,0.0,8192.0,8192.0,0.0,96.0,0.0,32768.0,0.0,3.136,236.9600000000001,0.0,0.0,4096.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1024.0,0.0,9.011035410141815,13.0352213423063,False,0.24148550334159075,other
"void at::vectorized_elementwise_kernel<4, at::CUDAFunctor_add<float>, std::array<char *, 3>>(int, T2, T3)",37,4096.0,8192.0,0,0,0.0,8192.0,8192.0,0.0,96.0,0.0,32768.0,16384.0,2.72,239.6800000000001,0.0,0.0,4096.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1024.0,512.0,9.011035410141815,13.0352213423063,False,0.24148550334159075,add
