modality,drift,threshold,fp_budget_runs,calibration_tp,calibration_fp,calibration_median_tta_s,selected
Electrical,0.05,4.7,0,4,0,105.0,False
Electrical,0.05,4.8,0,4,0,105.0,False
Electrical,0.05,4.9,0,4,0,105.0,False
Electrical,0.05,5.0,0,4,0,105.0,False
Electrical,0.1,4.4,0,4,0,105.0,False
Electrical,0.1,4.5,0,4,0,105.0,False
Electrical,0.1,4.6,0,4,0,105.0,False
Electrical,0.1,4.7,0,4,0,105.0,False
Electrical,0.1,4.8,0,4,0,105.0,False
Electrical,0.1,4.9,0,2,0,105.0,False
Electrical,0.1,5.0,0,1,0,105.0,False
Electrical,0.15,4.1,0,4,0,105.0,False
Electrical,0.15,4.2,0,4,0,105.0,False
Electrical,0.15,4.3,0,4,0,105.0,False
Electrical,0.15,4.4,0,4,0,105.0,False
Electrical,0.15,4.5,0,4,0,105.0,False
Electrical,0.15,4.6,0,2,0,105.0,False
Electrical,0.15,4.7,0,1,0,105.0,False
Electrical,0.15,4.8,0,0,0,inf,False
Electrical,0.15,4.9,0,0,0,inf,False
Electrical,0.15,5.0,0,0,0,inf,False
Electrical,0.2,3.8,0,4,0,105.0,False
Electrical,0.2,3.9,0,4,0,105.0,False
Electrical,0.2,4.0,0,4,0,105.0,False
Electrical,0.2,4.1,0,4,0,105.0,False
Electrical,0.2,4.2,0,4,0,105.0,False
Electrical,0.2,4.3,0,2,0,105.0,False
Electrical,0.2,4.4,0,1,0,105.0,False
Electrical,0.2,4.5,0,0,0,inf,False
Electrical,0.2,4.6,0,0,0,inf,False
Electrical,0.2,4.7,0,0,0,inf,False
Electrical,0.2,4.8,0,0,0,inf,False
Electrical,0.2,4.9,0,0,0,inf,False
Electrical,0.2,5.0,0,0,0,inf,False
Electrical,0.25,3.5,0,4,0,105.0,False
Electrical,0.25,3.6,0,4,0,105.0,False
Electrical,0.25,3.7,0,4,0,105.0,False
Electrical,0.25,3.8,0,4,0,105.0,False
Electrical,0.25,3.9,0,4,0,105.0,False
Electrical,0.25,4.0,0,2,0,105.0,False
Electrical,0.25,4.1,0,1,0,105.0,False
Electrical,0.25,4.2,0,0,0,inf,False
Electrical,0.25,4.3,0,0,0,inf,False
Electrical,0.25,4.4,0,0,0,inf,False
Electrical,0.25,4.5,0,0,0,inf,False
Electrical,0.25,4.6,0,0,0,inf,False
Electrical,0.25,4.7,0,0,0,inf,False
Electrical,0.25,4.8,0,0,0,inf,False
Electrical,0.25,4.9,0,0,0,inf,False
Electrical,0.25,5.0,0,0,0,inf,False
Electrical,0.3,3.2,0,4,0,105.0,False
Electrical,0.3,3.3,0,4,0,105.0,False
Electrical,0.3,3.4,0,4,0,105.0,False
Electrical,0.3,3.5,0,4,0,105.0,False
Electrical,0.3,3.6,0,4,0,105.0,False
Electrical,0.3,3.7,0,2,0,105.0,False
Electrical,0.3,3.8,0,1,0,105.0,False
Electrical,0.3,3.9,0,0,0,inf,False
Electrical,0.3,4.0,0,0,0,inf,False
Electrical,0.3,4.1,0,0,0,inf,False
Electrical,0.3,4.2,0,0,0,inf,False
Electrical,0.3,4.3,0,0,0,inf,False
Electrical,0.3,4.4,0,0,0,inf,False
Electrical,0.3,4.5,0,0,0,inf,False
Electrical,0.3,4.6,0,0,0,inf,False
Electrical,0.3,4.7,0,0,0,inf,False
Electrical,0.3,4.8,0,0,0,inf,False
Electrical,0.3,4.9,0,0,0,inf,False
Electrical,0.3,5.0,0,0,0,inf,False
Electrical,0.35,2.9,0,4,0,105.0,False
Electrical,0.35,3.0,0,4,0,105.0,False
Electrical,0.35,3.1,0,4,0,105.0,False
Electrical,0.35,3.2,0,4,0,105.0,False
Electrical,0.35,3.3,0,4,0,105.0,False
Electrical,0.35,3.4,0,2,0,105.0,False
Electrical,0.35,3.5,0,1,0,105.0,False
Electrical,0.35,3.6,0,0,0,inf,False
Electrical,0.35,3.7,0,0,0,inf,False
Electrical,0.35,3.8,0,0,0,inf,False
Electrical,0.35,3.9,0,0,0,inf,False
Electrical,0.35,4.0,0,0,0,inf,False
Electrical,0.35,4.1,0,0,0,inf,False
Electrical,0.35,4.2,0,0,0,inf,False
Electrical,0.35,4.3,0,0,0,inf,False
Electrical,0.35,4.4,0,0,0,inf,False
Electrical,0.35,4.5,0,0,0,inf,False
Electrical,0.35,4.6,0,0,0,inf,False
Electrical,0.35,4.7,0,0,0,inf,False
Electrical,0.35,4.8,0,0,0,inf,False
Electrical,0.35,4.9,0,0,0,inf,False
Electrical,0.35,5.0,0,0,0,inf,False
Electrical,0.4,2.6,0,4,0,105.0,False
Electrical,0.4,2.7,0,4,0,105.0,False
Electrical,0.4,2.8,0,4,0,105.0,False
Electrical,0.4,2.9,0,4,0,105.0,False
Electrical,0.4,3.0,0,4,0,105.0,False
Electrical,0.4,3.1,0,2,0,105.0,False
Electrical,0.4,3.2,0,1,0,105.0,False
Electrical,0.4,3.3,0,0,0,inf,False
