protocol,modality,model,threshold,rule_windows,rule_hits,positive_detected,positive_runs,false_alerts,control_runs,selected
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.1,1,1,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.1,2,1,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.1,2,2,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.1,3,1,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.1,3,2,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.1,3,3,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.1,4,1,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.1,4,2,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.1,4,3,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.1,4,4,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.1,5,1,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.1,5,2,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.1,5,3,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.1,5,4,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.1,5,5,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.125,1,1,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.125,2,1,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.125,2,2,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.125,3,1,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.125,3,2,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.125,3,3,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.125,4,1,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.125,4,2,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.125,4,3,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.125,4,4,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.125,5,1,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.125,5,2,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.125,5,3,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.125,5,4,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.125,5,5,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.15,1,1,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.15,2,1,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.15,2,2,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.15,3,1,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.15,3,2,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.15,3,3,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.15,4,1,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.15,4,2,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.15,4,3,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.15,4,4,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.15,5,1,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.15,5,2,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.15,5,3,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.15,5,4,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.15,5,5,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.175,1,1,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.175,2,1,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.175,2,2,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.175,3,1,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.175,3,2,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.175,3,3,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.175,4,1,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.175,4,2,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.175,4,3,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.175,4,4,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.175,5,1,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.175,5,2,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.175,5,3,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.175,5,4,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.175,5,5,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.2,1,1,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.2,2,1,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.2,2,2,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.2,3,1,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.2,3,2,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.2,3,3,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.2,4,1,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.2,4,2,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.2,4,3,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.2,4,4,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.2,5,1,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.2,5,2,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.2,5,3,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.2,5,4,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.2,5,5,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.225,1,1,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.225,2,1,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.225,2,2,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.225,3,1,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.225,3,2,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.225,3,3,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.225,4,1,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.225,4,2,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.225,4,3,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.225,4,4,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.225,5,1,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.225,5,2,2,2,3,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.225,5,3,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.225,5,4,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.225,5,5,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.25,1,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.25,2,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.25,2,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.25,3,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.25,3,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.25,3,3,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.25,4,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.25,4,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.25,4,3,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.25,4,4,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.25,5,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.25,5,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.25,5,3,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.25,5,4,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.25,5,5,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.275,1,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.275,2,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.275,2,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.275,3,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.275,3,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.275,3,3,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.275,4,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.275,4,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.275,4,3,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.275,4,4,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.275,5,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.275,5,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.275,5,3,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.275,5,4,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.275,5,5,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.3,1,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.3,2,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.3,2,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.3,3,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.3,3,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.3,3,3,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.3,4,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.3,4,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.3,4,3,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.3,4,4,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.3,5,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.3,5,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.3,5,3,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.3,5,4,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.3,5,5,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.325,1,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.325,2,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.325,2,2,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.325,3,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.325,3,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.325,3,3,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.325,4,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.325,4,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.325,4,3,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.325,4,4,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.325,5,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.325,5,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.325,5,3,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.325,5,4,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.325,5,5,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.35,1,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.35,2,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.35,2,2,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.35,3,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.35,3,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.35,3,3,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.35,4,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.35,4,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.35,4,3,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.35,4,4,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.35,5,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.35,5,2,2,2,2,3,False
