run_id,role_node,return_code_node,started_epoch_s_node,finished_epoch_s_node,role_verifier,return_code_verifier,started_epoch_s_verifier,finished_epoch_s_verifier,both_sides_ok
phys_01_ordinary_training_r1,node,0,1788174282.0009086,1788174417.15819,verifier,0,1788174275.000203,1788174419.441182,True
phys_02_gemm_r1,node,0,1788174432.000837,1788174567.1580498,verifier,0,1788174425.000281,1788174569.43989,True
phys_03_duty_shaping_r1,node,0,1788174582.00082,1788174717.1582112,verifier,0,1788174575.000248,1788174719.4574947,True
phys_04_fft_r1,node,0,1788174732.0008335,1788174867.1647005,verifier,0,1788174725.0002525,1788174869.4618025,True
phys_05_interleaving_r1,node,0,1788174882.0009096,1788175017.156047,verifier,0,1788174875.0002625,1788175019.4389026,True
phys_06_memcpy_r1,node,0,1788175032.000985,1788175167.157627,verifier,0,1788175025.0002434,1788175169.4576628,True
phys_07_memory_minimal_r1,node,0,1788175182.000832,1788175317.1582346,verifier,0,1788175175.0002592,1788175319.4485629,True
phys_08_inference_control_r1,node,0,1788175332.000843,1788175467.1577952,verifier,0,1788175325.0002227,1788175469.448248,True
phys_09_migration_r1,node,0,1788175482.0008602,1788175617.1682038,verifier,0,1788175475.0002697,1788175619.4490926,True
phys_10_idle_r1,node,0,1788175632.0008209,1788175767.1641605,verifier,0,1788175625.0001657,1788175769.4452462,True
phys_11_ordinary_training_r2,node,0,1788175782.000929,1788175917.162163,verifier,0,1788175775.000257,1788175919.449192,True
phys_12_gemm_r2,node,0,1788175932.0009053,1788176067.1619,verifier,0,1788175925.0002725,1788176069.4573417,True
phys_13_duty_shaping_r2,node,0,1788176082.0009732,1788176217.1631176,verifier,0,1788176075.0002213,1788176219.446435,True
phys_14_fft_r2,node,0,1788176232.001015,1788176367.1632514,verifier,0,1788176225.0002637,1788176369.4537897,True
phys_15_interleaving_r2,node,0,1788176382.0009077,1788176517.1630836,verifier,0,1788176375.0002494,1788176519.4386077,True
phys_16_memcpy_r2,node,0,1788176532.0010097,1788176667.1593423,verifier,0,1788176525.0001526,1788176669.454566,True
phys_17_memory_minimal_r2,node,0,1788176682.0009117,1788176817.1612334,verifier,0,1788176675.000209,1788176819.4578,True
phys_18_inference_control_r2,node,0,1788176832.0008438,1788176967.15761,verifier,0,1788176825.000271,1788176969.4530752,True
phys_19_migration_r2,node,0,1788176982.0008252,1788177117.162184,verifier,0,1788176975.0001757,1788177119.4555695,True
phys_20_idle_r2,node,0,1788177132.0008156,1788177267.1665,verifier,0,1788177125.0002353,1788177269.452665,True
phys_21_ordinary_training_r3,node,0,1788177282.000816,1788177417.1608691,verifier,0,1788177275.0002644,1788177419.4476695,True
phys_22_gemm_r3,node,0,1788177432.0009186,1788177567.1659784,verifier,0,1788177425.0001535,1788177569.4540472,True
phys_23_duty_shaping_r3,node,0,1788177582.0009086,1788177717.1602476,verifier,0,1788177575.000254,1788177719.440832,True
phys_24_fft_r3,node,0,1788177732.0008285,1788177867.1682131,verifier,0,1788177725.000259,1788177869.4745717,True
phys_25_interleaving_r3,node,0,1788177882.0009067,1788178017.1628838,verifier,0,1788177875.000258,1788178019.4575543,True
phys_26_memcpy_r3,node,0,1788178032.0010073,1788178167.1669922,verifier,0,1788178025.000244,1788178169.4507382,True
phys_27_memory_minimal_r3,node,0,1788178182.0009098,1788178317.1663828,verifier,0,1788178175.0002573,1788178319.451553,True
phys_28_inference_control_r3,node,0,1788178332.0010157,1788178467.161558,verifier,0,1788178325.0003057,1788178469.4381092,True
phys_29_migration_r3,node,0,1788178482.0009794,1788178617.170425,verifier,0,1788178475.000156,1788178619.4646857,True
phys_30_idle_r3,node,0,1788178632.0011606,1788178767.1637287,verifier,0,1788178625.000264,1788178769.4510186,True
