run_id,trace_path,gpu_index,label,family,gpu_uuid,collection_day
20260824_calib-bursty_node2-gpu0_s0_r01,data/runs/20260824_calib-bursty_node2-gpu0_s0_r01/nvml.csv,0,non_ml,calib_bursty,,2026-08-24
20260824_calib-bursty_node2-gpu1_s0_r02,data/runs/20260824_calib-bursty_node2-gpu1_s0_r02/nvml.csv,1,non_ml,calib_bursty,,2026-08-25
20260824_calib-bursty_node2-gpu2_s0_r02,data/runs/20260824_calib-bursty_node2-gpu2_s0_r02/nvml.csv,2,non_ml,calib_bursty,,2026-08-25
20260824_calib-bursty_node2-gpu3_s0_r01,data/runs/20260824_calib-bursty_node2-gpu3_s0_r01/nvml.csv,3,non_ml,calib_bursty,,2026-08-24
20260824_calib-bursty_verifier-gpu0_s0_r01,data/runs/20260824_calib-bursty_verifier-gpu0_s0_r01/nvml.csv,0,non_ml,calib_bursty,,2026-08-24
20260824_calib-bursty_verifier-gpu1_s0_r02,data/runs/20260824_calib-bursty_verifier-gpu1_s0_r02/nvml.csv,1,non_ml,calib_bursty,,2026-08-24
20260824_calib-gemm_node2-gpu0_s0_r01,data/runs/20260824_calib-gemm_node2-gpu0_s0_r01/nvml.csv,0,non_ml,calib_gemm,,2026-08-24
20260824_calib-gemm_node2-gpu1_s0_r02,data/runs/20260824_calib-gemm_node2-gpu1_s0_r02/nvml.csv,1,non_ml,calib_gemm,,2026-08-24
20260824_calib-gemm_node2-gpu2_s0_r02,data/runs/20260824_calib-gemm_node2-gpu2_s0_r02/nvml.csv,2,non_ml,calib_gemm,,2026-08-25
20260824_calib-gemm_node2-gpu3_s0_r02,data/runs/20260824_calib-gemm_node2-gpu3_s0_r02/nvml.csv,3,non_ml,calib_gemm,,2026-08-25
20260824_calib-gemm_verifier-gpu0_s0_r01,data/runs/20260824_calib-gemm_verifier-gpu0_s0_r01/nvml.csv,0,non_ml,calib_gemm,,2026-08-24
20260824_calib-gemm_verifier-gpu0_s0_r02,data/runs/20260824_calib-gemm_verifier-gpu0_s0_r02/nvml.csv,0,non_ml,calib_gemm,,2026-08-24
20260824_calib-gemm_verifier-gpu0_s0_r03,data/runs/20260824_calib-gemm_verifier-gpu0_s0_r03/nvml.csv,0,non_ml,calib_gemm,,2026-08-24
20260824_calib-gemm_verifier-gpu1_s0_r02,data/runs/20260824_calib-gemm_verifier-gpu1_s0_r02/nvml.csv,1,non_ml,calib_gemm,,2026-08-24
20260824_calib-idle_node2-gpu0_s0_r01,data/runs/20260824_calib-idle_node2-gpu0_s0_r01/nvml.csv,0,non_ml,calib_idle,,2026-08-24
20260824_calib-idle_node2-gpu1_s0_r02,data/runs/20260824_calib-idle_node2-gpu1_s0_r02/nvml.csv,1,non_ml,calib_idle,,2026-08-24
20260824_calib-idle_node2-gpu2_s0_r02,data/runs/20260824_calib-idle_node2-gpu2_s0_r02/nvml.csv,2,non_ml,calib_idle,,2026-08-25
20260824_calib-idle_node2-gpu3_s0_r02,data/runs/20260824_calib-idle_node2-gpu3_s0_r02/nvml.csv,3,non_ml,calib_idle,,2026-08-25
