run_id,trace_path,gpu_index,label,family,evasion_family,split,gpu_uuid,collection_day
20260825_train_bert_node2-gpu0_s0_r01,data/runs/20260825_train_bert_node2-gpu0_s0_r01/nvml.csv,0,training,train_bert,,fit,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,2026-08-25
20260825_train_gpt2_wikitext_node2-gpu0_s0_r01,data/runs/20260825_train_gpt2_wikitext_node2-gpu0_s0_r01/nvml.csv,0,training,train_gpt2_wikitext,,fit,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,2026-08-25
20260825_train_resnet_cifar10_node2-gpu0_s0_r01,data/runs/20260825_train_resnet_cifar10_node2-gpu0_s0_r01/nvml.csv,0,training,train_resnet_cifar10,,fit,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,2026-08-25
20260825_infer_bert_node2-gpu0_s0_r01,data/runs/20260825_infer_bert_node2-gpu0_s0_r01/nvml.csv,0,inference,infer_bert,,fit,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,2026-08-25
20260825_infer_gpt2_node2-gpu0_s0_r01,data/runs/20260825_infer_gpt2_node2-gpu0_s0_r01/nvml.csv,0,inference,infer_gpt2,,fit,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,2026-08-25
20260825_infer_resnet_node2-gpu0_s0_r01,data/runs/20260825_infer_resnet_node2-gpu0_s0_r01/nvml.csv,0,inference,infer_resnet,,fit,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,2026-08-25
20260825_hpc_fft_node2-gpu0_s0_r01,data/runs/20260825_hpc_fft_node2-gpu0_s0_r01/nvml.csv,0,non_ml,hpc_fft,,fit,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,2026-08-25
20260825_hpc_gemm_node2-gpu0_s0_r01,data/runs/20260825_hpc_gemm_node2-gpu0_s0_r01/nvml.csv,0,non_ml,hpc_gemm,,fit,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,2026-08-25
20260825_hpc_memcpy_node2-gpu0_s0_r01,data/runs/20260825_hpc_memcpy_node2-gpu0_s0_r01/nvml.csv,0,non_ml,hpc_memcpy,,fit,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,2026-08-25
20260825_idle_node2-gpu0_s0_r01,data/runs/20260825_idle_node2-gpu0_s0_r01/nvml.csv,0,non_ml,idle,,fit,GPU-9b96eb67-aeee-89d5-aa85-fc650af4e25c,2026-08-25
20260825_infer_bert_node2-gpu1_s1_r02,data/runs/20260825_infer_bert_node2-gpu1_s1_r02/nvml.csv,1,inference,infer_bert,,control_test,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,2026-08-25
20260825_infer_gpt2_node2-gpu1_s1_r02,data/runs/20260825_infer_gpt2_node2-gpu1_s1_r02/nvml.csv,1,inference,infer_gpt2,,control_test,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,2026-08-25
20260825_infer_resnet_node2-gpu1_s1_r02,data/runs/20260825_infer_resnet_node2-gpu1_s1_r02/nvml.csv,1,inference,infer_resnet,,control_test,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,2026-08-25
20260825_hpc_fft_node2-gpu1_s1_r02,data/runs/20260825_hpc_fft_node2-gpu1_s1_r02/nvml.csv,1,non_ml,hpc_fft,,control_test,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,2026-08-25
20260825_hpc_gemm_node2-gpu1_s1_r02,data/runs/20260825_hpc_gemm_node2-gpu1_s1_r02/nvml.csv,1,non_ml,hpc_gemm,,control_test,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,2026-08-25
20260825_hpc_memcpy_node2-gpu1_s1_r02,data/runs/20260825_hpc_memcpy_node2-gpu1_s1_r02/nvml.csv,1,non_ml,hpc_memcpy,,control_test,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,2026-08-25
20260825_idle_node2-gpu1_s1_r02,data/runs/20260825_idle_node2-gpu1_s1_r02/nvml.csv,1,non_ml,idle,,control_test,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,2026-08-25
20260830T145308Z_dev-duty_shaping_node1-gpu1_r01,data/development_runs/20260830T145308Z_dev-duty_shaping_node1-gpu1_r01/nvml.csv,1,training,adversarial_training,timing_shaping,fit,GPU-b30ba66a-b9d4-b427-e99a-cdfa7021053e,2026-08-30
20260830T145308Z_dev-duty_shaping_node1-gpu1_r02,data/development_runs/20260830T145308Z_dev-duty_shaping_node1-gpu1_r02/nvml.csv,1,training,adversarial_training,timing_shaping,fit,GPU-b30ba66a-b9d4-b427-e99a-cdfa7021053e,2026-08-30
20260830T145308Z_dev-duty_shaping_node1-gpu1_r03,data/development_runs/20260830T145308Z_dev-duty_shaping_node1-gpu1_r03/nvml.csv,1,training,adversarial_training,timing_shaping,fit,GPU-b30ba66a-b9d4-b427-e99a-cdfa7021053e,2026-08-30
20260830T145309Z_dev-interleaving_node1-gpu2_r02,data/development_runs/20260830T145309Z_dev-interleaving_node1-gpu2_r02/nvml.csv,2,training,adversarial_training,interleaving,fit,GPU-eed88a48-1a18-3483-1c52-932f281c983a,2026-08-30
20260830T145309Z_dev-interleaving_node1-gpu2_r03,data/development_runs/20260830T145309Z_dev-interleaving_node1-gpu2_r03/nvml.csv,2,training,adversarial_training,interleaving,fit,GPU-eed88a48-1a18-3483-1c52-932f281c983a,2026-08-30
20260830T150505Z_dev-interleaving_node1-gpu2_r01,data/development_runs/20260830T150505Z_dev-interleaving_node1-gpu2_r01/nvml.csv,2,training,adversarial_training,interleaving,fit,GPU-eed88a48-1a18-3483-1c52-932f281c983a,2026-08-30
20260830T152340Z_dev-memory_minimal_node1-gpu3_r01,data/development_runs/20260830T152340Z_dev-memory_minimal_node1-gpu3_r01/nvml.csv,3,training,adversarial_training,memory_minimization,fit,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,2026-08-30
20260830T152340Z_dev-memory_minimal_node1-gpu3_r02,data/development_runs/20260830T152340Z_dev-memory_minimal_node1-gpu3_r02/nvml.csv,3,training,adversarial_training,memory_minimization,fit,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,2026-08-30
20260830T152340Z_dev-memory_minimal_node1-gpu3_r03,data/development_runs/20260830T152340Z_dev-memory_minimal_node1-gpu3_r03/nvml.csv,3,training,adversarial_training,memory_minimization,fit,GPU-42e33043-7008-2803-9ba8-9bb9ef7d0845,2026-08-30
