run_dir,workload,status,nvml_samples,sustained_load,max_power_w,max_mem_mib,dcgm_rows,pico_units,pico_samples,pico_max_p2p_mv
gpumon_adversarial_A_util_modulation_20260909T155817Z,adversarial_A_util_modulation,completed,338,33,355,2590,338,6,1797048,90.7
gpumon_adversarial_B_low_util_20260909T155817Z,adversarial_B_low_util,completed,338,12,350,1528,337,6,1797048,54.4
gpumon_adversarial_D_temporal_disruption_20260909T155817Z,adversarial_D_temporal_disruption,completed,352,290,350,4752,352,6,1797048,72.6
gpumon_adversarial_E_memory_minimal_20260909T155817Z,adversarial_E_memory_minimal,completed,338,13,351,1528,338,6,1797048,72.6
gpumon_adversarial_F_interleave_30_20260909T155817Z,adversarial_F_interleave_30,completed,338,12,351,1608,337,6,1797048,54.4
gpumon_adversarial_F_interleave_50_20260909T155817Z,adversarial_F_interleave_50,completed,338,13,351,1608,337,6,1797048,72.6
gpumon_adversarial_G_clock_throttled_20260909T155817Z,adversarial_G_clock_throttled,completed,338,12,351,1528,337,6,1797048,54.4
gpumon_adversarial_H_mimicry_cufft_20260909T155817Z,adversarial_H_mimicry_cufft,completed,338,12,353,1550,337,6,1797048,72.6
gpumon_adversarial_H_mimicry_mining_20260909T155817Z,adversarial_H_mimicry_mining,completed,338,12,350,1528,337,6,1797048,54.4
gpumon_adversarial_I_stochastic_30_20260909T155817Z,adversarial_I_stochastic_30,completed,338,102,353,1600,337,6,1797048,54.4
gpumon_adversarial_J_pid_75_20260909T155817Z,adversarial_J_pid_75,completed,338,12,350,1528,338,6,1797048,72.6
gpumon_adversarial_K_online_learning_20260909T155817Z,adversarial_K_online_learning,completed,338,311,352,13192,337,6,1797048,72.6
gpumon_adversarial_L_diluted_10_20260909T155817Z,adversarial_L_diluted_10,completed,338,203,350,13210,338,6,1797048,72.6
gpumon_adversarial_L_diluted_20_20260909T155817Z,adversarial_L_diluted_20,completed,338,176,350,23608,338,6,1797048,72.6
gpumon_adversarial_L_diluted_2_20260909T155817Z,adversarial_L_diluted_2,completed,338,277,350,13214,338,6,1797048,54.4
gpumon_adversarial_L_diluted_5_20260909T155817Z,adversarial_L_diluted_5,completed,338,232,352,13210,338,6,1797048,72.6
gpumon_adversarial_M_composite_memmin_10_20260909T155817Z,adversarial_M_composite_memmin_10,completed,338,12,350,5000,338,6,1797048,54.4
gpumon_adversarial_M_composite_memmin_20_20260909T155817Z,adversarial_M_composite_memmin_20,completed,338,12,350,5000,338,6,1797048,54.4
gpumon_adversarial_M_composite_memmin_30_20260909T155817Z,adversarial_M_composite_memmin_30,completed,338,13,351,5000,338,6,1797048,54.4
gpumon_adversarial_M_composite_memmin_40_20260909T155817Z,adversarial_M_composite_memmin_40,completed,338,12,350,5000,338,6,1797048,72.6
gpumon_adversarial_N_grad_accum_16_20260909T155817Z,adversarial_N_grad_accum_16,completed,338,310,353,13194,338,6,1797048,72.6
gpumon_adversarial_N_grad_accum_4_20260909T155817Z,adversarial_N_grad_accum_4,completed,338,310,351,13194,337,6,1797048,72.6
gpumon_adversarial_N_grad_accum_8_20260909T155817Z,adversarial_N_grad_accum_8,completed,338,308,351,13194,338,6,1797048,72.6
gpumon_adversarial_composite_00_20260909T155817Z,adversarial_composite_00,completed,158,121,355,6688,158,6,1797048,54.4
gpumon_adversarial_composite_30_20260909T155817Z,adversarial_composite_30,completed,158,122,353,6688,158,6,1797048,72.6
gpumon_adversarial_composite_50_20260909T155817Z,adversarial_composite_50,completed,158,121,350,6688,158,6,1797048,54.4
gpumon_adversarial_composite_70_20260909T155817Z,adversarial_composite_70,completed,158,116,350,6688,158,6,1797048,72.6
gpumon_adversarial_composite_90_20260909T155817Z,adversarial_composite_90,completed,158,14,350,6688,158,6,1797048,72.6
gpumon_adversarial_composite_95_20260909T155817Z,adversarial_composite_95,completed,158,18,350,6688,158,6,1797048,54.4
gpumon_bert_sst2_20260909T155817Z,bert_sst2,completed,95,56,350,4838,95,6,1797048,72.6
gpumon_bert_sst2_amp_20260909T155817Z,bert_sst2_amp,completed,70,33,350,4120,70,6,1797048,54.4
gpumon_blender_bmw_20260909T155817Z,blender_bmw,workload_exit_1,34,12,350,1528,34,6,1797048,72.6
gpumon_cufft_benchmark_20260909T155817Z,cufft_benchmark,completed,636,611,350,1546,635,6,1797048,72.6
gpumon_cufft_benchmark_standalone_20260909T155817Z,cufft_benchmark_standalone,completed,336,312,350,5386,335,6,1797048,72.6
gpumon_deepseek_r1_inference_20260909T155817Z,deepseek_r1_inference,workload_exit_1,40,12,350,1528,40,6,1797048,54.4
gpumon_dilution_sweep_N10_20260909T155817Z,dilution_sweep_N10,completed,338,199,350,13210,337,6,1797048,72.6
gpumon_dilution_sweep_N1_20260909T155817Z,dilution_sweep_N1,completed,338,310,350,13212,338,6,1797048,54.4
gpumon_dilution_sweep_N20_20260909T155817Z,dilution_sweep_N20,completed,338,185,353,13210,338,6,1797048,72.6
gpumon_dilution_sweep_N2_20260909T155817Z,dilution_sweep_N2,completed,338,274,352,13214,337,6,1797048,54.4
gpumon_dilution_sweep_N3_20260909T155817Z,dilution_sweep_N3,completed,338,252,350,13212,338,6,1797048,54.4
gpumon_dilution_sweep_N5_20260909T155817Z,dilution_sweep_N5,completed,338,231,353,13210,338,6,1797048,72.6
gpumon_dilution_sweep_inference_20260909T155817Z,dilution_sweep_inference,completed,338,238,351,2938,338,6,1797048,90.7
gpumon_ethash_cuda_20260909T155817Z,ethash_cuda,completed,336,312,350,17196,335,6,1797048,54.4
gpumon_ffmpeg_nvenc_20260909T155817Z,ffmpeg_nvenc,workload_exit_1,34,12,350,1528,34,6,1797048,54.4
gpumon_gpt2_wikitext2_20260909T155817Z,gpt2_wikitext2,completed,155,107,356,10502,154,6,1797048,54.4
gpumon_gpt2_wikitext2_amp_20260909T155817Z,gpt2_wikitext2_amp,completed,113,66,355,10050,113,6,1797048,72.6
gpumon_gromacs_adh_20260909T155817Z,gromacs_adh,workload_exit_1,34,12,353,1528,34,6,1797048,72.6
gpumon_idle_20260909T155817Z,idle,completed,154,12,350,1528,154,6,1797048,54.4
gpumon_llm_infer_bge_embed_bs128_20260909T155817Z,llm_infer_bge_embed_bs128,completed,359,312,359,1648,358,6,1797048,54.4
gpumon_llm_infer_clip_embed_batched_20260909T155817Z,llm_infer_clip_embed_batched,completed,343,313,359,2436,342,6,1797048,72.6
gpumon_llm_infer_clip_embed_bs256_20260909T155817Z,llm_infer_clip_embed_bs256,completed,366,315,359,4794,366,6,1797048,72.6
gpumon_llm_infer_mistral_7b_q4_20260909T155817Z,llm_infer_mistral_7b_q4,workload_exit_1,43,13,350,1528,43,6,1797048,72.6
gpumon_llm_infer_phi3_mini_20260909T155817Z,llm_infer_phi3_mini,completed,437,18,350,8340,436,6,1797048,72.6
gpumon_llm_infer_phi3_mini_seq2048_20260909T155817Z,llm_infer_phi3_mini_seq2048,completed,349,320,350,9342,349,6,1797048,72.6
