tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,24558.257559313,24558.257705693,2026-08-29T20:18:58.859667+00:00,-1,anchor,anchor,,,,,,,,,
0,24558.257559313,24558.265257105,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,96.697,56,405,5001,488,2099
1,24559.257559313,24559.257918801,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,66.873,53,255,810,439,341
2,24560.257559313,24560.257987089,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,25.943,53,210,810,439,341
3,24561.257559313,24561.257955657,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,11.305,52,210,405,439,292
4,24562.257559313,24562.258037375,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,450,8.645,52,210,405,439,292
5,24563.257559313,24563.262858904,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,453,10.26,51,210,405,439,390
6,24564.257559313,24564.257926211,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,100,33,1515,133.601,62,1515,9501,488,439
7,24565.257559313,24565.257863319,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,100,25,1515,349.205,66,1515,9501,488,390
8,24566.257559313,24566.257897827,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,1515,297.331,60,1935,9501,390,292
9,24567.257559313,24567.257984445,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,1515,161.448,58,1950,9501,390,292
10,24568.257559313,24568.257862273,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,100,29,1515,178.918,64,1530,9501,634,292
11,24569.257559313,24569.257875301,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,100,23,1515,348.804,67,1515,9501,439,390
12,24570.257559313,24570.257898349,,1,GPU-37ffc98b-8551-c8a1-5f3c-27ade9ae735a,ok,0,0,1515,300.185,62,1935,9501,390,292
