tick_index,t_target_raw_s,t_receipt_raw_s,utc_anchor,gpu_index,gpu_uuid,status,util_gpu_pct,util_mem_pct,mem_used_mib,power_w,temp_c,clock_sm_mhz,clock_mem_mhz,pcie_tx_kbps,pcie_rx_kbps
-1,22717.937582315,22717.937728345,2026-08-29T19:48:18.557484+00:00,-1,anchor,anchor,,,,,,,,,
0,22717.937582315,22717.997032143,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,13.767,27,210,405,14355,1025
1,22718.937582315,22718.938012623,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,14.464,27,210,405,488,292
2,22719.937582315,22719.937969391,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,14.28,27,210,405,439,292
3,22720.937582315,22720.937903649,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,13.895,27,210,405,439,292
4,22721.937582315,22721.945520289,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,14.137,27,210,405,488,341
5,22722.937582315,22722.938953055,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,13.956,27,210,405,439,439
6,22723.937582315,22723.937889523,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,14.942,27,210,405,439,2539
7,22724.937582315,22724.937983511,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,521,20.502,27,210,405,12011,16259
8,22725.937582315,22725.937956449,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,25,1515,209.673,40,1500,9501,537,439
9,22726.937582315,22726.937820477,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,27,1515,349.5,42,1500,9501,439,439
10,22727.937582315,22727.937955975,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1515,241.791,34,1935,9501,390,292
11,22728.937582315,22728.937911033,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1515,160.64,34,1950,9501,390,292
12,22729.937582315,22729.937814101,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,24,1515,202.915,42,1515,9501,537,341
13,22730.937582315,22730.937821989,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,26,1515,349.758,44,1500,9501,488,439
14,22731.937582315,22731.937866047,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1515,242.873,36,1935,9501,390,244
15,22732.937582315,22732.938026815,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1515,162.285,35,1935,9501,390,292
16,22733.937582315,22733.937819863,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,27,1515,202.575,44,1515,9501,439,341
17,22734.937582315,22734.937816531,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,24,1515,348.869,45,1500,9501,537,341
18,22735.937582315,22735.937948329,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1515,241.932,37,1725,9501,390,292
19,22736.937582315,22736.937950097,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1515,154.963,36,1725,9501,439,292
20,22737.937582315,22737.941272666,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,1515,113.568,35,1710,9501,13427,1269
21,22738.937582315,22738.938489304,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,450,113.315,35,1710,9751,439,341
22,22739.937582315,22739.945182714,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,0,0,453,114.03,35,1710,9751,488,1269
23,22740.937582315,22740.937891719,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,28,12,1515,99.549,39,1440,9501,6103,8496
24,22741.937582315,22741.937894507,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,25,1515,336.3,46,1470,9501,4638,12597
25,22742.937582315,22742.937861105,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,23,1515,348.632,47,1485,9501,3417,15722
26,22743.937582315,22743.937901254,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,23,1515,348.553,48,1500,9501,4833,12353
27,22744.937582315,22744.937892222,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,25,1515,348.842,49,1485,9501,6250,2392
28,22745.937582315,22745.93789634,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,24,1515,348.791,49,1485,9501,4980,10546
29,22746.937582315,22746.937890998,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,26,1515,349.203,50,1470,9501,3955,13037
30,22747.937582315,22747.937890956,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,26,1515,349.385,50,1470,9501,3320,15820
31,22748.937582315,22748.937822574,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,30,1515,348.417,51,1485,9501,4150,15283
32,22749.937582315,22749.937815832,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,25,1515,349.015,51,1485,9501,4980,13037
33,22750.937582315,22750.93781215,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,24,1515,349.169,52,1485,9501,5810,10400
34,22751.937582315,22751.937810528,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,27,1515,349.008,52,1470,9501,6005,8691
35,22752.937582315,22752.937807546,,2,GPU-5443d59d-561f-ed1e-da42-1975937205f9,ok,100,25,1515,348.723,53,1485,9501,6542,8056
