case_id,suite,platform,repetition,gpu_name,mode,dtype,batch_size,seq_len,decode_tokens,gap_ms,iterations,total_flops,measured_dram_bytes,arithmetic_intensity,active_tflops,wall_tflops,peak_tflops,peak_gbps,ridge_arithmetic_intensity,normalized_arithmetic_intensity,normalized_wall_throughput,ncu_launches,ncu_csv
resnet50-train-b64,rtx3090_application,rtx3090-node1-gpu1-200w,1,NVIDIA GeForce RTX 3090,resnet50_train,float16,64,1,1,0.0,3,1571819618304.0,107594618240.0,14.608719692632835,5.7441968142597615,5.7426752642244665,64.7300365745,804.122678422,80.49771298768167,0.18147993465191198,0.0887173183907447,2454,results/roofline/applications/validated-bb6b232/rtx3090_application/ncu/resnet50-train-b64-r01.ncu.csv
resnet50-train-b64,rtx3090_application,rtx3090-node1-gpu1-200w,2,NVIDIA GeForce RTX 3090,resnet50_train,float16,64,1,1,0.0,3,1571819618304.0,107601704576.0,14.607757604748821,5.663296661375021,5.661771628114387,64.7300365745,804.122678422,80.49771298768167,0.18146798291007601,0.08746745603330629,2454,results/roofline/applications/validated-bb6b232/rtx3090_application/ncu/resnet50-train-b64-r02.ncu.csv
resnet50-train-b64,rtx3090_application,rtx3090-node1-gpu1-200w,3,NVIDIA GeForce RTX 3090,resnet50_train,float16,64,1,1,0.0,3,1571819618304.0,107601151104.0,14.607832743209089,5.66704520982962,5.6655657770849075,64.7300365745,804.122678422,80.49771298768167,0.18146891633361664,0.08752607100050398,2454,results/roofline/applications/validated-bb6b232/rtx3090_application/ncu/resnet50-train-b64-r03.ncu.csv
resnet50-infer-b64,rtx3090_application,rtx3090-node1-gpu1-200w,1,NVIDIA GeForce RTX 3090,resnet50_infer,float16,64,1,1,0.0,5,2617077923840.0,58731020032.0,44.56040304449109,18.00428389277148,17.9924627351295,64.7300365745,804.122678422,80.49771298768167,0.5535611061560226,0.27796157220491235,1745,results/roofline/applications/validated-bb6b232/rtx3090_application/ncu/resnet50-infer-b64-r01.ncu.csv
resnet50-infer-b64,rtx3090_application,rtx3090-node1-gpu1-200w,2,NVIDIA GeForce RTX 3090,resnet50_infer,float16,64,1,1,0.0,5,2617077923840.0,58731858944.0,44.55976655421969,17.987949060548967,17.97808697722757,64.7300365745,804.122678422,80.49771298768167,0.5535531992199398,0.2777394843047242,1745,results/roofline/applications/validated-bb6b232/rtx3090_application/ncu/resnet50-infer-b64-r02.ncu.csv
resnet50-infer-b64,rtx3090_application,rtx3090-node1-gpu1-200w,3,NVIDIA GeForce RTX 3090,resnet50_infer,float16,64,1,1,0.0,5,2617077923840.0,58734915968.0,44.55744731576424,17.702690370873267,17.69338201992799,64.7300365745,804.122678422,80.49771298768167,0.5535243879858145,0.27334114046983543,1745,results/roofline/applications/validated-bb6b232/rtx3090_application/ncu/resnet50-infer-b64-r03.ncu.csv
gpt2-train-b2-s256,rtx3090_application,rtx3090-node1-gpu1-200w,1,NVIDIA GeForce RTX 3090,gpt2_train,float16,2,256,1,0.0,3,1400156062470.0,55785585408.0,25.098886248654637,11.830208113742744,11.824244282105617,64.7300365745,804.122678422,80.49771298768167,0.3117962649758192,0.1826701313307106,3282,results/roofline/applications/validated-bb6b232/rtx3090_application/ncu/gpt2-train-b2-s256-r01.ncu.csv
gpt2-train-b2-s256,rtx3090_application,rtx3090-node1-gpu1-200w,2,NVIDIA GeForce RTX 3090,gpt2_train,float16,2,256,1,0.0,3,1400156062470.0,55786537728.0,25.0984577909599,11.883073186983712,11.876971701744928,64.7300365745,804.122678422,80.49771298768167,0.3117909423687682,0.18348470555976462,3282,results/roofline/applications/validated-bb6b232/rtx3090_application/ncu/gpt2-train-b2-s256-r02.ncu.csv
gpt2-train-b2-s256,rtx3090_application,rtx3090-node1-gpu1-200w,3,NVIDIA GeForce RTX 3090,gpt2_train,float16,2,256,1,0.0,3,1400156062470.0,55783038976.0,25.1000319841377,11.692733691087493,11.687029804056666,64.7300365745,804.122678422,80.49771298768167,0.31181049811910416,0.18055033524669284,3282,results/roofline/applications/validated-bb6b232/rtx3090_application/ncu/gpt2-train-b2-s256-r03.ncu.csv
gpt2-prefill-b2-s256,rtx3090_application,rtx3090-node1-gpu1-200w,1,NVIDIA GeForce RTX 3090,gpt2_prefill,float16,2,256,1,0.0,5,633099388160.0,5564074880.0,113.78340547422683,19.007390776770794,18.96923481991903,64.7300365745,804.122678422,80.49771298768167,1.4134986107200185,0.2930515078280033,1105,results/roofline/applications/validated-bb6b232/rtx3090_application/ncu/gpt2-prefill-b2-s256-r01.ncu.csv
