label,family,runs,gpus,days,gpu_hours
non_ml,calib_bursty,7,7,2,0.455
non_ml,calib_gemm,9,7,2,0.555
non_ml,calib_idle,7,7,2,0.474
non_ml,calib_memcpy,8,7,2,0.437
non_ml,hpc_fft,9,7,1,1.036
non_ml,hpc_gemm,9,7,1,1.039
non_ml,hpc_memcpy,9,7,1,1.035
non_ml,idle,9,7,1,1.034
inference,infer_gpt2,9,7,1,1.806
inference,infer_resnet,9,7,1,1.793
training,train_gpt2_wikitext,9,7,1,1.805
training,train_resnet_cifar10,9,7,1,1.792
inference,infer_bert,5,5,1,0.894
inference,infer_diffusion,5,5,1,0.895
training,train_bert,5,5,1,0.898
