cohort,sensor_configuration,modality,sample_hz,bits_per_sample,channels_per_gpu,raw_signal_kbps,raw_storage_mb_per_gpu_hour,runs,tp,fn,fp,tn,overall_detection_rate,worst_family_detection_rate,false_alert_rate_per_run,preserves_full_rate_decisions,pareto_frontier,measured_monitor_overhead_pct,overhead_ci95_low_pct,overhead_ci95_high_pct,implementation_status,note
synchronized RTX 3090 development-30,GPU current 10 Hz/8 bit,GPU current,10,8,1,0.08,0.036,30,0,15,0,15,0,0,0,false,true,,,,offline decimation/quantization,electrical-only leave-one-family-out replay
synchronized RTX 3090 development-30,GPU current 10 Hz/12 bit,GPU current,10,12,1,0.12,0.054,30,0,15,0,15,0,0,0,false,false,,,,offline decimation/quantization,electrical-only leave-one-family-out replay
synchronized RTX 3090 development-30,GPU current 10 Hz/16 bit,GPU current,10,16,1,0.16,0.072,30,0,15,0,15,0,0,0,false,false,,,,offline decimation/quantization,electrical-only leave-one-family-out replay
synchronized RTX 3090 development-30,GPU current 100 Hz/8 bit,GPU current,100,8,1,0.8,0.36,30,0,15,0,15,0,0,0,false,false,,,,offline decimation/quantization,electrical-only leave-one-family-out replay
synchronized RTX 3090 development-30,GPU current 100 Hz/12 bit,GPU current,100,12,1,1.2,0.54,30,0,15,0,15,0,0,0,false,false,,,,offline decimation/quantization,electrical-only leave-one-family-out replay
synchronized RTX 3090 development-30,GPU current 100 Hz/16 bit,GPU current,100,16,1,1.6,0.72,30,0,15,0,15,0,0,0,false,false,,,,offline decimation/quantization,electrical-only leave-one-family-out replay
synchronized RTX 3090 development-30,GPU current 1000 Hz/8 bit,GPU current,1000,8,1,8,3.6,30,5,10,0,15,0.3333333333333333,0,0,false,true,,,,offline decimation/quantization,electrical-only leave-one-family-out replay
synchronized RTX 3090 development-30,GPU current 1000 Hz/12 bit,GPU current,1000,12,1,12,5.4,30,5,10,0,15,0.3333333333333333,0,0,false,false,,,,offline decimation/quantization,electrical-only leave-one-family-out replay
synchronized RTX 3090 development-30,GPU current 1000 Hz/16 bit,GPU current,1000,16,1,16,7.2,30,5,10,0,15,0.3333333333333333,0,0,false,false,,,,offline decimation/quantization,electrical-only leave-one-family-out replay
synchronized RTX 3090 development-30,GPU current 10000 Hz/8 bit,GPU current,10000,8,1,80,36,30,6,9,0,15,0.4,0,0,true,true,,,,offline decimation/quantization,minimum offline-retained specification
synchronized RTX 3090 development-30,GPU current 10000 Hz/12 bit,GPU current,10000,12,1,120,54,30,6,9,0,15,0.4,0,0,true,false,,,,offline decimation/quantization,electrical-only leave-one-family-out replay
synchronized RTX 3090 development-30,GPU current 10000 Hz/16 bit,GPU current,10000,16,1,160,72,30,6,9,0,15,0.4,0,0,true,false,-0.045,-0.353,0.262,measured acquisition,electrical-only leave-one-family-out replay
synchronized RTX 3090 development-30,NVML 1 Hz,NVML,1,,,,,30,0,15,2,13,0,0,0.13333333333333333,,false,,,,measured,NVML payload bitrate is omitted because API/serialization cost is not comparable to raw ADC bitrate
synchronized RTX 3090 development-30,NVML + GPU current 10000 Hz/16 bit,NVML + GPU current,10000,16,1,160,72,30,6,9,0,15,0.4,0,0,true,false,,,,measured full-rate fusion,fusion adds no decision gain over GPU current alone in this cohort
